,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,0,-2.5501861572,1.2276611328,-0.6664352417,13.5728912354,-3.0756797791,11.9822387695,2.1326370239,14.1182250977,-0.5710449219,13.7968139648,5.2961273193,-0.67137146,-2.9197769165,-2.234375,3.2529907227,0.0061340332,4.764503479,-5.3349609375,2.7644224167,1.3912353516,-12.6472854614,-5.8191566467,3.3285987377,1.2220458984,0.0004643714,-0.0160225257,-0.0160225257,5.4516050646,0.6056699046,1.0979970311
1,0,2.6604156494,1.3606872559,5.9303588867,12.7469329834,6.5454788208,8.4198913574,-5.8884220123,8.2205810547,-4.7905883789,9.6763000488,-2.2672119141,-0.0594329834,0.2412261963,-6.6552734375,0.252571106,-6.1772003174,-1.9365386963,6.0240249634,0.6497301161,-0.3777198792,-0.6956253052,7.0791358948,-0.4391357899,-0.0674285889,0.0004386646,-0.0021150447,-0.0021150447,3.6889735795,-0.2194127362,0.2831822184
2,0,-1.8531951904,-1.4089813232,6.6739425659,8.7185668945,8.6398887634,12.917098999,-6.8112640381,9.253036499,-5.212600708,5.9320831299,1.0988006592,-3.3609924316,0.5144424438,-0.9140167236,0.2941360474,-0.5979766846,1.7577362061,-0.0268821716,-0.6501941681,3.2238788605,0.1798934937,0.645740509,-0.6948370934,1.2928848267,-0.0006542951,-0.0089094937,-0.0089094937,5.5139007052,-1.0023385387,-0.357676875
3,0,0.8961181641,0.0437927246,3.7824630737,4.2888946533,2.4286003113,3.3725128174,-4.1031074524,5.1667327881,-1.4243392944,6.3017883301,1.5102386475,2.0407562256,-0.4905014038,-2.1977844238,3.2190322876,-1.0783081055,-3.3823623657,1.9868774414,0.1053187847,3.3810539246,-2.5319671631,-1.0730056763,-1.1843870878,1.9672470093,-0.0152111673,-0.0144474022,-0.0144474022,2.1570222623,18.3745599872,2.5960123965
4,0,-2.3692016602,0.7172088623,-1.0901489258,3.3649597168,-6.7969665527,15.6399993896,0.2213668823,17.2611999512,-1.5068893433,9.9464416504,0.7232971191,1.2152709961,1.7473449707,-7.0038604736,3.0831298828,-6.7554168701,3.7934112549,2.9473114014,2.1990970969,8.7454071045,-6.3592910767,4.0652503967,0.1789073646,0.5666656494,-0.0035715053,-0.0035762563,-0.0035762563,12.0020569404,1.4392803572,-2.4422293953
5,0,-0.7846984863,-6.9108886719,10.5103759766,11.411026001,10.8370819092,14.587310791,-11.363067627,17.4801635742,-11.5775604248,12.9288330078,-0.8016815186,-7.9584960938,-2.602432251,-6.5826721191,0.4340057373,-7.0997619629,2.9686279297,-2.9847488403,-1.6843706369,7.2353820801,-1.0746612549,-1.0114212036,0.7804209292,5.2657928467,-0.0009194773,-0.0006441921,-0.0006441921,11.4808713851,-0.6380026208,-1.6044876977
6,0,-4.4635009766,-5.5664978027,8.6281356812,15.2248077393,17.2179031372,24.1995239258,-15.9560775757,20.0958862305,-10.7035903931,10.6107788086,2.9831390381,-7.0406799316,-4.8213653564,-9.9313659668,0.5258865356,-8.1523742676,4.3209533691,1.2930297852,4.2161004543,5.9506378174,-8.2220458984,4.4506492615,3.1308071911,1.0003128052,0.0030516787,-0.0040894374,-0.0040894374,14.5000607028,-5.1356466076,0.9889353935
7,0,2.2283782959,-8.2815551758,8.2080154419,10.0254821777,6.1872177124,19.2350921631,-9.0298023224,18.365234375,-7.3469238281,12.6607208252,-0.2445678711,-6.5010986328,5.2580108643,-11.0511016846,-3.0840911865,-9.8726196289,-2.5786437988,0.5433769226,-4.3548109829,14.565946579,5.3022613525,-2.4842224121,-2.4688382149,6.8175811768,-0.0052220095,-0.0162479319,-0.0162479319,13.2375300723,4.8409197955,-0.3139871926
8,0,-3.9195556641,-10.0551757813,2.7876205444,0.6491851807,4.9538612366,21.5020751953,-4.7702980042,23.7138824463,-6.0059585571,4.9851379395,5.3472747803,-9.5426483154,-2.6387405396,-6.1113128662,4.9765167236,-4.1751556396,7.0080032349,-1.760345459,-6.2598868608,-8.8770046234,-5.2500534058,-5.7830123901,-3.3064689636,27.3091278076,-0.0064376406,-0.0025788024,-0.0025788024,10.9950035527,4.7482978121,-0.9847124314
9,0,-3.2061462402,1.2104034424,1.0587005615,6.6137084961,6.9335174561,6.9272155762,-2.4890785217,5.8175811768,-1.5035629272,7.7089080811,1.826675415,-0.1192169189,-3.2760925293,3.3859710693,2.4533615112,1.0485687256,3.3307266235,-5.0021247864,-3.1389484853,-15.7934837341,-7.4684295654,0.523979187,-0.3666930199,17.3701477051,0.0013494879,-0.0040851608,-0.0040851608,1.8132824653,-0.2875478694,-0.0024551245
