,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,1,-4.0056610107,-5.839630127,2.2565383911,19.1807861328,-3.251953125,24.0650177002,3.5019111633,21.2006378174,-5.8198852539,19.9387664795,-5.5004730225,-8.0247344971,2.0855026245,-2.3747406006,1.0716629028,-5.1128234863,6.4153594971,-13.8176116943,-2.6811730862,-2.2634544373,0.3855209351,-8.2443313599,-7.2882363796,17.8663635254,-0.0039036564,-0.0147181228,-0.0147181228,13.8605748047,2.054942338,-1.4277375844
1,1,3.353302002,-2.4106292725,4.5801544189,1.653427124,1.4172058105,3.4693908691,0.1174926758,4.5126800537,-4.5215530396,3.8360137939,-4.2365570068,-2.1282806396,-7.2183074951,1.4718170166,1.7029876709,-1.3048400879,3.766960144,-2.4488677979,1.0098949671,-19.9897403717,-1.8788833618,-0.8589744568,1.3578201532,13.1357650757,0.008555538,0.0022325106,0.0022325106,-0.2659189533,-8.6842051237,0.6755806358
2,1,-1.9263458252,-5.1189880371,7.5734100342,2.2628479004,11.9221115112,12.1948394775,-13.2239189148,14.4548797607,-12.5800857544,3.6951293945,-0.1969451904,-6.2804260254,-4.464225769,0.5911560059,5.2078475952,2.1611938477,1.4805450439,-2.549282074,-1.4289193153,-3.3358192444,-1.0636520386,-2.7122001648,-1.1955564022,-0.4115905762,-0.0023094979,-0.0058743581,-0.0058743581,5.0321704856,1.9206567361,-1.7282449699
3,1,-7.5575561523,4.6047058105,-6.5833129883,0.2087554932,-4.0062141418,2.8292236328,1.6987838745,0.2509918213,2.0886001587,0.0884857178,2.2537078857,2.4256744385,-1.8983535767,0.3958740234,1.6639251709,0.615234375,9.9590911865,-7.9536399841,-0.9464223385,-13.6525993347,-4.9354400635,-2.0084762573,-2.0185442567,11.6541137695,0.005116988,-0.0125894137,-0.0125894137,-0.7278084119,-6.7673463958,-2.4413946458
4,1,-1.9279937744,1.1091766357,-2.7324676514,3.8557891846,-3.423248291,4.7546844482,1.3739891052,5.3540496826,-1.7916107178,6.3360443115,0.0241088867,-0.8872070313,3.2193374634,-0.1875457764,-0.6194458008,0.7349700928,-1.946723938,-7.9725036621,0.4737545252,-8.4806251526,0.3662185669,-5.6396141052,-2.479570508,17.0291671753,-0.0010943809,-0.0111685246,-0.0111685246,4.2144536739,2.6622195671,-0.0821994643
5,1,-1.3239440918,-0.1505737305,1.3653717041,-5.0000610352,4.2268943787,6.2436828613,-3.6941070557,10.1759338379,-1.7830963135,0.0491638184,3.6462402344,-0.0062103271,-4.2811126709,-4.9514770508,3.0713653564,-3.856918335,5.5967941284,-1.2239875793,1.8327934742,-3.1881332397,-9.6920089722,-3.4917831421,1.3949022293,-0.2375106812,0.0012095505,0.0062316284,0.0062316284,10.392276083,0.8902243476,1.0783052643
6,1,-0.390335083,-2.9168395996,0.5586547852,3.5190734863,-2.00806427,5.8374633789,-1.7375144958,8.5838012695,-0.1167297363,7.7103881836,3.8665771484,-0.7503204346,-0.8945541382,-3.0342407227,2.278793335,-0.7081451416,8.4008255005,1.8227500916,0.451734066,-25.7194013596,-10.6178131104,-4.4275131226,3.0777854919,26.3291854858,-0.0021784855,0.0151576754,0.0151576754,4.3350431468,-0.7881561837,-3.4023249136
7,1,2.7351074219,-2.1734161377,0.3097305298,3.1285858154,-0.5094146729,5.9351043701,0.6547660828,7.8625183105,-2.2021102905,4.3594360352,-2.1421356201,-3.470123291,-0.3055496216,-2.1407775879,-1.9080047607,-1.8354492188,-4.003036499,-2.1501808167,0.0937588215,-8.0891895294,4.7981719971,0.4338302612,-1.10958004,31.0891036987,0.0020128065,-0.0103259049,-0.0103259049,5.1831045009,-0.8627344742,1.0138568988
8,1,-5.1485290527,6.7031402588,1.6825027466,5.7753448486,12.1467018127,5.2149200439,-14.3973407745,6.2115020752,-2.9041824341,6.0970458984,4.8198699951,7.6346130371,-3.203918457,-6.5747070312,2.1742019653,-6.0775146484,14.2588272095,0.0285949707,1.2627305984,-18.6019058228,-12.6736450195,-1.0159454346,1.611109376,19.1885375977,0.0043097014,-0.0017027445,-0.0017027445,0.0371186718,-6.2097986574,-0.0380500798
9,1,5.1455230713,-2.0209960938,5.7623596191,0.7980651855,7.0724945068,3.0746459961,-9.5402374268,5.1120147705,-5.4256362915,5.1847991943,0.6771392822,1.8003997803,1.9143295288,-8.72315979,-1.6703720093,-7.6011505127,-9.4246063232,-5.0883979797,-1.7829327583,2.6056861877,10.5729598999,-14.4240455627,3.7859373093,28.3697662354,-0.0040067807,-0.0114916153,-0.0114916153,6.695486674,3.2466187709,-1.0623764404
10,1,0.0498352051,-3.2359771729,5.6514053345,6.0145111084,10.5338478088,10.9282836914,-11.9463233948,13.7267608643,-6.6446914673,9.9095153809,2.7854309082,-2.4849700928,0.3448257446,-11.3098144531,-2.6361312866,-11.4345092773,-2.0290222168,-10.4047050476,1.8483854532,1.8346672058,4.1308517456,-16.7630805969,4.3264555931,21.456741333,-0.001202534,-0.0106813684,-0.0106813684,7.1102843895,0.518720579,-1.8487325426
11,1,-4.3544769287,3.5279998779,-1.3264770508,-0.4523620605,4.3015441895,8.9759521484,-1.6669578552,11.821105957,1.0313568115,3.6800994873,4.0883483887,2.1480255127,-2.3318862915,-3.1762695313,4.0853347778,-3.2612304688,9.3104171753,3.022151947,4.0415393114,-5.2869911194,-7.9659729004,5.4150047302,3.6364870071,-1.7495727539,0.0029003522,-0.0009670258,-0.0009670258,4.6210446129,-2.5190773944,0.1197282002
12,1,-3.9447021484,1.0758056641,3.9513702393,9.0052337646,12.1820030212,12.4249420166,-6.5661849976,18.1639251709,-3.1444854736,10.5079040527,5.9227905273,-0.7470550537,-6.0382537842,-10.5240783691,-0.9016189575,-11.839630127,9.4179916382,-4.8180503845,0.9955290556,-11.1447277069,-14.0574035645,-5.9463005066,0.8632781506,25.9116592407,0.0021063335,-0.003446728,-0.003446728,8.1775365793,-5.8070229779,-3.5247241341
13,1,0.0102233887,-1.7735748291,6.1595611572,7.896270752,9.1562900543,5.6393280029,-8.7596607208,7.1666107178,-8.024520874,5.3098297119,-1.3448181152,-2.292175293,-2.4845275879,-4.4595794678,-2.8612213135,-5.0791931152,-1.2885742188,-0.6525230408,4.6885330677,0.9934806824,1.5447463989,3.5054550171,4.0830680132,7.294052124,0.0087914434,-0.0005000718,-0.0005000718,4.5618431308,-7.6500476107,0.6280698874
14,1,-0.4841766357,0.3598022461,-3.7803955078,4.2292175293,-8.4426612854,6.2540130615,15.7627944946,7.1000976563,3.3012390137,4.8604888916,-2.1055603027,-2.5500640869,-2.5600128174,-3.1300506592,-2.3522720337,-5.0474090576,12.5734786987,-19.2001800537,-0.0548306704,-19.5840854645,-14.808555603,-12.977481842,0.8867316842,25.3487243652,0.0059758346,-0.0047996119,-0.0047996119,2.0651480506,-5.7600141138,-0.3135304407
15,1,-1.8672790527,9.4478912354,2.3351974487,3.4696502686,8.8616409302,2.3057098389,-11.4671592712,9.5354919434,0.8069152832,11.0498199463,7.9960784912,15.0698242188,-6.4848861694,-4.57762146,0.9330749512,-10.5677337646,11.7274932861,3.066192627,3.9866860807,-12.9242706299,-13.9632644653,-0.5624542236,3.3861889765,19.3018798828,0.0042082672,-0.0029512122,-0.0029512122,-2.2045871348,-2.1288377724,3.014708897
16,1,0.1257324219,0.2245178223,-4.1925888062,0.3197631836,-3.5675086975,7.309463501,4.4612579346,4.8752288818,6.6665115356,0.2893829346,3.4541015625,2.9845123291,-5.1679534912,2.5869598389,2.1324691772,3.3162994385,2.2644958496,-8.2794342041,0.1759443134,0.3455047607,-0.6167449951,-12.3917045593,3.1736627817,21.7597122192,-0.0001236557,0.0016177148,0.0016177148,5.9885400961,-0.6646984474,-2.9774186142
17,1,-0.029876709,-1.9445495605,-4.2437362671,-1.0326690674,-4.2480659485,2.2164001465,1.3007850647,2.7945251465,-1.5802154541,0.1484832764,0.2569274902,-2.3265686035,-0.5121307373,2.8815765381,0.4377212524,4.5924987793,1.6069412231,-7.8050498962,-1.876275003,-10.9824352264,-3.7004547119,-7.3490028381,-2.9364366531,20.2108535767,0.0015191656,0.0136699872,0.0136699872,0.8106190319,1.0659619652,-1.5191966575
18,1,-4.0756988525,-0.0787353516,-3.2635803223,2.7626953125,-0.8467597961,8.2760009766,1.6039199829,11.6471710205,-0.3696212769,9.345703125,7.342300415,0.1341400146,-3.1605529785,-3.5450897217,3.102684021,1.9960784912,13.9999160767,-5.6749916077,-1.6226828098,-11.1861457825,-12.4124069214,-12.8585700989,0.2748272419,16.6002197266,-0.0036784792,-0.0109898448,-0.0109898448,5.3360338096,0.2133097079,-3.2157497742
19,1,-3.2469787598,-6.4715881348,-2.1681976318,-1.5187072754,-7.9277801514,15.3542480469,12.0916900635,19.6041107178,2.5492019653,-0.3602600098,4.862487793,-7.1085357666,-0.9110870361,-3.9724273682,-1.5945663452,-2.5259094238,6.995513916,-10.9491500854,-1.9907520516,-10.5465526581,-4.3280487061,-10.7708396912,-1.7863060236,32.6788330078,0.0009500856,0.0077572651,0.0077572651,9.5656287507,-1.1053264504,-0.5477398737
20,1,2.4841308594,-2.7901153564,-3.4986724854,-1.4551849365,-8.0393104553,0.8642730713,8.4945983887,0.6936798096,2.3988647461,-0.3705291748,-3.3552398682,-3.9853057861,-0.8621902466,3.1305541992,-0.9981460571,3.4484863281,-4.2408828735,-13.4762382507,1.5262480974,-11.6794319153,6.884727478,-13.9482383728,-1.4313726425,24.3992538452,0.0019819531,0.0004085526,0.0004085526,2.2945746812,-1.3668705504,0.7778824078
21,1,0.6526184082,1.4289398193,2.8253173828,12.0777435303,2.4800033569,6.6166534424,-6.5049133301,4.7295684814,-2.1882247925,7.9597320557,1.9664459229,4.7068786621,3.2206954956,-2.6593017578,-0.5450744629,-2.9328460693,-3.3831863403,-19.1900558472,-2.731020391,-2.8146953583,2.4678497314,-23.2721176147,0.745215416,31.5277252197,-0.0014412151,-0.0067862123,-0.0067862123,6.5759193634,1.2369917954,0.2504918256
22,1,5.409942627,-3.008682251,4.3975524902,3.311706543,7.8162345886,1.5520782471,0.2290420532,9.6622009277,-3.3836212158,11.1643066406,-4.9184875488,-6.215133667,-2.6502990723,-1.2966918945,-2.328666687,1.7630310059,-7.7216873169,-3.153678894,1.5038036704,-8.3027839661,10.4895706177,-4.7986869812,2.545337826,26.5015487671,0.002557508,-0.0010057688,-0.0010057688,9.7737746378,-2.77790694,1.2423045605
23,1,-2.4010314941,5.2989807129,-2.5579376221,1.6693115234,-0.3190422058,2.1621856689,3.4387435913,3.337020874,3.6080627441,-0.6506500244,1.9699859619,3.3962097168,-1.8549041748,-0.9227600098,3.6457595825,1.1594390869,2.4531021118,-13.2710609436,-3.0004844666,-9.6895313263,-6.4655914307,-10.7125053406,-6.08567366,29.1260604858,-0.0027271537,-0.0138696656,-0.0138696656,1.8013887646,2.7665688631,0.1684242877
24,1,1.7828674316,-0.5346832275,2.4238739014,1.5319976807,0.0548858643,1.718170166,-2.5315093994,1.8224945068,-0.4520111084,5.009475708,2.7404174805,2.9282989502,1.080039978,-2.5610198975,3.6956634521,-0.7339477539,0.9446716309,-1.4189529419,-4.7102916241,-1.2410850525,-2.3488464355,-9.0475234985,-4.2588271499,0.9511566162,-0.0135652013,-0.0048689917,-0.0048689917,1.067779185,11.309819705,-1.7343331872
25,1,4.3885345459,-4.5156707764,-2.8692016602,-2.8318634033,-7.4914360046,0.8515167236,9.4960021973,3.1406860352,4.9453811646,-0.4582977295,1.3038024902,-3.6421203613,-5.095199585,3.2108001709,-0.8959655762,3.2091064453,1.4592819214,-3.2568054199,3.6007982492,-7.026348114,-5.6681671143,-8.7335395813,5.0495889783,12.1870346069,0.0017656649,0.0599604435,0.0599604435,1.0534573568,-3.4658745053,-1.7530682241
26,1,2.5315551758,-4.0528717041,-0.7219924927,-4.5352172852,-1.1763305664,0.2302703857,-0.9201049805,3.6688079834,-0.1099472046,2.4835968018,1.9148406982,0.3997955322,2.4394989014,-3.3256835938,-3.8651809692,-1.6214904785,-3.9382781982,-14.5492630005,0.3697021604,-1.3039245605,10.6182937622,-20.3069343567,1.9771607518,19.6683120728,-0.0056503706,-0.0050241128,-0.0050241128,5.7326824423,1.019780254,-2.4928522995
