,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,1,5.4657745361,-6.0358276367,6.5528945923,20.9525604248,-3.8287467957,21.0380096436,5.9184951782,24.5349578857,-5.0620193481,20.5223999023,1.684677124,-8.8821563721,-2.1243286133,-6.364364624,-3.2303009033,-3.5469207764,-0.7492980957,-10.4828910828,5.6017868519,-0.1547393799,-7.5259017944,-13.2186737061,8.3869581223,15.8837966919,0.0023776076,-0.0142820105,-0.0142820105,14.4157911032,-2.1843858662,1.0379366611
1,1,2.4120025635,2.0874938965,-0.7051849365,4.3525695801,-2.1170654297,-1.0943450928,3.1633872986,-0.656036377,0.1086044312,-0.1110076904,-1.9253692627,1.296295166,-2.7472457886,-0.5621948242,4.3408355713,1.6862640381,2.7645568848,-0.9806518555,-1.9697924852,-19.9688301086,-1.3249511719,-1.0048713684,-0.6317167282,15.174118042,-0.0063393116,0.0001448542,0.0001448542,-2.5515951956,6.4522642299,-1.1086736181
2,1,-0.2217254639,-2.4942474365,9.7037124634,4.5084381104,13.8815364838,11.9141082764,-15.0069103241,8.5751342773,-8.0830001831,4.9042663574,0.1593475342,-3.523651123,-2.1852722168,0.9288482666,5.0544433594,1.6940155029,1.6446075439,-3.1329917908,0.3642086983,-2.6492900848,1.8931503296,-3.1456336975,1.0769630671,-1.5553283691,0.0015024671,-0.0064538829,-0.0064538829,4.3763315613,-0.9790200838,1.6637579576
3,1,-2.8537902832,1.0935821533,-3.2406005859,-2.3174743652,-1.5703163147,4.987411499,3.6925849915,4.9226226807,6.3147735596,-0.3357543945,7.0306549072,2.349029541,-2.964881897,-1.9431610107,3.6042785645,-0.9545288086,6.3535766602,-2.4895439148,-0.1412400603,-14.182970047,-11.6902008057,-6.4149169922,1.9483414292,9.4591674805,-0.0047151597,-0.0119517148,-0.0119517148,0.1673713399,5.6866017596,1.9868751385
4,1,-2.6232910156,5.4166412354,0.8271713257,0.5746459961,6.7342605591,1.5795593262,-6.4552307129,11.004196167,-0.8064498901,2.4159851074,4.8958435059,4.6731872559,-2.8231811523,-2.603729248,0.3629455566,-1.8235168457,3.138885498,-5.857093811,1.1255347729,-9.3516178131,-4.6438751221,-7.7018814087,3.2693572044,18.3408813477,-0.0002424056,-0.0086644106,-0.0086644106,7.2534093039,-1.0114760284,-0.9378263481
5,1,-3.2315979004,-2.1224517822,1.7328948975,-3.7778167725,4.7402267456,10.6641998291,-2.6546363831,7.4619903564,-1.5177459717,-6.0094146729,1.4391937256,-2.4255065918,-2.7702026367,-3.8375854492,2.6772766113,-5.5761871338,9.6860809326,-3.1172943115,-4.4841204882,-3.4942512512,-7.8523178101,-1.6989212036,-2.6006559432,-1.8273925781,-0.0027282811,0.0058210418,0.0058210418,10.3521659121,0.2866980817,-1.1825912016
6,1,-6.3905639648,2.4362335205,-2.7002105713,4.4734191895,2.1765899658,7.4719848633,2.5013008118,3.1685638428,1.9945831299,0.2915649414,0.4999237061,-1.7539520264,-2.990776062,-3.7413635254,0.176322937,-3.9066619873,10.3201141357,-8.0470619202,3.5083723068,-24.8392276764,-9.9585800171,3.7278404236,-2.0315465927,23.787689209,0.002952056,0.0135819968,0.0135819968,2.770303277,-0.0707140248,3.191851267
7,1,1.7349853516,-3.9374847412,2.835395813,4.2692108154,0.6056518555,6.6102294922,0.4952583313,6.8166046143,-3.9826812744,5.5683288574,-3.1129302979,-4.1158905029,-1.0687103271,-3.0890655518,-1.1969146729,-3.0687103271,-4.439956665,-1.1074981689,-2.4499828815,-6.9822444916,4.8786392212,-0.8115959167,-0.2488412857,27.8623199463,-0.0002159718,-0.0107084922,-0.0107084922,4.7175612849,-0.7009617615,-1.1548448034
8,1,-6.2449798584,5.8076782227,1.2275314331,6.205291748,11.0641403198,6.6322174072,-9.5387191772,6.4160308838,-2.1627197266,6.5403594971,3.2889862061,4.4425048828,-3.582611084,-4.1910858154,1.5834884644,-6.254989624,11.6905899048,-3.1683692932,-1.3181465119,-17.1590499878,-10.8413848877,1.3410224915,-0.132267952,20.2019729614,-0.0038105961,-0.0014350675,-0.0014350675,0.4811416066,5.6961132913,-0.1141674465
9,1,-0.4042205811,6.0054931641,5.4965438843,4.2552642822,12.7569580078,3.1216583252,-7.9216690063,-1.6502227783,-5.9733352661,1.7909545898,-5.439666748,3.0718536377,0.7848739624,-10.9348602295,-1.1876068115,-13.300567627,-11.5578384399,-13.2620697021,-0.6377204657,3.220161438,11.4482879639,-3.9366378784,-1.6510572433,27.3351669312,0.0031149955,-0.0133863501,-0.0133863501,4.7223285664,-2.855805051,0.4974691644
