,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,2,-0.2081298828,2.8893127441,3.6821060181,6.0126190186,9.9091014862,3.0424346924,-6.4657669067,3.7037811279,-5.471534729,4.5494384766,-3.7091064453,-1.4960327148,-1.4890060425,-3.9205932617,-0.7467880249,-3.849029541,-0.075958252,-5.8973808289,2.1616559029,-4.1564369202,-2.9195022583,-0.6448516846,2.8538017273,12.9776153564,0.0043240623,-0.0109924003,-0.0109924003,-0.7000698392,-6.1924265786,-0.3124190633
1,2,0.5054779053,1.8046875,1.7509460449,0.8396148682,1.4317245483,-0.1393585205,-4.4620132446,3.2546539307,-3.0836486816,5.8104248047,-0.2084350586,3.4514312744,-3.0130615234,-3.1667480469,-0.5559768677,-4.8677368164,8.1633987427,4.1727867126,0.4857274294,-19.7998580933,-5.8525848389,3.3383560181,2.2049095631,16.2273254395,0.0079839025,0.002434697,0.002434697,-2.5021007947,-7.7524304307,1.6874496345
2,2,6.223739624,-8.8371887207,3.1926574707,-7.4830322266,-7.2152748108,1.3061523438,7.4182624817,-0.140045166,-2.3206481934,-9.7880096436,-7.5250396729,-10.9601898193,3.3370056152,3.6668701172,-0.9516296387,5.1626434326,-14.2386856079,-6.0272521973,0.466542244,7.4874706268,8.4959411621,-4.898223877,0.5296516418,2.1649017334,0.0010567736,-0.0039995573,-0.0039995573,3.7411482989,-0.4973004979,0.2454228414
3,2,0.7855682373,5.6334533691,0.1578598022,-1.3035583496,0.6422348022,-9.4129638672,-3.1554794312,-8.1343536377,0.0921630859,1.0867767334,-2.2241210938,5.7200927734,0.6455001831,1.7680664063,-3.6749420166,0.4374237061,-3.3139724731,1.4988975525,2.4535936713,-6.4235343933,7.9172973633,3.9223632813,1.6645055413,0.3440628052,0.0121646347,-0.0120595731,-0.0120595731,-3.9087491954,-15.9289030188,-2.2057021739
4,2,1.0724334717,-2.4948883057,3.5072784424,-0.2018432617,4.2869758606,5.4826812744,-6.6596164703,6.4251251221,-5.821395874,1.4323272705,1.1751556396,-2.4031219482,-0.9542236328,-3.7662963867,0.2303085327,-2.0518341064,0.5002593994,3.7623939514,0.0224889517,-4.8691596985,-2.1557235718,0.2252197266,-0.386231754,8.3148345947,-0.0007188569,0.0021237321,0.0021237321,3.3187637379,2.376431854,0.6388647229
5,2,-1.1585998535,1.2614898682,-1.5610351563,-1.5946350098,-2.3730278015,-0.2369384766,0.1009597778,-1.2278900146,0.3561553955,0.0612182617,0.9427032471,1.792678833,1.3992385864,-2.0354919434,1.0688323975,-0.8941040039,1.4695358276,0.2786865234,-1.6395299435,-2.8572311401,-0.5413589478,-1.5704689026,-2.4041097164,1.8135528564,-0.0031026821,0.0081993192,0.0081993192,-1.8973762202,2.5572053062,-0.6893301005
6,2,5.9613189697,-0.5348052979,2.6972961426,0.9610900879,-6.3872566223,-5.6657104492,4.7736129761,-4.1066436768,-1.4797363281,4.2652130127,-8.9872741699,-0.0511932373,5.0438461304,4.555480957,2.8411712646,5.3841552734,-6.8917007446,4.7670974731,-1.0363259315,-14.1983108521,9.8112564087,6.6360092163,-2.5394389629,7.0147476196,-0.0034925602,0.0066255927,0.0066255927,-1.7544226678,1.5771629647,-1.6657026419
7,2,0.4583435059,-0.1246032715,1.4051208496,-1.5835723877,4.6941642761,2.8261413574,-2.48670578,4.1463470459,-3.9601745605,-1.8591156006,-5.6806182861,-3.2850952148,2.2668457031,-7.8155670166,-3.3351669312,-8.0628509521,-8.295425415,0.2428207397,3.0290836692,1.3221035004,6.8299560547,5.5725631714,2.2669496536,8.9333114624,0.0087183232,-0.004322622,-0.004322622,4.5244814659,-7.0650239744,1.9003846122
8,2,-2.262512207,4.9853668213,3.3642044067,3.6992340088,11.1666107178,1.516418457,-9.3030891418,2.1250152588,-2.4205322266,4.6396942139,2.7783508301,4.853515625,-2.1932373047,-7.0392608643,-1.4830551147,-7.0455169678,6.2378616333,1.0035247803,1.9344475269,-10.5925750732,-4.8627700806,1.2214431763,0.7603138685,10.3445053101,0.0033467632,0.0010433495,0.0010433495,-0.1131009659,-4.6860271572,0.2239982427
9,2,3.7451019287,-2.8323059082,4.1798858643,-7.9445037842,4.4778442383,-3.4257659912,-0.1577339172,-0.0527496338,-0.2413635254,-5.3151702881,-4.4706420898,-4.6147460938,3.3458862305,-1.7955932617,-2.8233413696,-3.9106750488,-15.1677703857,-3.8689842224,2.1557412148,1.9788036346,10.4540634155,-0.1183242798,5.0521636009,15.9208908081,0.002457039,-0.0040209256,-0.0040209256,0.0891952589,-4.2455768193,-0.2388272361
