,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,2,0.3131408691,1.3437805176,-2.835067749,6.4887542725,-1.3145523071,-0.2862091064,-3.8415756226,1.159866333,-3.9311294556,8.1368408203,-1.2245483398,3.4442901611,-1.6565322876,-1.2318267822,1.0543060303,-1.3293304443,1.4311523438,-0.1532897949,-2.1057653427,-2.2407836914,-0.6898193359,-2.509349823,-3.7074198723,9.7239837646,-0.0105537344,-0.0142424293,-0.0142424293,-4.5979374662,12.6104853977,-0.6359980167
1,2,-1.8805389404,7.2044219971,-1.2989425659,5.4984741211,3.580165863,-1.1282958984,-2.5220184326,-2.9388580322,0.1470565796,-0.3870239258,-0.7640228271,5.5162200928,-0.5517501831,-5.9356536865,1.1348190308,-4.5648345947,7.6610107422,2.8740882874,-0.5605012178,-19.6559925079,-4.7838439941,4.2637748718,-1.0174484253,18.1333694458,-0.0070747267,0.0012611859,0.0012611859,-4.2031461306,6.7029187765,-1.81749731
2,2,7.4443359375,-8.5555114746,0.8847961426,-10.2837982178,-7.6273345947,-2.0511016846,3.2110900879,1.1490478516,-3.4156036377,-9.3343811035,-4.0793762207,-6.4158477783,4.148651123,2.56690979,-3.7144546509,3.1035766602,-7.9493637085,-4.2980880737,0.6156611443,7.1096820831,13.6418457031,-9.3050575256,-1.4067380428,2.295791626,-0.0029204777,-0.0042695515,-0.0042695515,3.8579609782,3.1776342809,0.1789732361
3,2,2.5417480469,4.655380249,4.3238067627,0.3101501465,5.5632781982,-5.0966796875,-0.9370880127,-9.5523376465,2.6583862305,-3.6865234375,0.1844787598,5.6848754883,2.5748062134,-1.47315979,0.0946807861,1.6544952393,-7.372428894,5.6518173218,-3.1971464157,-5.2406806946,4.4546051025,3.0012969971,-1.475630641,-0.4020080566,-0.0119870421,-0.0114635192,-0.0114635192,-3.4598651093,15.2440738081,2.0459315185
4,2,0.7599182129,-5.1457366943,2.8268585205,3.0915527344,0.8643798828,6.5653381348,0.1035881042,5.5409698486,-4.0357666016,-2.2080230713,-2.4759368896,-6.3502807617,1.5591278076,-3.6270294189,1.4862213135,-3.6017456055,-1.4850311279,-0.6364440918,-0.7034668326,-6.9412117004,0.3634185791,0.3336029053,-0.2010615468,11.2092666626,-0.0016485652,0.0018716939,0.0018716939,3.6482640609,-0.006351834,-1.4044312773
5,2,-1.9028015137,2.5609283447,-0.0565643311,-1.3445892334,3.0452423096,-0.9506378174,1.9484901428,-0.5381164551,0.2415466309,-1.9669189453,0.5989685059,0.9242248535,-2.0187683105,-1.5164642334,-1.3346099854,-1.6197814941,3.921295166,-2.7857666016,-0.828738451,-4.1720161438,-4.7097396851,0.8019638062,0.7509140372,-0.1116867065,0.0036478194,0.0079937056,0.0079937056,-2.2699148136,-2.9732670432,0.6987968346
6,2,7.5268859863,-0.101776123,0.9072113037,4.3846588135,-6.2552146912,-3.0990447998,9.5274620056,-2.6474914551,-1.7242126465,2.6317443848,-8.0830993652,-4.8580627441,-1.4504852295,4.8291168213,-1.4761657715,5.686126709,-8.8265380859,3.8384208679,4.0659315586,-12.1947498322,4.1359405518,6.8040428162,2.3772325814,5.4256591797,0.0018396294,0.007668443,0.007668443,-0.8591811125,-0.1606968949,1.2106780709
7,2,4.2705078125,-1.8578338623,3.1290740967,-2.7294158936,2.3645744324,3.2835388184,-2.2411613464,1.8709716797,-3.5381393433,-1.3358764648,-4.0525970459,-2.3313140869,2.611114502,-7.8694458008,-0.4080810547,-6.0123138428,-4.9774932861,1.460723877,-4.4498736262,1.5612258911,8.9064102173,1.5679206848,-4.6385011673,8.1214828491,-0.0072011518,-0.0047089234,-0.0047089234,3.9005748411,5.3691133284,-2.1087740646
8,2,-2.6543273926,4.6496734619,2.3141098022,5.4269104004,8.6924438477,2.8862609863,-6.0174331665,2.373046875,-1.16746521,4.4547729492,1.1832275391,4.3897705078,-1.7678070068,-7.5528259277,-0.6172866821,-9.4194793701,3.9603881836,0.4743690491,-2.9982171506,-9.416809082,-5.2054367065,3.0571784973,-0.3474981785,11.3729476929,-0.0019098331,0.0014828183,0.0014828183,0.3831046418,2.4272767374,-0.4384062258
9,2,5.832321167,-1.0582275391,2.5838012695,-4.902923584,2.4328041077,0.3904876709,-1.4171524048,-6.154510498,-4.1146621704,-9.3680114746,-4.6684112549,0.1321716309,3.198425293,-5.8756713867,-1.1291809082,-6.7920227051,-11.549949646,-1.2161216736,-3.5658494234,2.0199508667,15.3562545776,-3.633480072,-2.4194278717,16.1530532837,-0.0020026662,-0.005201567,-0.005201567,-0.364694368,3.2238894062,-0.024764898
10,2,10.881362915,-6.5869903564,3.6453552246,-14.8617095947,-3.9441299438,-11.7915496826,5.2549247742,-6.7414245605,-2.7504501343,-9.4856872559,-12.5792999268,-7.0209960938,4.0126113892,2.6018981934,-5.9670181274,1.7885894775,-26.2527236938,-6.1960334778,0.6449852623,-3.2326812744,22.576499939,-2.4018745422,-0.0346417427,15.06615448,0.0040778993,0.0026201457,0.0026201457,-1.5854018152,-0.8588003759,2.7683395628
