,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,3,2.143081665,-4.5255737305,2.426612854,-0.34324646,0.1737480164,3.2557983398,0.1506462097,3.0421600342,-1.2109680176,-0.4979858398,-2.5437011719,-4.2590026855,0.765411377,-0.3920135498,-1.1510238647,-0.7925415039,-2.1984100342,-11.770488739,-0.6927924156,0.4113464355,4.4945068359,-13.1173782349,2.2804465294,5.1414642334,-0.0018427984,-0.0036715344,-0.0036715344,6.32504898,0.7674742081,-0.2645673732
1,3,4.6255493164,-6.8303833008,-0.9944381714,-7.627532959,-8.3164482117,-3.0573577881,8.1823043823,-2.0827026367,1.369102478,-6.8773040771,-5.1802825928,-5.8408660889,1.7760467529,5.0188140869,-3.295753479,3.736328125,-10.479057312,-19.2373981476,-0.8671605587,-8.5824832916,11.5692672729,-20.2657661438,0.6444504857,17.8664932251,-0.0007144297,0.0030989423,0.0030989423,1.6091272151,0.9877596431,-0.1689172279
2,3,2.009552002,-1.6353759766,0.6970214844,-4.335647583,-0.6598892212,-2.4306793213,0.3493232727,-3.1515045166,-0.739654541,-5.4368286133,-2.5355682373,-2.2723846436,0.7953872681,2.5856628418,1.3478927612,3.0506591797,-11.9344100952,-7.0348052979,-3.6518516541,8.1516666412,5.0102996826,-5.0861053467,-2.5964882374,3.8647766113,-0.0023168437,0.001010336,0.001010336,0.1396845028,4.1730150607,0.765991641
3,3,2.8404693604,5.728515625,-7.7705841064,-7.8089447021,-1.8710289001,-11.0065002441,0.5388031006,-9.8103790283,-2.3626861572,-9.50831604,-7.4671478271,2.926574707,-4.5929641724,11.410949707,3.9954223633,15.8187255859,-9.5028839111,-11.9045333862,3.9251499176,-16.2008485794,12.9325790405,-10.1893348694,-3.5394614935,22.1932373047,-0.0235668751,0.002802331,0.002802331,-5.64587088,1.8876338666,-18.7852358031
4,3,3.9980926514,-1.3811035156,-2.2311706543,-12.0490264893,-2.8635597229,-2.2596282959,4.3522377014,-4.6728973389,1.9226531982,-11.8850402832,-4.7143096924,-2.9763793945,2.5172119141,5.3771514893,-4.1958618164,6.4584655762,-17.4894104004,-15.8544578552,-1.5372925997,-0.253074646,16.1803207397,-13.5894012451,-3.0992242098,22.019203186,0.0034912606,8.87513160705636E-05,8.87513160705636E-05,2.862702608,0.1754585386,2.1828787249
5,3,0.6886901855,2.5562744141,-1.1716003418,-6.8481903076,-2.4572296143,-4.6306762695,4.0714492798,-4.9768676758,3.3927459717,-4.5240325928,-0.6568145752,2.5454406738,2.4799118042,0.3804473877,0.5774917603,1.2538146973,-4.0984954834,-6.6337509155,-0.1542105675,3.706401825,2.9827346802,-6.8552856445,-0.3367170691,3.9448165894,-0.0013833663,0.0084683485,0.0084683485,-4.6313948769,1.1755500319,0.2135671469
6,3,2.0366363525,3.2754516602,0.1664581299,-6.5907592773,0.0581016541,-5.2610778809,1.2280960083,-6.4790802002,1.6942596436,-6.8505554199,-3.1592102051,1.4177246094,2.2423782349,1.7742462158,-0.1396865845,1.4648895264,-14.1809387207,-16.8634319305,0.7816171646,-6.689622879,7.2191772461,-16.2235908508,1.1506168842,21.7097930908,0.0009841509,-0.0001755916,-0.0001755916,-0.9017917013,1.2983185811,0.7948113979
7,3,1.5986175537,-0.1141204834,-2.2315216064,-8.4187774658,-1.4327430725,-6.5797271729,0.7647819519,-5.4212646484,2.8480072021,-5.1334381104,-0.8631439209,0.7689056396,1.8954620361,2.5191192627,-1.0554962158,3.7076568604,-3.8066101074,-8.9606208801,0.3059859276,2.757648468,5.5369033813,-9.1282310486,1.2221884727,-3.9614486694,-0.0030735621,-0.002038464,-0.002038464,-2.9735176003,1.7995677239,-0.2272340039
8,3,2.1980895996,0.2464599609,1.5791168213,-8.3768005371,2.9298286438,-4.294418335,0.5869789124,-3.9359588623,-2.0350189209,-11.002746582,-5.9785766602,-2.9633331299,0.4500274658,8.5630645752,2.4237213135,9.5776672363,-15.5875244141,-22.8502845764,-2.5355021954,-1.7364501953,12.6460876465,-20.0584144592,-1.1230458021,30.4061965942,-0.0006079851,-0.0019575581,-0.0019575581,0.6048553254,0.7918432797,0.2355209443
9,3,10.5067901611,-15.9875640869,9.1086349487,-12.1992340088,-2.7176551819,1.9520263672,-9.6511497498,4.4144592285,-6.845451355,-5.1853637695,-3.967086792,-4.8980407715,1.2764968872,13.162902832,6.9705734253,13.6371765137,-10.2461013794,-18.3097610474,-7.9579842091,0.2617301941,23.9086685181,-32.0417442322,-5.3951041698,51.2244033813,0.0126696047,-0.0273505263,-0.0273505263,10.6634652705,13.9243016325,2.9086624254
