,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,3,-0.9505767822,-1.7640686035,-1.1569366455,1.6129150391,-1.11561203,1.7099304199,4.6666755676,3.522354126,-1.0462112427,-0.1936187744,-2.7193450928,-6.3414001465,1.7139053345,-2.6107330322,-1.352722168,0.5930328369,-1.7852172852,-16.2378616333,4.3943958282,2.015827179,2.0080490112,-10.3733100891,3.6008131504,1.1421279907,0.0024249572,-0.0024174452,-0.0024174452,7.0293163467,-2.9233883394,-0.7953673945
1,3,1.9215545654,-0.4497680664,-4.1606292725,-9.0403747559,-5.1410636902,-5.5624084473,6.4784927368,-3.361618042,2.718788147,-11.8451080322,-2.2501831055,-2.4700317383,2.1359710693,1.1059417725,-3.9049987793,2.0347290039,-8.5106582642,-20.3991012573,-1.2528508902,-6.4293289185,13.3844070435,-18.3051624298,0.6743737459,19.1462554932,0.0024032826,0.0032666698,0.0032666698,1.8304768959,-2.852082069,-0.2250495293
2,3,3.5358276367,-1.7149353027,-0.5723419189,-6.6886749268,-0.7454528809,-4.0068359375,0.6025161743,-4.2210083008,-0.7130737305,-5.498840332,-2.149887085,-0.6114959717,-1.3332061768,2.2451324463,-0.1318206787,2.3880462646,-6.8952713013,-6.134098053,1.2840960026,7.4822673798,10.1764755249,-7.7862014771,0.4988393784,3.8065948486,0.0011586831,-0.0002410896,-0.0002410896,-0.7226794547,-2.0533357496,-0.6099401657
3,3,5.1278381348,1.5723724365,0.0015716553,-10.5283813477,-1.1674804688,-7.1864624023,2.9955406189,-11.744934082,9.484954834,-9.3678588867,-1.0945739746,4.0094299316,0.5554122925,13.2373657227,1.6147384644,12.6404876709,-13.8636703491,-9.8874053955,-7.3328084946,-12.7076740265,11.8963928223,-12.0331382751,2.5715314448,23.3057785034,0.0211632913,0.0033118278,0.0033118278,-4.3511104368,0.5089732332,18.8509721368
4,3,5.8398590088,-0.5417785645,-1.1746520996,-12.9195709229,0.5783920288,-7.4986419678,1.699092865,-3.2664031982,2.9953460693,-10.1869812012,-2.0666503906,1.8856658936,0.0455780029,5.9952087402,-2.8844680786,6.1229400635,-19.0819091797,-15.6768417358,0.7929215133,-1.909702301,14.1644973755,-17.6105461121,2.277553916,25.2315673828,-0.0026728316,0.0015152097,0.0015152097,4.0409067718,-0.5371161771,-2.058353125
5,3,1.966217041,-1.4745178223,0.1201782227,-8.1349182129,1.1085853577,-2.9532623291,-0.9576721191,-2.6708679199,-3.0108795166,-5.3239135742,-1.8639221191,-2.2690124512,-2.0556869507,0.580657959,-1.4898529053,1.0574951172,-3.8194732666,-7.5904693604,-0.4602823257,3.091583252,5.2954177856,-7.4946975708,1.6834147871,4.8515625,0.0016261088,0.0114666335,0.0114666335,-1.6410558646,-1.5012633487,-0.3943133468
6,3,3.0234527588,-0.4454193115,0.1434631348,-6.3610534668,-1.922668457,-3.412612915,2.1616630554,-5.2928161621,2.1846313477,-4.4786071777,-1.9692687988,1.89112854,0.4099121094,0.5312805176,-2.5091094971,2.1650085449,-6.7170791626,-15.5157623291,1.2787089348,-5.5867481232,11.727355957,-15.7376060486,0.2085616589,18.9853363037,-0.0008248193,0.0011271127,0.0011271127,0.3026944266,-1.4269055076,-0.810583604
7,3,1.9202423096,-2.10546875,-2.2674560547,-6.7030029297,-1.7911186218,-4.2014160156,2.4167404175,-5.1324157715,1.4852218628,-8.8782348633,-2.4771118164,-2.9332733154,1.6133651733,3.7425994873,-1.1681365967,3.7819366455,-7.0469207764,-8.2787628174,1.4610890895,4.2804489136,7.3273239136,-7.8567504883,0.6479215622,-4.5317687988,0.0031914043,-0.0018855073,-0.0018855073,-2.462433859,-1.7445246952,0.1920727469
8,3,5.6677246094,-2.4543914795,2.3290252686,-10.7061157227,1.3852882385,-4.1625976563,-6.0477981567,-3.8098602295,-4.3353729248,-7.3972015381,-3.3971252441,1.3401184082,0.7212142944,9.2107696533,3.399810791,8.8487701416,-13.5956344604,-18.0244293213,-3.9932991266,-0.0016975403,18.2442855835,-22.6389045715,1.2288475037,30.6889724731,-0.0015693023,-0.0013245456,-0.0013245456,1.150091306,0.9549215123,-0.50242764
9,3,5.3887481689,-2.2464447021,6.5619049072,-1.7374420166,5.2033081055,7.3601226807,4.3562965393,1.9999084473,-6.2286071777,-7.6156311035,-10.8204956055,-10.8359985352,-6.1825027466,10.8060150146,2.78881073,10.0823516846,-21.3667526245,-26.9961624146,1.7358914614,-0.3671703339,8.0243225098,-15.7454528809,4.4378587902,50.8401641846,-0.0159541718,-0.0266592838,-0.0266592838,10.8495634449,-10.5820292902,-3.5381180169
10,3,0.980178833,-0.4826812744,-3.1604919434,-6.3868560791,-1.9766654968,-4.4656829834,0.6492385864,-5.0926055908,2.4038848877,-7.2896728516,-0.9651794434,1.5197143555,0.9697113037,1.1606140137,0.3876495361,-0.5717010498,-5.6903839111,-4.9773330688,-1.4118943214,5.1819133759,5.9831695557,-5.7625312805,-2.3582630754,-6.8744812012,-0.0026667255,-0.0034841076,-0.0034841076,-2.5117650931,2.36568075,-0.546324482
11,3,3.7803649902,12.7217407227,-9.6426544189,-19.0895843506,-2.8589248657,-20.042175293,3.4752540588,-19.4216003418,7.4830627441,-17.0747680664,-6.6150970459,10.2728424072,-0.3037338257,6.3229217529,5.7114257813,6.3151245117,-11.2380371094,-4.9850883484,-0.4493316412,-15.3840174675,12.8319625854,-2.157913208,-1.740203917,4.1342468262,0.0013965634,0.0106065758,0.0106065758,-17.0790996636,0.1249617529,0.7483603273
12,3,4.5042114258,-5.5194396973,-0.3392944336,-12.2145385742,-2.3171272278,-5.6099090576,2.7146987915,-6.8930969238,1.0984191895,-15.591583252,-5.8872833252,-6.1502685547,2.9959259033,5.6885223389,-3.5454483032,5.321182251,-20.0252914429,-22.8511123657,0.1023924835,-5.1538600922,20.7867279053,-23.0214385986,0.2291966677,26.0949707031,0.0035080691,-0.0009701401,-0.0009701401,0.3331122965,-2.6107841145,2.179739092
13,3,-0.6485748291,-1.00831604,-1.6799316406,-1.5056915283,-0.2872848511,1.2243499756,1.5661621094,2.1624603271,1.4879150391,-0.0119934082,0.4498596191,-1.7097320557,2.1153335571,-3.4583740234,-2.3306884766,-2.0936126709,-2.1573257446,-6.5279541016,-4.2600349188,12.1817302704,4.1325149536,-7.56640625,-1.2860000134,4.6745071411,-0.0014988723,-0.0005071722,-0.0005071722,6.291371793,0.9865224686,-1.0173304145
