,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,4,3.1726989746,-8.4264831543,-2.8945922852,-3.6826934814,-13.8455314636,0.7210998535,12.3420524597,2.1906738281,4.7845535278,1.0614776611,-2.2638702393,-6.8379821777,0.7529602051,8.3653106689,-1.6260223389,8.3970031738,4.3173522949,-14.4305152893,-0.9759745598,-13.1595344543,0.4168395996,-19.9402999878,0.1011674404,35.0240402222,0.0059314561,-0.0105342902,-0.0105342902,-3.3381518436,-10.6168705983,-1.5748389724
1,4,0.2735900879,0.2872009277,-3.4074859619,-5.3052825928,-7.1028823853,-2.9268493652,7.7897338867,-0.57862854,4.2281646729,-1.3431396484,-0.5771026611,0.2532196045,-0.3930130005,0.7554473877,0.3284835815,-1.0628967285,3.3377609253,-10.5390052795,-2.0180764794,-19.3802070618,-6.0056838989,-10.479434967,0.975655973,30.2458724976,0.0092069879,0.0006620698,0.0006620698,-4.1553066347,-8.8560556983,1.3681598454
2,4,-0.0721740723,0.8620300293,-2.228729248,-3.0958099365,-3.6156387329,-0.7284088135,2.6963233948,1.8281707764,1.1589355469,1.297668457,-0.1537017822,0.8012237549,-1.2297439575,-1.865447998,0.1253585815,-2.2932891846,7.8659591675,-2.0164260864,-2.1002065539,-22.0183315277,-4.7168273926,-2.7499885559,0.7499210238,28.3923492432,0.0081169354,0.004175432,0.004175432,-2.7753293817,-8.0534348572,0.7906959077
3,4,2.9559326172,-3.9873046875,-1.3404388428,-8.0646820068,-9.413936615,-3.0984039307,8.9677085876,-4.8486022949,6.3048858643,-6.6170043945,-1.4399871826,-1.9569396973,-1.8157424927,8.4798126221,3.1232299805,9.4634552002,0.0763549805,-2.7108459473,3.9567089081,-19.3934736252,-0.5090484619,-4.9278068542,-0.9691545963,15.274848938,0.0047512189,0.0034263059,0.0034263059,-2.2471574515,-10.0678995926,-2.0526568124
4,4,3.0986175537,-8.3488769531,-1.7161560059,-4.6780395508,-12.9309272766,2.3805236816,5.9966087341,2.3654174805,0.7111053467,-1.0645751953,-1.4819030762,-5.2973022461,3.1793212891,3.9477081299,4.0639801025,5.928817749,2.0403366089,-3.8867950439,0.4898920059,-11.9480552673,1.9673614502,-11.2853164673,-2.2808499336,19.9231338501,-0.0036490625,-0.0095840879,-0.0095840879,0.2715275918,0.0477949871,-2.6789380273
5,4,1.3991394043,-9.5920257568,3.7498779297,4.3610992432,0.7242736816,11.1921691895,2.0384635925,16.2505493164,-6.8861160278,5.0861968994,-1.7091522217,-12.412612915,-1.3909378052,-1.6201782227,-2.9211578369,-1.5016937256,-1.2883911133,-5.9562339783,2.1801577806,-3.7526016235,0.4322891235,-3.1899719238,-0.6278964877,17.1100616455,0.0024709156,-0.004263103,-0.004263103,5.753921442,-0.8659074121,0.7943746974
6,4,3.2639312744,-4.5348358154,3.2467880249,0.5082244873,1.3671569824,3.8430938721,0.9521331787,7.982635498,-3.8560409546,2.2387237549,-0.741607666,-4.0175323486,-3.9760513306,0.5123901367,-0.6936035156,-1.3414764404,-0.8562469482,-1.257358551,1.222030282,-7.5095119476,0.2371063232,0.3748397827,0.9222061634,13.5649108887,0.0032107314,-0.0025865063,-0.0025865063,1.4778150106,-2.1067068531,1.1531594919
7,4,-3.9886169434,4.1021270752,-5.830581665,-2.6667633057,-4.7877731323,-0.2844848633,-0.0543479919,1.0956268311,1.5649108887,-0.5219268799,3.6677246094,4.4789123535,0.6950912476,0.3171081543,1.5028991699,0.6524505615,11.9158859253,-9.8680610657,0.2128795385,-20.1693534851,-5.728302002,-9.4867858887,-5.2566084862,33.5024185181,-0.004408977,0.0187264197,0.0187264197,-2.5207795479,6.1545940917,1.4988985425
8,4,2.8890075684,-0.1546478271,0.2321014404,6.9570465088,-8.1315956116,-1.5360870361,4.7131881714,0.6025085449,0.4957122803,9.3722839355,-2.9167633057,0.018447876,1.1683959961,7.2229614258,4.7412033081,8.710067749,7.3852996826,2.583530426,-0.4705142975,-27.2115497589,-6.9666976929,2.5425872803,0.4967691898,19.1099624634,0.0066476567,0.0128702223,0.0128702223,-0.4429861996,-8.2973592056,-0.0977540357
9,4,-1.1008911133,2.2473754883,-6.1183929443,-0.2830200195,-2.7108955383,1.9117431641,-0.5234031677,4.5382385254,2.9526901245,-0.6696014404,3.0320892334,1.5602874756,-1.1920471191,-3.6604766846,-1.5618209839,-4.4027709961,11.4027862549,-7.3941192627,3.2978463769,-21.1787858009,-10.1544876099,-5.0850219727,-2.5231046677,38.267326355,-0.011782703,-0.0033039302,-0.0033039302,-1.3647251078,15.1370890417,1.0715987888
