,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,4,-0.0908813477,-2.2644805908,-7.0741500854,6.5151977539,-12.8983383179,2.6575775146,14.2683067322,2.2262420654,-0.2346191406,1.2025909424,-2.6239624023,-9.4943084717,3.268913269,0.9946289063,-3.2369308472,5.030670166,-0.0666122437,-21.344127655,4.6579606533,-12.6140651703,-7.4351196289,-14.0507278442,1.5213117599,32.3281173706,-0.0097244214,-0.0090663694,-0.0090663694,-1.891041637,13.8689145076,1.2251070468
1,4,-0.9640350342,6.1859588623,-9.1970748901,-4.1572418213,-8.1116828918,-5.0535125732,7.5718002319,-6.9944915771,6.6798782349,-9.2543182373,-0.2034912109,5.0813751221,1.2138900757,-2.8867034912,0.9512176514,-1.6282958984,4.5724868774,-8.82081604,1.0071972758,-18.1084918976,-1.3939208984,-9.4122886658,0.529645443,30.1813354492,-0.0075301491,-0.0011114217,-0.0011114217,-5.8414130185,6.7363848431,-1.8776628613
2,4,-2.0970458984,6.0703887939,-5.9949874878,0.7215270996,-3.4255371094,-3.8043212891,4.3618354797,-3.8610229492,5.9406356812,-4.5048522949,0.5224609375,4.6050109863,-0.5894012451,-2.9745025635,-0.4438400269,-1.9947509766,5.9887466431,-4.1368293762,0.7524908483,-21.639289856,-5.0799789429,-1.7682189941,0.2172864676,29.2037582397,-0.0064670257,0.0024658628,0.0024658628,-4.7943205831,6.6461437536,-1.0192622098
3,4,1.0711669922,-0.1085205078,-3.0571289063,-7.8329162598,-3.409072876,-7.1539459229,6.7307319641,-5.2430114746,3.4453582764,-9.8531646729,-0.2476959229,-0.155670166,-0.6519241333,9.1556854248,0.2880859375,7.8607025146,0.8371505737,-3.4440345764,-1.7270612717,-18.8038434982,1.2104415894,-4.2666130066,-0.930693388,14.1421356201,-0.0058912588,0.0030812435,0.0030812435,-2.3813721512,10.7641556956,1.5794005043
4,4,1.6735839844,-3.5896911621,0.3254241943,-3.5938568115,-4.8686447144,-0.9810028076,9.6150283813,1.7002716064,2.295425415,-6.1990203857,-1.8836669922,-5.3278961182,0.7539596558,3.88331604,-2.8759231567,3.5052337646,-1.8949737549,-9.2666740417,0.0093402863,-11.6164550781,1.2775802612,-5.8611946106,1.6372630596,17.2640075684,-0.0017165947,-0.0103651993,-0.0103651993,0.1500687029,6.3672207634,2.4458872763
5,4,1.6639556885,-10.7243804932,3.7175674438,6.2628631592,-6.0281677246,13.5938873291,3.2895088196,8.9289093018,-3.9617538452,4.149810791,-2.3164978027,-9.0964202881,2.5809707642,-0.2453460693,4.0110931396,0.492767334,-1.9280090332,-5.051158905,-0.400052309,-6.8285102844,-2.0540008545,-7.196762085,0.2136766464,20.023147583,-0.0045858469,-0.0052327849,-0.0052327849,4.8267117702,2.8225813406,-1.4464960465
6,4,3.2289428711,-9.2183990479,6.2072982788,2.9700927734,-0.5384101868,9.6339416504,-1.2432289124,8.4660186768,-5.9967269897,5.7976989746,-3.7710571289,-6.9987182617,-1.0456161499,-0.2176361084,5.2014694214,-0.0853118896,-1.0570449829,-0.6676940918,-1.3663198352,-10.1836051941,0.061958313,-2.9315338135,0.3156220824,16.5346221924,-0.0026627412,-0.001708582,-0.001708582,2.7106751002,1.7313806028,-0.9569728345
7,4,-3.4503326416,5.3710174561,-4.3428955078,1.0904388428,-0.7523956299,-1.785369873,6.043296814,-2.1555938721,5.6565093994,-1.0579681396,2.2428741455,5.0800170898,-4.1473770142,2.4286651611,-1.535118103,-0.1589508057,6.0135345459,-11.5715255737,-1.3811476231,-20.3747005463,-9.4842834473,-8.4144744873,2.7756312788,29.7409286499,0.0052858877,0.0186060779,0.0186060779,-3.4451140618,-6.3497340451,-0.9442596597
8,4,1.200302124,3.1878967285,-2.0021057129,5.7396087646,-3.5312461853,-0.8676605225,8.317401886,-3.3622131348,4.3423461914,4.4863891602,-3.0806274414,1.4364318848,-3.7050094604,4.7561035156,-0.4102172852,4.668838501,5.4120864868,-1.5419769287,2.027349472,-24.6120243073,-5.932762146,3.3558959961,-0.9800601006,17.998085022,-0.0058261799,0.0122634843,0.0122634843,-0.7263318669,7.1132547188,-0.0331202555
9,4,-2.5588531494,1.4027252197,-1,0.2972259521,2.6977462769,3.6322631836,2.9933166504,2.0788726807,4.8466796875,-0.3715057373,-0.5090179443,0.7986450195,0.9538955688,-4.6782989502,4.0151519775,-4.0078430176,11.0124893188,-6.1304512024,-3.5590916872,-21.7006821632,-9.8349075317,-5.8898620605,0.5583071709,36.7521820068,0.0117607303,-0.0033699833,-0.0033699833,-1.5772168238,-14.99765214,-1.2450734075
