,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,5,2.6703643799,1.6362457275,3.4213180542,9.9787902832,3.5097770691,5.9276275635,-3.8170471191,7.4981231689,-7.2856674194,8.7159423828,-2.9033660889,-0.9617614746,1.397644043,-7.6469726562,-1.2572479248,-5.0355377197,-4.2259368896,2.2164764404,0.9478816986,5.9171485901,2.9418029785,3.3040771484,-0.7962875366,5.1887588501,0.0022302077,-0.0163468048,-0.0163468048,5.8409337879,-0.7585873864,0.9339660783
1,5,4.1266326904,2.9319000244,3.3722763062,7.4562072754,4.1706542969,-0.7654724121,-5.4564151764,-0.0315551758,-4.6673660278,4.4523773193,-1.7301940918,2.8212280273,2.496673584,-5.891998291,-0.1714248657,-4.4676055908,-5.6087799072,8.8649940491,-1.7239712477,-1.4373703003,4.1921691895,6.8979415894,-0.2279429436,-0.2647628784,-0.0036557876,0.0004458614,0.0004458614,-0.1010126117,3.2152115144,-0.3644312291
2,5,-6.0051574707,2.6861419678,4.4232254028,12.8057861328,11.214263916,16.9284210205,-13.3289146423,12.5984802246,-8.2260742187,11.689239502,-2.172744751,-0.5523681641,3.4783859253,-1.6072235107,3.7137680054,0.1390075684,11.5884857178,0.5139274597,2.1299316883,-5.5969104767,4.9933319092,7.3214187622,-0.2367622852,25.1640853882,-0.013651262,-0.0119893476,-0.0119893476,2.5424603882,15.5737579939,0.1225146827
3,5,0.5244903564,3.1950683594,1.4664764404,4.5561828613,1.0092315674,0.0645141602,2.851234436,-2.5694580078,4.5162506104,1.9680633545,2.4752655029,2.9550018311,2.3479995728,-2.0681915283,-0.8108139038,1.3007659912,-2.5076141357,2.1158676147,-0.6605075151,0.3033027649,-5.651550293,1.0205001831,-0.1037943363,-4.2542572021,-0.0030964616,-0.0122944042,-0.0122944042,-0.385659212,6.0342704452,2.7732914724
4,5,-0.4373626709,0.4180603027,1.8760757446,2.3340606689,1.8554954529,6.8977813721,-5.5893249512,11.0445404053,-1.2509460449,3.8217010498,1.9813995361,3.7302703857,0.790397644,-5.9468841553,0.9734954834,-6.6358337402,1.6951141357,6.2610588074,0.122158438,3.3907356262,-0.2098464966,3.3333091736,0.0215990841,-0.9405593872,-0.0035742967,-0.0025928542,-0.0025928542,7.9175101598,0.714193139,-1.8767125129
5,5,-1.5927276611,1.0176239014,0.8293609619,2.4853210449,3.7039985657,3.9619903564,1.6715049744,3.4496459961,0.1371002197,2.2762756348,-0.4792938232,0.5292510986,-4.5619354248,-1.8233947754,-1.9582443237,-1.6641235352,7.8968658447,6.1119194031,0.6138288975,-4.7306060791,-0.074256897,8.4560966492,0.4852688015,-6.3230743408,0.0056937549,-0.0016825572,-0.0016825572,1.6248171223,-3.836666798,1.8437984334
6,5,-0.2554168701,5.0491485596,-1.5012969971,2.1274261475,-0.6540145874,-3.0661010742,3.3912620544,-3.8278961182,3.4572143555,2.1582489014,-1.4102172852,3.3520965576,-1.560043335,1.6971893311,1.2796173096,1.544921875,1.7836761475,5.1311302185,0.9477057457,-7.4222373962,-5.8790283203,6.8167076111,-0.2244462967,-9.228263855,0.0006697588,0.002453208,0.002453208,-3.3651093595,-0.6231725192,-1.082008404
7,5,5.2698364258,-1.1922149658,3.8793563843,3.3197631836,1.5009002686,-0.1441345215,-3.0154304504,1.7890472412,-5.8848495483,5.7915039063,-6.164932251,-0.5917358398,0.4541854858,-1.9092102051,-2.0227203369,-0.915725708,-7.8254928589,3.4268493652,-1.7817504406,7.1102352142,15.4171600342,1.6711845398,0.3816523552,5.3107376099,-0.002553483,-0.0054997616,-0.0054997616,5.8058985042,2.0187556121,-0.7199175905
8,5,-2.8737945557,3.1223602295,-0.2739105225,4.84815979,5.6047592163,2.7655029297,-3.3589019775,3.377166748,-2.1709976196,2.0498046875,1.2048187256,1.4417419434,-1.7252578735,-4.6932373047,-2.2481079102,-7.7688751221,0.247718811,1.0737342834,1.7781406194,-1.1055297852,-4.4781723022,4.3676872253,0.3096946478,-3.5848922729,0.0062087775,7.42711126804352E-05,7.42711126804352E-05,2.0545015428,-4.764282404,0.8948617728
9,5,1.5251464844,1.5236663818,3.7985839844,-0.792175293,7.3040084839,2.8314361572,-9.8692016602,-1.4021606445,-5.2041549683,-1.9111175537,1.6480560303,2.6810455322,1.8435211182,-4.1522521973,1.7373962402,-3.6702880859,-6.6936950684,1.9984436035,-4.9217177629,19.5510253906,-0.9060897827,-1.1927871704,-2.4003062248,-7.62474823,0.000861675,-0.0120680518,-0.0120680518,0.9099844246,1.505554812,0.6925849826
