,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,1,5.9131774902,-10.6512908936,4.1135482788,13.4787597656,-5.2262973785,22.3328552246,2.2808914185,20.6398162842,-1.7730407715,15.6130981445,2.1623535156,-8.5315856934,-1.2401809692,-4.5542144775,-5.4017944336,-4.9304199219,-3.1154251099,-3.1704063416,4.1166286469,4.2659111023,-4.7955551147,-16.6438713074,10.5079369545,18.1497268677,0.0006034654,-0.0173444748,-0.0173444748,13.0663047054,1.122054827,2.1235939653
1,1,3.074798584,-0.5447387695,0.5194854736,4.9652557373,-1.758430481,1.4583129883,2.5382003784,0.4730072021,-2.0543136597,2.217880249,-6.620513916,-1.5324707031,-2.6250534058,0.3758850098,5.5958023071,2.059387207,1.2625579834,-1.3087539673,-0.422621727,-22.1756076813,1.0169067383,-3.7140693665,-3.5177278519,17.2146224976,0.0093133659,0.0024216101,0.0024216101,0.1414168672,-6.5418924633,-0.8291557939
2,1,1.6328277588,-4.3046569824,9.8736038208,1.2236022949,16.1026821136,8.8336029053,-16.0615539551,9.2936401367,-9.5639953613,0.5847473145,1.7623291016,-2.8187866211,-4.3375854492,1.7811889648,4.1259536743,-0.8930358887,-1.9168930054,1.3715515137,-2.5611696243,-2.5928268433,2.7367095947,-4.0616149902,-1.1534433365,2.6273117065,0.0052549638,-0.0053153709,-0.0053153709,5.9271307191,3.1184066632,1.2838639299
3,1,-2.4709777832,1.598739624,0.9251098633,4.3386535645,2.0802516937,7.6913299561,-0.8669013977,3.7477111816,1.8406600952,4.1411895752,3.5608062744,1.8100128174,1.0755004883,-0.7127532959,0.0888519287,0.1075744629,1.1489181519,-4.7501602173,-3.1245336533,-8.3627815247,-6.935256958,-10.8892021179,-0.5599594116,16.5952911377,-0.0045259316,-0.0123008005,-0.0123008005,3.5930835543,0.4510683735,-0.3936077102
4,1,-3.9536437988,1.0934906006,-4.0324859619,6.8300476074,0.1449279785,6.5285186768,0.23960495,5.0603942871,-3.3765869141,3.8300018311,-0.8316802979,-2.6673126221,-4.1964035034,-1.7275543213,0.1662063599,-1.9919433594,9.5732421875,-4.1211700439,5.3003263474,-25.7873697281,-10.259437561,2.3414802551,-2.9722304344,23.6628036499,0.014700776,0.0149938315,0.0149938315,2.9547426418,-8.0220822225,3.6669669255
5,1,2.4938049316,-5.1104888916,2.0790252686,3.2242279053,0.2597942352,7.606918335,1.2362365723,4.6698455811,-4.6668624878,5.7074584961,-6.1445770264,-3.9739990234,1.0781173706,-0.4556427002,-2.6687088013,-2.7436218262,-6.3900146484,3.4155731201,-1.4354152679,-7.3142547607,0.6926879883,-3.8309783936,-1.1734113693,24.1562576294,0.0058891459,-0.0067855343,-0.0067855343,8.426170198,-2.1116182783,-0.3964687108
6,1,-4.357208252,3.0948028564,3.3240737915,5.3801269531,14.644865036,7.1333312988,-15.3326835632,7.5958251953,-4.4565200806,7.1766204834,8.1026153564,5.818862915,-3.4634246826,-2.9897613525,-0.8633499146,-6.3063964844,13.672706604,-0.7417411804,1.9835739136,-20.0151252747,-13.5624008179,-0.3503952026,-0.2975358963,20.0647735596,0.0045623941,-0.0008882768,-0.0008882768,0.4106338118,-3.275348879,0.2422135856
7,1,3.1724090576,2.849029541,6.5811233521,4.7661895752,11.6924343109,3.6013641357,-3.8363113403,0.7193450928,-5.2722473145,-1.8458557129,-5.8513641357,-0.3988800049,2.2738571167,-9.026184082,-2.0596313477,-14.3247375488,-21.9853591919,-11.0265731812,-5.8802080154,1.9336509705,3.2597122192,-6.4435348511,-9.9810426235,23.0527191162,0.0046842881,-0.0121972226,-0.0121972226,6.7931259936,-0.5245975887,0.6690681316
8,1,3.0620269775,-4.5990753174,1.5234375,3.2794189453,-2.6703872681,8.4790802002,3.9459457397,7.455368042,3.2207183838,1.9526367188,0.5800628662,-2.3442382813,-5.6585617065,-2.5351104736,1.7809371948,-4.1232910156,-7.3228302002,4.839553833,0.6810798645,-3.1536083221,-5.6242828369,1.4839706421,0.1544466019,9.1659088135,-0.0028250329,-0.0017776601,-0.0017776601,1.8239315191,0.4941054002,-1.1989473576
9,1,-3.3614959717,-0.0255889893,6.8137664795,6.6691131592,14.5735282898,11.93800354,-15.6287841797,10.8206634521,-7.9563598633,6.8010253906,4.3071594238,-0.0480499268,0.2356567383,-7.9560089111,0.0975341797,-12.0278930664,-3.9187927246,-15.5925064087,-3.8735628128,0.5313339233,-6.3983612061,-15.4462471008,-6.4296700954,23.2758789063,0.0042810468,-0.0102256387,-0.0102256387,7.1289592424,2.8971742956,2.2672884014
10,1,-1.252822876,0.2922973633,-2.7037658691,6.1517791748,-6.4340858459,14.8196258545,-4.8780822754,11.1377105713,-0.6856079102,5.7194061279,5.594909668,4.1265106201,-4.1064071655,-1.8697052002,9.8224182129,-0.565322876,8.8188018799,8.4145393372,-2.9853162766,-10.2428607941,-20.3637008667,3.8285903931,-4.2168140411,-6.134803772,-0.0074455934,-0.0033364818,-0.0033364818,4.1496240846,6.7539135655,-0.9679755439
11,1,-3.3517150879,-2.3580169678,3.9861297607,9.5338745117,7.7675514221,16.1131591797,-14.1988258362,15.3675842285,-6.1317443848,8.6863708496,12.2383422852,3.6366882324,-2.8549194336,-9.5717010498,0.8180389404,-14.2646942139,10.3115310669,-0.1881637573,-9.0355100632,-12.3496742249,-10.2208709717,-6.2450408936,-3.3601903915,24.8001556396,0.0094208026,-0.0042529553,-0.0042529553,6.8002951406,3.1199416923,3.1591372907
12,1,-0.2719421387,0.0768890381,3.9780426025,6.6290588379,5.4248962402,6.4273986816,-10.6423149109,5.544418335,-7.0453796387,3.8733062744,3.9262695313,2.4757995605,1.185874939,-7.2957305908,1.8022460938,-9.2729187012,-0.5917205811,2.5776824951,-3.1184501648,1.0118331909,-3.2977142334,-3.7373580933,-4.2046556473,3.5168533325,-0.0027135871,-0.0019983575,-0.0019983575,4.1943015881,4.6005696432,-0.4718521736
13,1,2.7581176758,-6.8963623047,-0.0053482056,2.0761871338,-13.1888198853,7.2422943115,8.2705459595,5.2199859619,2.8581390381,4.9228668213,0.765625,-0.3731842041,0.5704574585,-0.1017456055,5.8191452026,-1.9597167969,5.4987335205,-10.4580459595,-9.350153923,-23.023809433,-14.1229171753,-20.9025878906,-6.1573753357,23.5563583374,-0.0046552941,-0.0048352629,-0.0048352629,1.7253344741,6.2739248526,0.8277056458
14,1,-3.9556121826,12.4067077637,0.7486190796,11.1585693359,13.0013809204,6.0132598877,-14.3782463074,3.2989654541,-5.190826416,3.8038635254,5.771987915,11.0202941895,-3.3770675659,-8.8635864258,2.07006073,-7.9089508057,8.6683731079,1.8757858276,-3.2861680984,-13.807217598,-14.2227935791,1.643737793,-4.9280691147,18.9341125488,0.0012603514,0.0012479424,0.0012479424,3.3644196984,0.2911216649,-3.2592324019
15,1,-3.791519165,1.6888580322,-4.5839691162,-3.7781219482,2.515537262,6.2166900635,1.7998352051,7.215637207,2.3416748047,-1.058380127,1.2002410889,-5.845199585,-1.0276184082,3.4598846436,3.2393951416,5.8748474121,-6.8417663574,-14.9078178406,-3.4672131538,-0.7567214966,-7.9230194092,-9.4627342224,-6.8241689205,22.2745742798,-0.0049927123,0.0011107922,0.0011107922,6.4884752063,4.0686976038,2.1934197974
16,1,0.3133850098,-5.4290008545,1.3100585938,-1.8765716553,1.3979187012,5.6468658447,3.2986831665,2.4922485352,1.6459274292,0.1881866455,0.2094726563,-4.8757171631,-2.0907821655,4.8177185059,0.1463241577,5.1372528076,0.9698944092,-5.7221183777,0.8612298965,-8.8139667511,-9.9049835205,-10.5458831787,0.8064775467,20.3515548706,0.0047927087,0.0157926679,0.0157926679,1.9662550055,-4.3857801207,2.6472506332
17,1,-6.8436737061,1.8536682129,-2.7032775879,1.9913024902,3.2259197235,10.1852874756,-2.6659698486,11.245880127,-2.2548370361,0.4156188965,2.9569244385,0.6364135742,-1.6893386841,-1.1759796143,-1.1226882935,-5.5581359863,10.0348892212,-5.2312545776,2.4993524551,-12.2324886322,-11.2806777954,-5.2624969482,-3.4332447052,19.6775665283,0.0014252877,-0.0130741298,-0.0130741298,4.8320228585,-0.9466755732,3.767933235
18,1,-4.6628570557,-5.573425293,-4.3923034668,2.4270629883,-12.8891468048,14.5401153564,7.978603363,9.6171264648,5.086227417,2.985244751,3.1382904053,-2.5945281982,3.2747116089,1.5398712158,1.9054260254,-0.5155334473,0.8814620972,-10.6574630737,-5.3489952087,-10.4527454376,-12.0527420044,-16.2434272766,-4.3392896652,33.0769729614,0.0057762959,0.0030079708,0.0030079708,4.1582182844,3.5971108802,0.4902602222
19,1,-1.9910583496,-2.3781433105,-0.4115219116,0.267791748,-1.189250946,9.1154632568,-3.9114723206,8.0437774658,-0.1600494385,-3.0572814941,4.1136627197,-0.3576202393,-1.2410888672,-2.6619567871,2.2011108398,-1.8588409424,8.0403900146,-3.5040016174,-3.898273468,-4.6972618103,-8.023399353,-6.4843063354,-2.6967964172,-0.1076278687,-0.0043382673,0.0003449917,0.0003449917,6.5635989718,5.9047014795,-1.9903720427
20,1,0.7455749512,1.1292266846,2.2009124756,5.1504516602,4.3826026917,0.052947998,-5.0542602539,1.4821777344,-2.2543945313,6.1183929443,-0.453994751,2.3137359619,-3.3512878418,0.141708374,2.2756271362,0.6369781494,2.7553024292,0.1655654907,3.3557834625,-12.4283332825,-5.0981674194,-3.28698349,1.8321838379,10.0136413574,0.0041317516,0.0006408542,0.0006408542,-0.3262882371,-2.3677206111,-0.7675219264
21,1,0.4853668213,-1.6788482666,-0.7016906738,0.5001983643,-1.522567749,2.7964782715,3.8853187561,3.3625335693,-1.3283996582,3.7113800049,-1.7353363037,-3.790222168,0.2814102173,0.3187866211,2.0824813843,0.1731719971,-2.3003234863,-3.9890098572,-1.3593540192,-7.3821125031,-5.8022079468,-6.8161888123,-1.5881118774,14.2245407104,-0.0004794067,-0.0076279268,-0.0076279268,2.5014338423,1.2641949377,0.8320357606
22,1,-0.0743560791,0.5901947021,2.7020111084,0.53074646,6.7835731506,2.2227478027,-0.1965370178,3.3602905273,-1.056640625,0.6228179932,0.7339935303,-3.0432128906,-4.3093109131,-0.8233184814,-2.3101272583,-1.7516021729,-0.088760376,-6.3567390442,4.2135381699,0.942440033,-3.9526519775,-2.8762130737,-0.0985269547,3.1502609253,0.001298422,-0.0050200075,-0.0050200075,1.1293017378,-3.4052288431,1.5971741926
23,1,2.2886199951,-4.5341339111,3.0615539551,0.7374420166,-4.9272918701,5.1389923096,5.1905326843,1.4043273926,0.7688522339,0.3351593018,-5.9221954346,-2.5380401611,-2.7023391724,0.8306427002,5.0544815063,-0.4065093994,0.3107833862,-3.5382232666,-9.113088131,-6.6682815552,-0.4405441284,-3.0898170471,-8.3117597103,7.8779296875,0.0153169204,0.0398652405,0.0398652405,-0.814871333,-0.9133876734,3.0554198323
24,1,3.0022277832,-1.9452514648,3.033706665,0.3515472412,1.3567504883,4.1215667725,5.7045631409,0.5344543457,5.756111145,-2.8965454102,-1.7570953369,-3.9868164063,2.7478103638,-1.9184875488,1.2240829468,-5.3733520508,-16.6707077026,-16.4145507813,-7.6856846809,-2.7199821472,-4.2437667847,-18.0589790344,-8.9367390871,14.2122573853,-0.0011218097,-0.0081536323,-0.0081536323,3.87922898,2.3671713307,2.829413298
25,1,-2.9175109863,1.0669250488,4.705696106,2.069519043,18.2927570343,13.9191894531,-1.4203643799,15.2885284424,-3.6542053223,4.7774353027,-2.9342956543,-5.050567627,-0.8144607544,-5.8420562744,-3.9112472534,-11.4994812012,-11.0888214111,-10.1618652344,-1.3532056808,1.113067627,-27.5024337769,-16.4150848389,-2.0833892822,16.0585403442,0.0024627447,-0.0140119791,-0.0140119791,16.4200084868,-3.6899788749,-0.7020062203
26,1,1.9381103516,3.6158905029,3.977973938,5.3355102539,4.5973434448,5.3142242432,-4.3416023254,6.2433319092,1.6423339844,7.6548156738,0.2260437012,7.219329834,-4.0866317749,-4.8281402588,1.6645965576,-8.7276306152,2.8927536011,-0.3634338379,-0.3919487,-16.6427402496,-7.2429351807,-5.8193664551,2.972486496,21.6418457031,-0.0025386475,-0.0083448105,-0.0083448105,1.0065721217,-1.6875124564,0.6704022832
27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1,-1.9322967529,9.1595611572,1.380607605,-4.9016113281,12.0311222076,-7.344619751,-10.2594223022,-2.6884613037,0.1980438232,-4.1961364746,6.7855987549,6.2542724609,-5.4459838867,0.4842529297,3.0550842285,2.3576049805,0.1805038452,-8.4715309143,-3.502661705,-18.1422328949,-8.7520904541,-4.7723083496,-6.1428794861,7.3789825439,-0.0016173823,0.0081961527,0.0081961527,-3.9301051104,2.7219531192,2.1009883785
29,1,0.437713623,1.3548431396,-1.3727493286,1.8920135498,0.1202507019,5.6408996582,-0.847240448,2.7683868408,3.8004608154,-0.4448242188,2.8428344727,3.6608886719,1.2614974976,-4.038482666,0.8256454468,-5.8524169922,-5.3895950317,-2.0992126465,-1.0500993729,-8.5594539642,-7.7349777222,-8.3561439514,-3.8840355873,18.080619812,-0.0018191105,-0.00391124,-0.00391124,2.7816850193,1.9037281493,0.2269421489
30,1,-4.4168243408,-0.373260498,-4.7331085205,0.6417388916,-2.1669387817,7.8026123047,-2.9171485901,9.7259063721,2.4631118774,2.6746368408,6.0510253906,0.3679046631,2.5027770996,-6.059677124,2.5323867798,-4.2907867432,8.2959747314,-1.5857162476,-3.5311727524,-5.8878498077,-5.3413772583,-6.4772033691,-2.9882698059,-1.6617889404,-0.006442069,-0.0109440759,-0.0109440759,4.6788942651,6.0021956711,-0.6144342141
31,1,1.8764343262,3.4291229248,1.1056900024,5.3448181152,-0.4991264343,-3.6883392334,0.6034927368,-3.3936157227,0.1087112427,3.861831665,-0.1852722168,5.432220459,-0.4154129028,2.0638122559,1.6858978271,1.4506530762,1.106880188,3.155834198,0.7173976898,-22.1380252838,-6.3641052246,0.0063400269,3.155415535,9.1456069946,0.0012581307,-0.002553314,-0.002553314,-1.8391585742,-2.9108044391,-0.5381990665
32,1,4.032699585,-3.3118286133,-2.4273529053,-4.4257202148,-6.9979515076,0.6486968994,5.7563323975,-1.0498046875,1.1220855713,-2.0790557861,-3.0702362061,-3.7203369141,2.2324142456,3.7016448975,4.3459777832,4.3353118896,-16.873046875,-10.6316108704,-6.0102415085,-11.3837680817,-6.291229248,-14.5749778748,-3.8592643738,24.791633606,-0.0050345529,0.000769686,0.000769686,2.9828261758,5.4785403158,-0.4469076202
33,1,-2.2302398682,2.5280609131,1.9549407959,-2.7453155518,3.9107532501,-2.0834197998,-17.9023590088,-8.0885009766,-4.3331604004,-4.7597503662,-0.2033843994,6.6722259521,2.5429992676,2.2270965576,4.5472946167,1.4908599854,-1.3259658813,1.3565750122,-2.9734725952,-9.9401016235,0.2164611816,-3.5640678406,-1.9959716797,2.1943588257,0.0029224432,0.0001059696,0.0001059696,-2.0687563832,-0.4790481688,0.5288832974
34,1,-0.3187408447,-3.9974365234,-1.2918777466,2.4988861084,-2.4387054443,5.9021148682,-9.7633094788,6.1851196289,-1.0720367432,2.7671051025,6.9151763916,8.2043304443,1.0997848511,-4.5321502686,3.9672927856,-1.977142334,9.6322937012,4.7616729736,-13.8705701828,-8.7821598053,5.1638641357,-11.4615287781,-9.5125837326,8.576789856,0.0061501071,-0.003033936,-0.003033936,3.290811091,23.4025204923,-1.4500826667
35,1,1.4423065186,0.7835235596,2.8315124512,5.1233062744,3.847454071,5.1761779785,-0.2548751831,4.1352233887,0.0555725098,7.6018676758,-0.03855896,1.8246154785,-0.4208908081,-2.7020111084,4.6860351563,-4.6842346191,-0.4727630615,-10.8090553284,-1.5313749313,-12.2309017181,-2.0611114502,-14.9596061707,-3.6212873459,27.5844268799,-0.0018109288,-0.0109144002,-0.0109144002,2.8152401216,0.5870264413,1.6885044506
