,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,2,3.0014038086,-2.8496856689,3.1818084717,5.9725799561,2.8320503235,4.5195770264,-6.0658378601,3.1026153564,-2.4994659424,4.734588623,3.3541412354,3.3947601318,1.4954681396,-1.5950469971,-2.1308364868,-4.2799682617,-1.6282272339,1.853515625,-2.7693395615,-0.8855171204,0.4841308594,-3.8014144897,-0.4322018623,12.1991271973,0.0051189056,-0.0048619993,-0.0048619993,4.5722487687,-2.028732546,1.0847862352
1,2,-2.0342559814,4.6721343994,-2.3389205933,4.3659210205,1.9351119995,-0.66065979,-3.8199882507,-0.9735717773,-3.4651565552,1.8429870605,-0.8492889404,3.04637146,0.9923629761,-4.1873474121,-0.3521270752,-3.2191467285,6.7984848022,3.8680038452,5.6738214493,-19.9099884033,-1.8546447754,4.3012542725,-0.8554506302,19.0178451538,0.007700956,0.0031670779,0.0031670779,-1.2446590452,-6.1790335874,-1.8992045039
2,2,6.9879608154,-7.8867034912,2.0213012695,-11.833984375,-4.352848053,-3.1403198242,4.2946090698,-0.1660308838,-6.3320007324,-10.8597106934,-5.1873016357,-7.2683258057,1.9711227417,2.4033660889,-2.1475296021,2.4000244141,-12.0610427856,-2.4424591064,-2.4116220474,7.4673252106,11.3640899658,-9.629234314,-0.9809045792,3.7336502075,0.0060751442,-0.0038210228,-0.0038210228,3.8863075288,0.740676744,0.9084187692
3,2,-0.2092590332,5.7136230469,-2.8440170288,3.1685791016,-1.9754924774,-1.1310424805,1.9143257141,-6.8094329834,3.0356674194,-0.5095214844,-0.5836181641,6.2319641113,2.9545593262,-1.1094207764,-0.3298721313,-2.4619903564,0.393081665,0.0149536133,-1.4776306152,-5.4317207336,-2.027557373,1.1393432617,-1.4736404419,8.2303771973,0.0029454064,-0.0009632967,-0.0009632967,-0.0510189502,-0.8538523146,-0.7547956093
4,2,6.9245605469,-0.182510376,1.5683135986,2.7896270752,-3.1998748779,-1.8964233398,5.5057182312,-4.6268920898,-4.3462677002,0.5648498535,-13.4293670654,-3.2083740234,-2.8953552246,4.9122009277,-0.8370742798,3.3538208008,-6.8515090942,3.9922866821,7.1619005203,-11.0750999451,4.0650787354,6.2168006897,3.9526872635,10.3603744507,0.0125091532,0.009060625,0.009060625,0.480061303,-10.6867711028,2.2345157885
5,2,3.6122589111,-3.8187866211,3.7755432129,-1.2090301514,1.0480213165,3.7038879395,-2.3305091858,2.0713500977,-3.3495788574,0.0399932861,-2.7069091797,0.2237243652,3.6586608887,-4.8468933105,-2.8115158081,-5.9858703613,-6.1196365356,6.1120681763,-6.6558113098,0.800699234,12.7245178223,0.5316619873,-3.7118577957,7.169593811,0.0009627149,-0.0035342202,-0.0035342202,5.6568039285,2.4499820354,-1.7987344787
6,2,-2.7774658203,4.2495727539,1.7034912109,2.2653808594,9.2635822296,2.1717071533,-7.5100402832,2.3312225342,-2.119682312,2.8976135254,3.6291046143,4.9151306152,0.8315429688,-8.1898345947,-3.5189361572,-10.0741882324,3.721572876,2.0632400513,-0.5444021225,-10.64402771,-3.6644439697,3.1367645264,-2.2039203644,10.8365478516,0.0029540102,0.0007722005,0.0007722005,0.068785834,-0.8623465061,-0.5327394021
7,2,4.9267730713,2.8174133301,2.6439819336,-9.3902130127,6.0370330811,-3.0442657471,-8.9063835144,-8.0711364746,-2.2412567139,-14.4656677246,-1.803894043,7.4017181396,6.2861404419,-5.8247375488,1.9693832397,-8.7050323486,-18.1582794189,-0.3513832092,-5.5685558319,1.1619491577,9.1243362427,-4.1870880127,-7.5838255882,12.5141067505,-0.0014308775,-0.004830759,-0.004830759,0.8242664913,6.0203125916,0.4134364129
8,2,2.6372833252,8.5620117188,-0.9379730225,2.4530792236,2.5639801025,-5.1917266846,1.0571861267,-7.9206542969,4.6209564209,-1.0466766357,0.9167938232,10.7879486084,1.1420516968,-5.6807861328,-5.4699249268,-5.9465026855,-8.3826446533,2.7702713013,1.8983869553,-6.7757453918,2.8041763306,2.0464248657,0.9688024521,4.136932373,0.0002107825,-0.0032315552,-0.0032315552,-2.9251343003,-1.2080920007,0.0479733219
9,2,8.5885314941,-0.7449645996,4.9095840454,-10.0185394287,0.9468688965,-10.7132568359,4.9461402893,-8.7149963379,-3.775894165,-9.6254577637,-12.9140930176,-7.9485473633,3.5397109985,3.6761932373,-5.5253295898,1.7954101563,-25.4829177856,-10.3351478577,3.4417238235,-5.5089187622,10.2875442505,-3.717010498,-2.0102171898,13.1439361572,0.0079391329,0.0059077889,0.0059077889,-1.5997544912,-4.19898177,4.2734395577
