,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,3,1.1561737061,-2.5488128662,1.6377716064,0.9577178955,0.5554504395,2.0016021729,-0.98645401,0.7904663086,-2.1646957397,0.1993103027,-1.77003479,-2.1910705566,2.2872467041,-0.9479827881,-1.9218215942,0.1021118164,-3.0152511597,-14.1501846313,4.9109768867,1.6281051636,5.1916732788,-11.1675300598,2.9279537201,1.7412185669,0.0061184336,-0.0048630387,-0.0048630387,5.6807040544,-4.9819526039,0.0092218303
1,3,2.7381134033,-5.5096740723,-2.1612243652,-11.3049621582,-4.0105171204,-4.9490966797,1.7657012939,-3.3518218994,2.1452178955,-9.0019226074,-0.8493652344,-1.8876953125,0.8016052246,2.2992095947,-4.7699279785,2.9086608887,-4.4325561523,-23.7850914001,3.2507133484,-8.7721748352,14.99269104,-19.2864894867,6.2032194138,17.5536499023,0.0035837311,0.0030099265,0.0030099265,1.7623603213,-4.9881770228,-1.2691314823
2,3,0.5639038086,-1.9585418701,0.3578948975,-6.4405670166,0.1712417603,-0.4535369873,-2.7615661621,-4.7408752441,-1.6351394653,-4.3710021973,-1.6246490479,-0.7644042969,0.1788711548,1.5598449707,-1.5451889038,1.8975372314,-3.180847168,-7.5449180603,2.2616043091,9.2547607422,12.15990448,-6.4850502014,1.4258708954,4.4656982422,0.0022800234,-0.0010079667,-0.0010079667,-1.1313235706,-1.8469652588,0.4193393068
3,3,3.5890197754,10.0980682373,-5.8296813965,-7.581237793,0.9086952209,-18.9730224609,3.78383255,-15.8539581299,1.6091308594,-9.2493743896,-8.4708099365,11.5804290771,-9.0462722778,13.5993804932,-0.6348495483,12.8629455566,-5.4343338013,-14.8648529053,12.7688871026,-22.3739900589,21.1564025879,-8.3325920105,5.6973218918,17.4965209961,-0.036542106,0.0051476508,0.0051476508,-8.8347502283,-8.3782466336,-19.9127660663
4,3,2.1952972412,-4.5918121338,3.2319030762,-6.7622833252,4.2516059875,-0.7345275879,-2.282497406,-4.1695404053,0.9004592896,-7.2087860107,-0.0001831055,-1.9157714844,0.0145645142,5.9416351318,-8.046661377,5.4245147705,-7.0688323975,-18.4096946716,5.5541968346,-5.1963481903,20.0557861328,-15.0702991486,6.1679029465,23.7978363037,0.0071263099,0.0007749982,0.0007749982,4.4716784331,-4.8105481813,0.9915016042
5,3,6.837677002,-3.9220275879,0.2170257568,-11.0700836182,-4.732131958,-5.7546691895,1.1987075806,-6.1173706055,0.2466278076,-7.2629089355,-3.8810424805,-0.1526947021,1.1739883423,6.0735168457,-1.7481307983,5.3423156738,-4.5654067993,-16.3223609924,5.3446531296,4.1789398193,16.4463653564,-16.1987762451,6.4293904305,5.5205764771,0.00333919,0.0018801168,0.0018801168,-0.2311525748,-4.870438693,0.2598033128
6,3,0.5188446045,0.4504394531,-1.9331817627,-6.1648406982,-0.5111846924,-4.2863006592,-2.1407051086,-3.5950012207,-0.7563781738,-5.2452087402,-0.9803924561,0.8781890869,1.7691040039,0.88621521,-1.6617965698,0.7273254395,3.3365478516,-6.7304382324,3.2567653656,3.523727417,10.1435165405,-8.0751037598,3.645304203,3.0292816162,-0.0014098771,0.010774903,0.010774903,-1.8542985023,-1.2278761668,0.2227890578
7,3,1.5874938965,-1.4009094238,-1.2062835693,-4.3807678223,-2.6820411682,-2.967880249,2.8561553955,-5.217300415,1.8723449707,-4.428527832,-3.0507507324,0.5098114014,-0.1802597046,3.6618804932,-1.4183731079,4.1324615479,-4.0809860229,-18.641040802,1.9646327496,-7.9171848297,10.8152618408,-13.4143428802,4.2230792046,18.9433059692,0.0005772449,0.0008908659,0.0008908659,0.3608830628,-2.3978018357,-0.3257074052
8,3,2.1363525391,-2.8788757324,-2.2235565186,-5.172454834,-4.004863739,-4.8542938232,1.7747344971,-4.1929779053,1.621383667,-3.1529998779,-0.9526977539,-0.8561859131,3.9429168701,4.8182220459,-2.1675338745,5.1615753174,1.4222564697,-11.6647377014,-0.5404586792,0.1496734619,9.9654388428,-9.7679862976,1.0102891922,-1.1919403076,0.0050775963,-0.0005680509,-0.0005680509,-0.7676180141,-4.2229678932,-0.6449081493
9,3,2.7949523926,0.1399078369,2.5872497559,-11.3549041748,2.3893852234,-7.4955749512,2.4648704529,-3.7595214844,2.192276001,-6.0514526367,-5.2537384033,0.2685394287,-0.9177780151,6.551361084,-1.6925506592,10.0613555908,-5.8202896118,-24.0109405518,3.9103393555,-2.61460495,20.7681503296,-19.3615837097,5.0946216583,28.9123458862,0.003253541,-0.0007675774,-0.0007675774,2.3275407206,-6.436409956,-0.6919840294
10,3,2.3045349121,0.2088165283,-0.0645980835,-6.8931427002,0.2270050049,-5.8784637451,-0.2986030579,-5.0131988525,2.9123382568,-4.9672241211,0.3985137939,2.5865325928,-0.5949707031,0.599822998,-2.7991485596,0.8435821533,-2.8605880737,-6.4625244141,2.7097301483,5.824005127,10.0569610596,-6.6415977478,4.0414791107,-5.4091339111,0.0038052797,-0.0023380592,-0.0023380592,-0.0091815516,-6.9157415015,0.5011883039
11,3,3.2830505371,6.5753936768,-4.6834182739,-19.0427246094,-0.3324394226,-17.6338500977,2.8170623779,-18.890625,8.839302063,-12.5773162842,-1.0906982422,14.4157409668,-0.5062103271,8.6683349609,-1.0291442871,5.93409729,-0.0411071777,-5.8768005371,-1.6845016479,-19.1250596046,17.9495162964,-11.5285320282,5.188709259,11.6223068237,7.56606459617615E-05,0.0171390623,0.0171390623,-9.261496362,-3.3138866152,-1.3149709257
12,3,5.5760650635,-11.4954833984,-0.7537841797,-14.5878295898,-2.1409568787,-4.8948669434,0.9160881042,-2.0631256104,-0.334274292,-10.5826873779,-4.5094451904,-7.4098815918,1.4156723022,7.0862121582,-5.3422546387,6.8016815186,-13.3175506592,-27.9027061462,2.8040294647,-6.2155532837,21.4296264648,-20.7958335876,5.7124061584,22.7465209961,0.0016517285,-2.25305557251115E-05,-2.25305557251115E-05,1.1065825318,-7.5164968531,-2.9728328013
13,3,-0.1444549561,-2.0800018311,-1.6122589111,-0.2221984863,-1.8533287048,1.8649291992,2.7306289673,2.8194122314,0.6456756592,0.4926300049,-2.4879760742,-3.429107666,-0.0613327026,-2.0259094238,-2.6135253906,0.5215454102,0.8145904541,-10.4429397583,5.8820648193,11.776008606,9.5771331787,-5.2350006104,4.4996929169,3.3590316772,0.0007553827,-0.0014390573,-0.0014390573,5.9720082705,-2.6886671616,0.8810657422
14,3,8.5435791016,-7.1592407227,5.0884780884,-11.6445617676,-0.3153343201,-8.1169433594,-2.1113548279,-9.1746063232,-4.7687454224,-10.2386474609,-8.0222015381,-5.0480041504,4.0685348511,1.2203674316,-8.9120941162,3.4355010986,-24.7440719604,-22.1752204895,7.2855806351,8.9589176178,29.9421539307,-15.4654521942,8.0433535576,10.7135620117,0.0057209954,0.0016061962,0.0016061962,4.7201280277,-8.9331908651,-0.0172673556
15,3,-1.7046051025,3.0052642822,-1.4153137207,-9.7320098877,2.7265701294,-4.498840332,-0.0545959473,-3.4360656738,0.4205627441,-3.6928253174,-2.1170349121,2.4039306641,1.0324935913,-2.1810150146,-3.4094772339,0.8376464844,-2.4776687622,-13.2298774719,6.2030649185,-1.1087760925,11.3319168091,-10.5257358551,5.1757817268,15.5875015259,-0.001416753,-0.0005921349,-0.0005921349,0.297715897,-4.1660438529,-0.9221804648
16,3,4.0166015625,0.0973358154,3.7677001953,-6.5548400879,1.6211891174,-5.2382965088,-2.3851680756,-6.5856018066,-0.4217453003,-5.0656738281,-3.1844787598,2.9653320313,-1.5113449097,1.2342376709,0.2198791504,1.4097137451,-4.0722351074,-5.9086608887,1.5022697449,3.3765602112,11.0148544312,-5.6303596497,1.2354412079,1.4669876099,0.0024222378,0.001025483,0.001025483,-2.2452289321,-2.4129138603,-2.0897770243
17,3,4.7883911133,-3.5236053467,-1.9247512817,-7.7496795654,-5.3465919495,-5.2996063232,2.5931472778,-4.4667053223,1.1887435913,-9.262008667,-2.87840271,-1.0407714844,-0.8346633911,-2.0185546875,-2.9069366455,-0.0444641113,-2.6917190552,-14.1339302063,7.9625835419,5.9064102173,20.0256576538,-14.7680206299,8.387383461,3.9122161865,0.0069776773,-0.0008278042,-0.0008278042,2.591125274,-6.319544252,-0.4722886775
18,3,-4.3747558594,1.0658416748,-5.8369903564,-6.5431060791,1.7360229492,-0.5140686035,0.6789684296,0.9490356445,2.5545578003,-3.193862915,-1.1226806641,0.4358520508,2.2188644409,-4.1583099365,-4.3246994019,-0.6024627686,1.7546463013,-26.4089851379,4.773727417,-0.3555412292,14.7180252075,-18.3143348694,10.3254141808,28.441734314,0.0025215317,-0.0019084513,-0.0019084513,4.6004301798,-5.7164528217,-0.381655576
19,3,-2.3788452148,-3.2329559326,-0.9823150635,-2.0305480957,-0.9502754211,1.6590270996,0.4963035583,0.5108642578,0.586517334,-1.8751373291,0.0982818604,-2.9064331055,-0.5501937866,-0.2588806152,-3.1249694824,0.6528320313,1.1567153931,-14.8476982117,4.5581331253,-4.3039588928,5.0048675537,-9.9820632935,4.2123508453,8.6289596558,0.0078199282,-0.0029782727,-0.0029782727,1.8256734582,-4.5862449348,1.1685567951
20,3,22.4094848633,-17.531463623,1.8836364746,-10.3311920166,-14.3044013977,-3.730255127,-16.4045314789,0.8486175537,-2.2509155273,0.4920043945,-2.9511871338,6.2313537598,6.0241241455,9.8753356934,-0.5957946777,14.3175811768,15.1569824219,-29.2877845764,-7.20911026,-1.2377872467,34.4567947388,-35.1832237244,4.8359746933,36.4477081299,0.0493759168,-0.0116285533,-0.0116285533,10.3077542253,10.2430627359,5.0288106228
21,3,-2.8013153076,1.2043304443,-4.4724121094,-14.7209472656,1.159526825,-8.5896606445,-2.1234416962,-4.755279541,-1.912361145,-7.0333709717,-2.3343963623,-0.1278991699,2.9414291382,-0.1243286133,-1.6927261353,2.7396392822,-2.0621414185,-18.0054588318,7.0044922829,5.2235145569,15.3248443604,-13.2424430847,3.8623986244,7.5859680176,0.0042083664,-0.0006016716,-0.0006016716,-1.4671652202,-7.5960262433,-0.713349177
22,3,-3.5795288086,0.0148468018,-4.3842315674,-9.967956543,-0.3820800781,-4.9914550781,-2.5101470947,-4.6855773926,2.0358963013,-3.6321563721,0.0467681885,0.1488952637,1.7126235962,1.3265533447,-1.5303955078,2.9722442627,2.4571304321,-15.1096420288,1.3691248894,0.0027656555,10.7323226929,-11.7062263489,0.273109436,1.7247314453,0.0049726884,0.0011901557,0.0011901557,0.4144012283,-4.0286623868,-0.4494919609
23,3,0.4050445557,0.768081665,-2.0425338745,-6.1546783447,-1.5118789673,-5.8452606201,0.9557266235,-4.1136627197,1.145980835,-6.124130249,-2.2666778564,0.3672180176,2.6659011841,1.4622497559,-2.9354629517,1.3233184814,-5.6781692505,-11.4576148987,3.073595047,3.7420196533,10.6866836548,-8.1672935486,3.3452148438,0.0026626587,0.0072004576,0.002618134,0.002618134,0.055825905,-5.8355503065,-1.1937553078
24,3,3.287902832,-4.4906005859,-0.1061401367,-7.2685852051,-1.5691452026,-3.559677124,2.3805866241,-3.6650390625,0.0148010254,-5.0418395996,-1.08984375,-1.941986084,-2.6786880493,4.1499938965,-1.8392791748,6.4834136963,-0.8256454468,-18.6901779175,5.2002210617,3.5976791382,13.5207290649,-16.3448848724,4.1654844284,3.4631195068,0.0029602665,0.0006289482,0.0006289482,3.1346947377,-4.2631148127,-0.5506664859
