,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,4,2.517364502,-8.4852142334,-7.2642974854,-1.2815704346,-13.1528835297,4.7907562256,12.0376243591,1.6672668457,1.2973556519,-3.5194091797,-3.3401641846,-10.4729309082,0.1126785278,7.4474487305,-1.3323059082,8.1256561279,-2.5380096436,-15.5316467285,0.8446846008,-13.2891902924,-6.7333526611,-15.3620491028,-3.9003235102,32.2771224976,0.0207777293,0.0002007894,0.0002007894,4.9381288569,-16.6130044915,3.5469553634
1,4,-2.5707092285,-0.0520935059,-6.9536590576,-4.852432251,-2.9604911804,-0.8635101318,2.3983879089,-2.8802947998,0.3587036133,-8.2997741699,-1.9570159912,-4.3361816406,2.6984786987,0.0749053955,0.6937103271,2.3128967285,-1.325592041,-10.2226791382,3.092581749,-17.7226657867,-3.6641311646,-12.1293869019,-4.2065176964,30.0570983887,0.0107030557,0.0040431395,0.0040431395,-0.1505926191,-7.4619072113,-1.306899297
2,4,-1.4722290039,2.4024353027,-7.1014556885,0.4168243408,-5.3458137512,-1.4685211182,3.2036628723,-2.6127929688,-0.1915664673,-2.0045013428,-5.4125213623,-2.0427703857,1.4884338379,-1.0871276855,2.7085266113,0.2003326416,1.2233886719,-3.822517395,4.7928915024,-22.0172023773,-3.8666610718,-1.3540802002,-4.4691801071,27.4567871094,0.0111198535,0.0056321509,0.0056321509,-1.281498459,-8.555126225,-1.084880326
3,4,1.1547241211,-1.8305511475,-4.6386260986,-8.2913513184,-4.6861572266,-6.1676483154,6.2888717651,-4.7692260742,-0.1566467285,-9.2016448975,-5.6512298584,-4.4632415771,-0.9112319946,8.9753723145,2.5238037109,10.4273223877,-0.4406356812,-2.6273002625,-1.2992048264,-20.8084964752,2.4885406494,-2.1507034302,-1.5785493851,12.9989242554,0.0152656781,0.00722019,0.00722019,-1.2837009569,-9.6035503846,3.0594804559
4,4,1.9450073242,-4.097869873,-3.0899658203,-4.5043334961,-3.3100280762,-1.015335083,8.6180610657,1.3249816895,-2.8189086914,-5.9638519287,-4.9630889893,-9.3870239258,-2.8262023926,4.5586242676,-3.8910217285,5.257232666,-5.3756637573,-7.8737106323,1.6214294434,-11.9408798218,-2.5089874268,-7.2674789429,2.6945457458,19.5533370972,0.0186034646,-0.0033578686,-0.0033578686,3.3299044842,-11.2121393245,4.0364554524
5,4,-0.0783691406,-4.7784729004,4.7186508179,3.3340148926,0.3824806213,7.9116363525,-2.3452606201,2.7258148193,-2.0446472168,4.1982879639,0.7252349854,-1.9109649658,1.9819259644,0.4707183838,0.2163085938,-0.5652618408,-1.2458724976,-3.6366958618,1.2992486954,-5.6141834259,-2.2828216553,-8.5444755554,0.9553499222,19.1577301025,0.0051630493,-0.0063338839,-0.0063338839,3.2628824295,-3.0155830854,-0.2681970288
6,4,0.9733581543,-3.4988250732,1.1415023804,2.7674865723,-8.3582382202,3.4659118652,4.1317100525,-4.7398376465,0.9071884155,0.2452087402,-2.0442199707,0.7039337158,1.9343490601,3.8215484619,1.6078414917,3.0229187012,-1.8294677734,-1.3735733032,1.8542766571,-9.5466880798,-0.1014251709,-4.2147789001,1.4104337692,13.5038833618,0.0084505212,-0.0028814785,-0.0028814785,-0.4927749304,-4.0926503795,0.0096029154
7,4,-4.1937561035,4.646194458,-6.7613296509,2.1782836914,-1.4011497498,-0.6875152588,4.3591003418,0.5010223389,5.4044189453,1.0205993652,3.4721832275,-0.279083252,0.7015609741,2.2179260254,-3.1406173706,6.0015869141,3.6323165894,-15.1243438721,0.8638353348,-19.988576889,-15.2855758667,-12.1225547791,0.2384691238,32.7468948364,0.0098712625,0.0234561116,0.0234561116,1.3825679944,-10.8425341771,-0.6523075623
8,4,2.588180542,3.8779907227,-5.001663208,4.3545837402,-6.8656730652,-3.229598999,5.6907997131,-2.7426605225,-1.5329437256,3.3432312012,-9.0981292725,1.2174530029,-3.5289535522,5.1148681641,0.7910842896,5.236618042,8.1031265259,1.1856079102,8.5939559937,-24.9982070923,-2.1677932739,4.6260910034,3.1416044235,19.429069519,0.0183739858,0.0113674514,0.0113674514,-0.7213155685,-14.913904296,0.9323365724
9,4,-1.6823730469,0.2248687744,-7.3233261108,0.4678192139,-6.9106311798,3.9331054688,4.3037109375,-0.4391784668,3.3107452393,1.3223571777,-1.6259002686,2.2617340088,-1.8980560303,-1.4962463379,2.1157913208,-1.9998931885,10.9042892456,-4.0143890381,2.6131153107,-20.4552516937,-11.0426330566,-8.8111381531,-1.4518432617,34.9899673462,0.0125529489,0.002200678,0.002200678,3.9339519668,-10.3389112976,-0.7165666631
