,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,0,10.8459320068,3.8471374512,10.9360580444,18.8414306641,0.7966461182,15.2521057129,-9.7604007721,10.844329834,-3.2047958374,9.9275054932,8.0825653076,-1.3898773193,-2.0303115845,-0.8773040771,-0.9041671753,-3.5039672852,15.986946106,-11.7066802979,-9.3339939117,0.2993164063,-8.4693374634,6.5937576294,-7.7963619232,0.826171875,-0.0117472447,-0.0156126879,-0.0156126879,5.9285015745,5.6396231649,-1.8423470539
1,0,1.6465759277,3.2331237793,-3.5067520142,7.5160980225,-1.8874816895,4.8537445068,-5.9050807953,6.2964172363,1.3759307861,8.0438690186,1.6863250732,3.3581695557,5.3958206177,-9.9804992676,3.2616653442,-5.2686767578,0.0600318909,12.8929214478,-8.6601104736,5.0198822021,-15.7257919312,10.4334793091,0.3313922882,-2.2668075562,-0.0059414301,-0.0025889352,-0.0025889352,3.3149227889,3.0100864308,-0.6105423737
2,0,4.1583709717,-5.0668487549,7.7961044312,8.5167999268,0.0619735718,10.430480957,-9.3303151131,13.9087371826,-6.2629089355,9.3115386963,-0.5767822266,-2.4571990967,-1.3188934326,-5.4681396484,4.5972671509,0.5032653809,-0.3868331909,-0.7095718384,-1.0952644348,4.9088058472,-2.6578674316,1.2265090942,0.5984535217,1.3248291016,-0.0047961362,-0.0081432797,-0.0081432797,6.0890924848,0.8084588929,0.5744631332
3,0,5.1826934814,23.2494049072,7.2657623291,10.3967285156,23.0215568542,0.5754394531,-11.9522080421,-1.1259307861,3.6337432861,6.0249328613,10.0859222412,8.7336425781,-9.6482086182,-7.9106140137,-4.7034988403,-6.4213867188,-10.6607246399,-4.468788147,0.9804229736,-5.1044921875,1.3467407227,3.5809669495,0.4412651062,0.3676605225,-0.0269383574,-0.0006319098,-0.0006319098,-0.2178795275,-1.2913478137,-3.3309746745
4,0,-5.4548339844,-0.9087982178,4.0208129883,7.7533569336,10.3194160461,12.1675109863,-4.262430191,12.15965271,-8.4988098145,0.9258422852,-0.5153198242,-6.9272003174,-1.0804367065,-5.0577850342,-5.0439987183,-1.0553436279,9.4397888184,0.7037277222,-0.0821723938,5.079826355,1.2387008667,4.9083404541,-5.3171672821,-4.693611145,-0.001013875,-0.0127252676,-0.0127252676,3.6769836272,0.5759047858,1.1080520594
5,0,-6.758682251,0.3812103271,8.5016021729,7.227142334,13.243637085,14.5690002441,-15.7664709091,11.1886901855,-9.84349823,6.1196136475,-2.4566345215,-2.8080291748,4.3873977661,-15.3886108398,1.6311035156,-8.8897094727,4.6564483643,-5.7547607422,2.8178100586,6.3352890015,1.5921401978,2.5003318787,1.3776779175,4.5283508301,-0.0043007266,-0.0080285892,-0.0080285892,7.3119755422,0.9497074816,1.8774666186
6,0,8.6552581787,-4.9588317871,17.9519577026,17.9691619873,10.7620697021,20.0152740479,-26.1229753494,20.6495513916,-11.7893600464,11.1295013428,3.5773925781,-5.0202789307,3.5082778931,-11.6040039063,4.5244827271,-4.5577697754,16.8427848816,10.4062347412,-9.42004776,-0.3674316406,-11.9223098755,10.4039268494,-4.3012809753,-5.0418014526,-0.0054018758,-0.0085508488,-0.0085508488,8.3050927171,4.21362387,-2.0144836628
7,0,8.3887786865,2.0178833008,0.640411377,12.2595214844,-4.0005073547,12.3403015137,-14.4293746948,16.1462402344,-8.9000701904,3.7718048096,5.5979766846,-8.118927002,0.1828460693,-16.7166595459,-7.7935714722,-8.8378143311,0.6100845337,-5.9552459717,7.8161773682,8.2424430847,9.3705368042,10.8221187592,-0.5113334656,4.3957138062,-0.0065618958,-0.0200106017,-0.0200106017,9.8788488263,-2.2484875993,-1.1874549342
8,0,-0.3043060303,-6.9134216309,-1.5897827148,13.9607086182,-5.5805549622,17.8531341553,-0.8912534714,20.4026184082,-0.0439987183,0.9029693604,4.5777130127,-10.3434143066,-10.7383422852,-6.4536590576,0.4247512817,-3.8983154297,4.1728668213,-9.7706298828,14.3669548035,-11.2589530945,0.3499679565,2.1544513702,6.9846391678,16.0870513916,-0.0011997987,-0.0072675422,-0.0072675422,6.0480663919,-2.3156459844,0.5173408808
9,0,-10.8025665283,-8.3698425293,2.3645706177,-2.8346099854,12.6789054871,5.0900421143,-8.856508255,4.3359222412,-0.7230377197,1.2555389404,-3.4609527588,-0.0973510742,-5.1765899658,0.0076751709,6.5904998779,3.1938476563,2.2886734009,-2.3325424194,1.4041442871,-5.7561988831,-6.2656860352,-8.7936916351,4.6867618561,14.1048660278,0.0045850873,-0.0049573444,-0.0049573444,-0.3296059013,-1.2651087635,0.8258571386
10,0,12.4928741455,6.9898529053,15.5552139282,21.7576141357,1.1685943604,15.0338745117,-15.2660463862,12.6253662109,-9.4560012817,9.5554504395,4.1432037354,-2.3823242188,-3.945602417,-9.6010742188,-4.7563934326,-5.8570709229,-4.7319068909,-11.4767913818,-2.9850387573,-1.7055244446,1.0043411255,10.2110843658,-6.0689983368,5.3108520508,-0.0004145168,-0.0184146389,-0.0184146389,6.3688713121,0.5005218336,0.5562015593
11,0,12.103012085,11.6999359131,13.2875442505,18.7700653076,8.6295089722,15.2778778076,-22.5917282104,14.9304046631,-15.6406097412,9.3186798096,4.0601806641,0.4943847656,-0.9694595337,-19.1270446777,-7.059967041,-9.8811645508,1.5469665527,-16.0657424927,0.7672252655,1.5072669983,14.8670883179,2.3928718567,1.6799182892,6.1761016846,-0.0039665662,-0.0152043402,-0.0152043402,8.2531125071,-0.6305325497,-2.890274986
12,0,-4.7110748291,-3.9879608154,19.5705032349,19.3132476807,13.520450592,20.5980529785,-7.288980484,15.5841522217,-4.2360076904,6.8676452637,0.2689666748,-7.8514556885,-5.847076416,-10.4513397217,3.9061965942,-4.5046844482,-1.9971160889,-8.3985290527,12.9749336243,2.4721336365,2.3974380493,4.8648433685,6.4568958282,11.2815246582,0.0011179894,-0.0043284632,-0.0043284632,9.2231025698,-1.5443688872,1.4101018449
13,0,-17.1325836182,5.8712921143,-9.248046875,-6.9393920898,9.7576408386,-12.4922332764,-1.5671052933,-3.4047851563,7.0387191772,9.5149383545,-2.8918151855,13.6875,-1.3050842285,-3.2563781738,10.2754440308,0.3353424072,3.3781661987,17.8362350464,6.6238250732,1.6823387146,-9.144569397,-6.6987838745,6.3187789917,4.3135223389,-6.75451010465587E-05,-0.0003186911,-0.0003186911,-1.8131695391,1.6445110858,0.3201314256
14,0,10.9739227295,7.9918060303,17.9937362671,24.270401001,2.3884277344,20.6166381836,-20.123811245,10.1859130859,-14.0761032104,5.5511932373,5.2059020996,-8.7755584717,-0.9382476807,-4.7439575195,-4.3488006592,-4.8186950684,4.9227828979,-11.8277130127,-2.9653816223,-1.6288299561,3.9291305542,17.4482192993,-8.0143642426,1.5370101929,-0.0034963526,-0.007486999,-0.007486999,2.802448222,-0.0704226551,-1.6906703298
15,0,-4.364944458,1.4300384521,-2.3058624268,2.8770599365,1.3649978638,1.7043304443,-3.4064922333,3.4884338379,-0.585647583,8.5681304932,-0.2246398926,2.6512908936,-4.5163955688,-1.0260620117,3.3250732422,0.9340820313,-1.82762146,0.2276306152,8.2883262634,5.9000396729,3.5156173706,-4.9466781616,7.4153823853,-4.6106033325,0.0029035695,-0.0074492022,-0.0074492022,1.5300029511,-0.38828595,0.3478604811
16,0,10.7846374512,5.451171875,0.0024871826,12.0695037842,-5.9213638306,7.3211975098,-12.2217324972,4.5850067139,-6.5565643311,6.7757415771,1.5620422363,1.8909454346,4.6551055908,-6.9284667969,-0.5805130005,-4.0990142822,4.4831924438,3.5115890503,-7.6446495056,4.7854995728,-17.8058319092,16.4759025574,-3.955871582,7.7766418457,-0.0002299529,-0.0003999434,-0.0003999434,0.6555848008,5.6160906961,1.8375105235
