,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,1,5.4590606689,-4.9537963867,14.1739654541,18.2498626709,0.9092636108,19.8830413818,-8.5327425003,15.365020752,-5.76587677,9.6148529053,1.6247406006,-3.6433105469,4.2418670654,-11.4389648438,0.4816970825,-9.0219573975,11.5187454224,-19.7821960449,-2.1356544495,0.1194725037,-6.1946411133,2.7894287109,-6.1661739349,14.7291870117,-0.0048838481,-0.0201633871,-0.0201633871,10.3053516899,0.6668504174,-3.2144117381
1,1,27.4944915771,14.2086639404,7.7644577026,12.3728942871,-12.934879303,4.1389160156,-14.1438450813,5.3891448975,-5.6752471924,1.8987579346,13.0678100586,-1.8981170654,-7.2802429199,-0.9631347656,-8.1069793701,-3.2953796387,-1.0660514832,-16.1088981628,-10.9609870911,-26.1904792786,-0.851776123,12.4807891846,-0.3970832825,10.1088180542,-0.0111380732,0.0046588108,0.0046588108,3.8851704422,4.4895429912,1.4340979031
2,1,-11.5291137695,-11.7834472656,7.3094177246,0.5017547607,10.4384613037,8.3293609619,-12.0138144493,10.9174804688,-7.7296600342,3.006149292,-6.6779785156,-5.2843933105,-1.7029800415,-4.9366912842,10.9609069824,3.6564331055,5.932144165,-0.2056732178,8.3152427673,1.6242027283,-3.6762313843,-4.9973011017,5.9561786652,-0.0606918335,-0.0031128619,-0.0051658452,-0.0051658452,3.562789766,-0.482830494,-1.9840200296
3,1,-20.3336639404,13.7125854492,-7.7908706665,-1.8070068359,20.4598655701,-2.8006591797,1.0987586975,-5.1885681152,18.8992614746,4.327835083,7.3158416748,14.8616485596,-10.2334976196,-4.0423583984,1.743637085,-5.8779449463,8.068107605,-1.5178756714,6.6018867493,-15.4999694824,-7.0227584839,-11.2272758484,4.8360366821,5.3803253174,-0.0175649971,0.0015648045,0.0015648045,-2.4205077575,-3.7804396195,-3.5050313354
4,1,-2.1252593994,2.7108612061,-1.7109985352,-4.2836761475,6.2963600159,-4.0636444092,-11.0855183601,-1.5096282959,2.5021057129,0.6873779297,4.7702789307,1.5334625244,4.334526062,0.4276428223,-3.0579376221,1.8727264404,19.626537323,-7.6415138245,1.2790546417,-14.7648048401,0.3003005981,-7.0146636963,-0.9895553589,12.8322982788,-0.0047526862,-0.0114831142,-0.0114831142,4.4635277946,1.1342636852,-1.4019678352
5,1,-12.9119873047,-5.9883270264,2.3381347656,-10.8163757324,12.306438446,3.613571167,0.7821502686,5.0491485596,2.0312271118,-4.2126617432,-0.477722168,-1.4765472412,-2.5555725098,-4.4464569092,2.4335708618,-3.2818145752,12.8547363281,-0.2087478638,9.7123966217,-2.5475654602,-6.4013442993,-1.0590896606,6.9983100891,0.2088317871,0.0023070388,-0.0035442859,-0.0035442859,2.3048939788,-4.5571483209,1.2439928199
6,1,7.6178741455,-1.3929595947,5.1083068848,-1.2830810547,-0.5404968262,1.0714874268,-1.5595626831,2.0002441406,3.2797393799,-0.0463256836,4.7266845703,-1.0152282715,-0.2614059448,-3.4506072998,2.012802124,-3.3372344971,2.7243347168,-1.4198036194,-14.2696037292,-23.8842010498,-10.2981414795,3.6548862457,0.5660400391,24.4659576416,-0.0134355947,0.0152172111,0.0152172111,2.3348600239,6.9609934357,-4.2535902154
7,1,13.2663879395,-3.5619659424,3.4437637329,-2.3797149658,-3.8994636536,3.9854125977,-4.516875267,4.5617675781,5.9091262817,-4.437286377,7.4183807373,-7.1529846191,-4.4242401123,-5.9224395752,-5.5882492065,-1.6075439453,0.7800445557,-6.5886535645,8.9970817566,-7.3190841675,5.416015625,13.5840702057,7.2503442764,16.8147506714,-0.0104119582,-0.0062605329,-0.0062605329,9.8493870736,1.1364482408,0.1193878695
8,1,-15.72215271,-3.5500946045,4.4431381226,-4.4168395996,14.9381065369,5.6088409424,-7.8761615753,3.0711669922,2.7533416748,2.2929382324,-2.8258209229,3.2663269043,0.5389938354,-4.8347625732,9.3000564575,-2.5270385742,7.0111846924,9.3147506714,-1.514667511,-10.8507766724,-19.9799423218,-1.9246864319,3.9136657715,19.4804000854,-0.0044871382,-0.0002979226,-0.0002979226,1.4380401051,2.8397492041,0.2835948777
9,1,-3.9780273438,-8.5797424316,2.9551086426,-16.5852050781,8.8138198853,-4.0018005371,-7.5402746201,-2.6045837402,1.4043807983,2.7629699707,-5.3726196289,7.433807373,7.0681762695,-13.5522003174,-0.3070068359,-5.2660217285,9.1620101929,-5.3713378906,12.2599697113,5.9444351196,18.4992523193,-16.6586742401,17.6896367073,19.0437393188,0.0005694889,-0.0103159286,-0.0103159286,8.9594406071,-0.9162308581,-0.3382543924
