,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,2,-1.6751251221,3.1807556152,10.4874649048,7.5710906982,11.3942909241,5.2933197021,-11.3211088181,2.9821624756,-1.1608886719,6.6893310547,2.5141296387,2.1851654053,3.9981842041,-7.313079834,-0.1336288452,-6.9657440186,-1.2636108398,-4.2499084473,-3.5274543762,-5.2331542969,-8.0490646362,0.7127990723,-3.6421260834,13.1636428833,-0.0092456751,-0.0054520033,-0.0054520033,5.2691894114,2.9947814641,-0.694620531
1,2,19.1820831299,9.6539916992,2.5579223633,3.7767181396,-5.7502708435,-0.3644561768,-7.4173288345,0.1913757324,-0.9354782104,-0.766998291,7.2277526855,1.868637085,-0.6847991943,-3.1419830322,-4.943031311,-5.878326416,1.592212677,-5.1711883545,-14.5207214355,-15.8848648071,-9.1553649902,10.2968597412,-2.5432567596,19.5012664795,-0.0064812331,0.0028672442,0.0028672442,0.6211183362,4.542836193,2.8822062317
2,2,20.9113464355,-6.0850830078,6.1288757324,1.1996459961,-13.1450805664,-1.2991333008,1.2879238129,-1.3438262939,-5.2899856567,-6.3295898438,-5.2940063477,-8.3570861816,0.8603591919,0.0763092041,-4.76222229,4.8728637695,-1.4430007935,-13.847618103,-1.6427955627,0.4195556641,18.4386901855,-0.4415359497,-2.6475887299,2.2176513672,-0.0129771894,-0.0011886694,-0.0011886694,6.3876977101,1.4074662169,-0.5002509401
3,2,8.8220825195,23.6312713623,5.3342208862,-1.0400085449,22.3044319153,-11.2579803467,-16.7121883631,-7.9760742188,4.9552993774,-0.6575164795,9.5802154541,9.3378143311,-6.8875198364,-5.4895019531,-11.6553268433,-8.5425720215,-9.1544494629,-4.4377212524,-1.510848999,-12.6775054932,9.8794326782,2.112487793,-2.3391819,-0.0808563232,-0.0235954691,0.0050298274,0.0050298274,-1.2630674712,-1.0543960852,-2.1420042092
4,2,-1.3041229248,-3.9355926514,1.6981277466,-5.1683044434,5.5180702209,1.7715301514,-1.7971839905,2.2569274902,-1.503112793,-1.6542205811,0.713760376,-3.094543457,-3.4439544678,-4.7021942139,-5.3211517334,-3.6915130615,1.6400604248,-3.4186172485,-1.1075077057,-6.5115089417,0.3941345215,-0.8218307495,1.7028598785,9.5850219727,-0.0315996914,0.0007165931,0.0007165931,3.8588544426,0.2982214152,1.931515777
5,2,-2.9981536865,3.4486846924,0.2577209473,-4.4849243164,4.791847229,0.4064788818,-2.9707956314,-5.3338470459,1.4926528931,-4.0977325439,1.3441925049,3.7091674805,4.0119094849,-1.7169494629,1.0988540649,-1.4026794434,8.2950286865,-0.9860229492,-4.3361701965,-2.3182907104,-3.1872787476,-2.1320419312,-1.2568435669,2.6753387451,-0.0073097534,0.0083117075,0.0083117075,-2.6710410135,1.2708791556,-1.8571707153
6,2,8.5498504639,-7.6007843018,3.3057556152,-10.4981689453,-1.7992782593,-12.4210968018,0.4415740967,-9.2079620361,1.0678253174,-5.3701629639,-6.2630004883,2.5592651367,8.852684021,4.924987793,3.0211486816,4.4944458008,5.6312789917,17.2465286255,-9.1669692993,-8.0558509827,-1.5939559937,3.8666191101,1.8190383911,5.191368103,-0.0118520074,0.0085253567,0.0085253567,0.6176814524,8.0639155944,-2.1032103992
7,2,22.1410980225,7.8448944092,10.4073944092,13.6071472168,-6.077129364,8.4159545898,-8.8747000694,11.0661010742,-9.3613052368,3.0363311768,2.9437561035,-4.7322540283,-5.8316650391,-9.2679748535,-9.2933883667,-7.6558532715,-7.7395210266,-12.0994033813,4.9880447388,-7.5119781494,20.5754318237,9.0641231537,2.0811576843,8.755279541,-0.0024826992,-0.0027543679,-0.0027543679,7.1501467932,-1.5500882429,2.5096244572
8,2,-18.5231170654,-6.6446685791,-0.4176635742,-4.9128723145,10.8825035095,3.3040313721,-1.5533409119,4.3625030518,0.4938201904,2.6360931396,-5.8159790039,1.2159881592,-0.9648742676,-10.1710662842,5.6935806274,-5.2500152588,2.8560562134,8.6825027466,2.8802757263,-4.1595039368,-11.4602508545,-6.4671459198,9.2317314148,9.376739502,0.001461722,0.0010684915,0.0010684915,0.1976651823,1.2878065609,0.9576809262
9,2,4.295425415,9.3006134033,2.4113006592,-15.3309631348,10.0111083984,-12.51121521,0.4082393646,-5.7449951172,0.6275482178,-4.842010498,-5.007598877,9.8126525879,-1.0613021851,-14.6083221436,-4.1865386963,-9.3133087158,-3.2467041016,-1.7942581177,6.6133384705,1.0531768799,18.9277648926,-3.6131896973,12.7610578537,8.815284729,0.0022424795,-0.0046235621,-0.0046235621,2.4177692326,-4.1563029873,-0.4366163212
