,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,3,-0.4618225098,-0.2985229492,3.4102859497,-0.6368713379,0.9074211121,3.373550415,1.4209403992,1.4203186035,1.2243499756,-4.3530883789,1.6475067139,-0.2052307129,2.0077285767,0.6132965088,1.9822540283,-4.0095825195,-2.5982055664,-9.5106925964,-3.4020595551,-1.7292633057,-8.4537734985,-13.6019592285,-4.0292072296,-1.7712783813,-0.000790488,-0.0073934793,-0.0073934793,3.5027673375,3.7476032774,0.5732391308
1,3,-1.7033538818,1.5002288818,-2.0349273682,-8.2611846924,1.2594690323,-0.368057251,6.6004676819,-7.4838409424,2.0885925293,-11.2516326904,-4.7660369873,-4.9753112793,7.7415313721,3.0278625488,2.9695968628,2.8516082764,-20.7504272461,-17.467880249,-12.8790359497,-12.2205162048,-3.266998291,-26.3876342773,-12.7460021973,9.2343292236,-0.0021489467,0.0035483316,0.0035483316,2.324445323,3.1025626098,0.7336467399
2,3,1.8146057129,0.0076293945,2.0894622803,-4.3110809326,3.3112821579,-2.5749816895,0.5886764526,-4.0633087158,-0.8049926758,-3.8900146484,-2.506362915,-2.4343109131,2.3466567993,3.5263519287,0.8544616699,3.0211334229,-15.8978805542,-7.0149059296,-5.7462844849,9.1125907898,-0.4170837402,-9.12159729,-5.328250885,0.9655532837,-0.0018289834,0.0005213097,0.0005213097,0.1779698999,1.8299539507,-0.2182786224
3,3,7.4613342285,10.0717163086,-1.3360290527,-15.1065979004,-9.9230480194,-17.5729675293,-7.2172584534,-18.3369750977,-0.0415802002,-15.3129272461,-1.0470275879,6.3366851807,-1.9236068726,10.7399597168,8.2575149536,17.8673858643,-24.0636672974,-7.2737598419,-23.3511247635,-32.8831961155,5.9495773315,-7.0422134399,-14.2838039398,11.5655899048,0.0178362112,0.0077967048,0.0077967048,-13.1549490661,7.7094861124,22.5752959252
4,3,-0.1051635742,-3.7519378662,-1.8641662598,-14.8948974609,-1.6562023163,1.6351470947,-2.8738021851,1.5368041992,-2.7085571289,-16.1281738281,1.8548278809,-7.60105896,6.4571456909,3.2462463379,0.8996276855,6.4306640625,-25.7457122803,-9.6016845703,-11.5807609558,-3.0082511902,-3.330291748,-27.0336418152,-11.0367307663,10.4708175659,-0.0057326946,0.0032261536,0.0032261536,7.7976864304,10.2845631342,-2.0799621825
5,3,0.3479919434,4.1635894775,-2.764465332,-5.2656097412,0.0136756897,-5.6487121582,3.8545227051,-6.6943511963,-3.1884155273,-10.4394073486,-6.3437805176,-2.7113189697,4.3858337402,5.8592071533,-0.3931808472,6.3907012939,-18.2801361084,-16.7232437134,-6.1254749298,0.1324081421,-4.4076919556,-17.4964981079,-4.9295959473,3.0344619751,-0.0047338158,0.0040852949,0.0040852949,2.4560325901,4.7498594646,-0.3075360442
6,3,-0.4945373535,1.6484069824,-1.0764389038,-4.7032775879,1.5774211884,-3.7445831299,1.7854614258,-4.3643188477,-1.9042816162,-6.9093475342,-4.8037719727,-2.1018066406,3.6247940063,0.3650665283,-1.3008346558,-0.1417236328,-10.9030380249,-8.0437698364,-3.8129577637,1.5590438843,-0.1332015991,-7.9683761597,-2.6850223541,1.4879608154,0.0010013171,0.013965968,0.013965968,1.406850662,1.9449478537,-0.3220452739
7,3,3.6888885498,0.5953826904,1.9102020264,-8.1290588379,1.7975215912,-3.7203216553,3.2954330444,-7.5546264648,4.5263366699,-12.1084136963,-1.322479248,-0.8717956543,4.1862869263,1.9622802734,0.2146759033,2.388885498,-14.9118804932,-13.4095993042,-4.9999504089,-7.3772583008,7.6046295166,-24.2291374207,-10.5616979599,10.6584243774,-0.0035179183,0.0013626702,0.0013626702,0.3660206941,3.8638868968,0.1881981811
8,3,-0.5214385986,-2.5868530273,2.4410018921,-4.8235778809,3.2497901917,0.6501617432,-7.206161499,-0.7789154053,-3.800491333,-7.4214935303,2.8307800293,-5.7660522461,3.9704818726,4.0586242676,0.3590316772,3.2329406738,-12.0547943115,-4.7689609528,-5.8967170715,-1.0362586975,-2.1617965698,-11.8351211548,-9.1216239929,-7.6341171265,-0.0016753636,0.0013770349,0.0013770349,0.6658886409,3.3145720065,1.1314596197
9,3,7.4264068604,-2.494644165,1.7091598511,-5.9649353027,0.193277359,-3.0807647705,-4.1025848389,-4.5398101807,-3.4094543457,-13.3681793213,-1.1948852539,-4.2202911377,4.4515686035,7.9172363281,4.0047912598,4.676940918,-28.4364624023,-13.7794208527,-10.6114940643,-7.5353336334,-2.3097381592,-29.9308128357,-14.1505432129,22.5988388062,0.0029199924,0.001936201,0.001936201,5.50673826,3.5126705563,0.7252468667
10,3,0.1930541992,-0.3873443604,-1.3812637329,-6.8112182617,-1.4254312515,-2.7952270508,-1.1397399902,-2.4817962646,1.7762451172,-7.2845306396,1.3165893555,-2.7074584961,2.7424850464,2.2786407471,4.7133026123,3.4706573486,-16.3314208984,-5.8403530121,-8.8900222778,3.6405391693,-0.4971847534,-8.2791595459,-6.4241352081,-9.099861145,-0.0009904467,-0.0022557452,-0.0022557452,0.6991179235,4.9240220472,-0.1646234438
11,3,-1.277923584,5.7809448242,-0.5363769531,-26.2313079834,6.3387143612,-14.5540466309,-7.8394317627,-17.3157196045,-0.0888214111,-28.8958435059,-13.644317627,0.2065124512,2.0455474854,5.9978942871,4.8983917236,11.6578063965,-18.3114700317,-12.0620059967,3.8614997864,-11.403427124,9.1721496582,-11.5221633911,-10.5448436737,11.3833007813,-0.0056270175,0.0196594968,0.0196594968,-5.2481264399,2.2386755803,0.471723919
12,3,4.6742401123,-4.8014831543,6.0210037231,-10.7445373535,5.1478004456,-3.0687103271,1.4187545776,-4.9178619385,-5.1178436279,-15.2678222656,-5.3587341309,-10.1437225342,6.6487045288,6.0413970947,0.6636734009,4.7108154297,-30.7985458374,-16.1247310638,-9.8649158478,-10.8927955627,6.1155853271,-33.7421035767,-9.161948204,14.4075775146,-0.0039487854,-0.0005305335,-0.0005305335,0.9586660377,6.0045957455,3.6548918897
13,3,0.0018768311,1.3936462402,-2.7124176025,1.8873901367,-4.2615852356,2.1516723633,0.8126754761,0.7098388672,0.2755889893,-0.1200714111,1.0752258301,-4.6962890625,1.7471160889,-0.1490478516,5.3293380737,-1.9214019775,-11.4722290039,-9.5438671112,-12.4566955566,4.9576873779,-0.7169876099,-8.7803955078,-10.9011211395,-5.8662490845,6.43655657768249E-05,-0.0029116534,-0.0029116534,4.3580205937,1.9740738783,-0.5204361837
14,3,6.436126709,-1.1211853027,4.5011138916,-6.3266296387,3.2359018326,-4.1936798096,1.8251190186,-10.2239074707,-4.6521682739,-11.5049285889,-7.1971282959,-5.6407165527,5.5210037231,7.2684020996,0.8681488037,2.7663726807,-36.0175628662,-18.0363407135,-16.6390132904,3.2678184509,4.0982589722,-23.1841049194,-7.4553956985,3.3774337769,-0.0032113865,0.0013833195,0.0013833195,4.6355245953,5.500786926,1.2451216393
15,3,2.9325408936,6.8059997559,-5.5815887451,1.1479187012,-2.2857685089,1.3907318115,-0.8556976318,-2.8568878174,6.324432373,-7.8884887695,7.5460205078,-3.0870361328,1.423614502,4.0238342285,6.1658325195,0.8150787354,-18.1502990723,-17.3609218597,-16.38539505,-2.6267547607,1.8106307983,-9.1364479065,-17.7795543671,6.0783996582,0.0034720339,0.0013730004,0.0013730004,2.3489478256,4.0966998983,0.6904422133
16,3,0.7038421631,9.2345275879,-7.3399429321,-2.1530761719,-6.9921810627,-6.612487793,-7.3212661743,-8.9027862549,13.5870361328,-14.9236602783,19.2450866699,9.5016479492,-0.8444442749,-2.2059631348,-1.8148956299,-3.8855895996,-13.0599212646,-15.1345214844,-8.2197990417,-2.4371910095,-1.4254112244,-2.5030059814,-3.8812408447,-1.3875427246,-0.0045533367,0.0010949597,0.0010949597,-3.4062137518,4.2619178627,3.9084732377
17,3,-2.9865875244,2.1169586182,-1.5947647095,-6.074432373,8.1338748932,1.5991363525,-12.7129821777,-2.7577514648,4.0195388794,-13.5018463135,16.1233215332,3.3898925781,7.4331665039,-5.3518981934,-1.2569351196,-8.9267730713,-23.8507919312,-13.4087181091,-13.4698791504,5.4235229492,-4.6748809814,-10.1864700317,-9.2016201019,-0.3086013794,-0.0105997529,-0.0051053092,-0.0051053092,4.0819499571,1.2692902033,0.5696179121
18,3,3.7770843506,-0.1814880371,3.5660400391,-0.6993408203,-3.2995011806,5.0234375,3.1382904053,-4.4745330811,-2.8469848633,-3.8505249023,-1.354888916,-5.2749176025,4.3798522949,7.5198364258,6.5159301758,0.7051849365,-23.6092681885,-15.1712799072,-8.5229034424,-6.1146202087,3.1990661621,-26.7124061584,-7.6728897095,23.098449707,0.0061166659,-0.0017358884,-0.0017358884,3.6227261363,3.1593478651,0.8365289193
19,3,-0.7073669434,4.3048248291,2.5970840454,-10.9755096436,13.33162117,-8.9352111816,-3.5613708496,-5.0835113525,2.2605743408,-4.2725982666,2.1906433105,0.2428894043,6.3763427734,-1.3441162109,-2.0480194092,-0.9481811523,-14.750328064,-9.398021698,-6.7771396637,-4.2101097107,-4.0807495117,-11.5895462036,-2.8826446533,1.0970230103,-0.0024590157,-0.0042800084,-0.0042800084,0.7092341084,1.1659059569,-0.6636800522
20,3,0.8823852539,2.0801696777,3.6741256714,1.0010223389,5.7444820404,-0.691986084,-1.5810317993,-2.5294647217,-1.5378723145,-2.0074005127,-5.0909423828,-3.0770721436,1.6333312988,-0.9078369141,3.2911605835,-0.6496429443,-10.2074508667,-4.9390487671,-0.8253517151,-0.1563224792,-16.2116394043,0.8156433105,-0.0150566101,0.4313964844,-0.0023482982,0.0032410622,0.0032410622,-1.1155890697,0.2598328392,-0.5907494643
21,3,2.0987701416,-0.5472869873,0.0402069092,-4.907333374,-3.0012083054,-2.7253112793,3.4747238159,-1.8470306396,0.1202392578,-5.9947052002,-0.9422302246,-3.2171478271,1.2026596069,-3.0048370361,-3.5848236084,-1.0422363281,-10.5770797729,-6.6803569794,-0.5380535126,8.5659141541,4.6048812866,-7.9060935974,-7.4422664642,-5.9981613159,0.0005955361,-0.0032435358,-0.0032435358,1.1717769073,2.9621065111,5.0039264737
22,3,-0.2866668701,5.5533905029,-3.8202819824,-9.4804992676,6.1002197266,-4.5484466553,-4.1698379517,-5.9404296875,3.6117248535,-17.2492523193,5.9911346436,-0.9959869385,1.6688308716,3.3623809814,5.5671005249,2.7549285889,-24.7256011963,-20.2511768341,-19.5615234375,-7.4979324341,-6.1087188721,-20.3706855774,-14.4747934341,0.3287811279,-0.0029956978,0.0038250759,0.0038250759,0.4979693133,4.772966775,0.7635637183
23,3,5.8214569092,-0.7485351563,0.7159805298,-3.2731933594,-2.6418132782,-3.4841308594,3.4803314209,-3.7513580322,-1.798538208,-2.3807373047,-2.9416503906,-3.1382141113,-0.0912475586,1.4415283203,1.2110290527,1.9692993164,-14.4323806763,-7.6137638092,-2.02384758,1.3978385925,-0.6711120605,-11.2096328735,-4.1015357971,-0.4789962769,-0.0070477612,0.0040900558,0.0040900558,0.9356832544,3.389339564,1.0790679491
24,3,2.6979217529,3.9664611816,-0.0981292725,-5.4458770752,2.4359377623,-5.3888702393,0.3597412109,-5.8894042969,5.4057235718,-9.3146362305,4.7201080322,-1.994644165,1.7407302856,7.4284057617,5.0039596558,5.9546661377,-20.4896011353,-20.0638313293,-8.666311264,2.5042915344,-5.9841079712,-24.0206413269,-2.880235672,-1.4940490723,-0.0091479532,-0.0013474226,-0.0013474226,0.6016516087,5.2263060254,0.5408635699
25,3,1.3907775879,-2.5199432373,1.7234115601,-2.8863983154,3.0139408112,1.9360656738,0.2304840088,0.6715393066,-3.1329193115,-3.5222167969,-2.3645477295,-3.5507202148,2.3694229126,-0.7447814941,0.4175720215,-1.9122619629,-12.9961547852,-5.6093406677,-4.2902069092,1.8250579834,-2.4787445068,-9.88621521,-0.1086578369,2.7659378052,-0.0020557977,0.0017174967,0.0017174967,4.1220920229,2.1782577384,0.1922175592
26,3,0.39402771,0.2747192383,1.205078125,-11.2620697021,4.8394241333,-6.5565948486,3.4248352051,-6.3765411377,2.8761138916,-16.2032318115,-5.5337677002,-5.6520690918,6.2290496826,-0.1861724854,-2.7432556152,-0.342590332,-20.7595214844,-15.5953006744,-5.2056903839,-4.6318511963,12.3782424927,-19.2947731018,-5.4495048523,11.1689147949,-0.0032465272,-0.0002865493,-0.0002865493,0.7214770267,3.3409364313,2.2205816067
