,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,5,20.1180114746,0.546585083,18.0802536011,17.0758666992,4.5930213928,13.7171020508,-20.6977198124,7.0862579346,-8.8890609741,4.5465545654,6.0739746094,-1.3456268311,-1.1631317139,-6.4116210938,-3.6759643555,-7.1106414795,11.9133605957,-10.0256500244,-14.8490962982,0.3423690796,-2.4924545288,7.5172805786,-10.9319400787,16.7006607056,-0.0117744841,-0.019437708,-0.019437708,6.3838626493,4.7328505503,-1.9157138717
1,5,7.5906829834,-1.8710479736,9.8256835938,7.8804779053,6.2960929871,11.0455169678,-14.2138872147,4.7328338623,-5.2597961426,4.3554534912,-1.8549499512,1.8231506348,-2.0859146118,-6.164642334,2.204208374,-5.7660827637,-3.7608642578,0.7026138306,2.0865287781,3.5966796875,1.2489471436,5.4240684509,0.787352562,4.8107376099,-0.0057352912,-0.0186484233,-0.0186484233,5.2512176584,1.2464344402,-0.7862406274
2,5,12.4372253418,10.9312438965,3.331199646,7.0957183838,0.5104942322,1.8501281738,-10.4676370621,2.3346405029,-5.8318405151,2.6535186768,5.1139526367,1.3712768555,0.4639205933,-6.3654937744,-4.7610778809,-6.2320098877,-12.6752204895,6.2881088257,-14.4518203735,0.1044425964,-9.171875,18.3211631775,-8.2974452972,-2.9948577881,-0.000781551,-0.0012925304,-0.0012925304,-0.5296450977,2.1731253721,0.8401456552
3,5,-0.9760437012,2.7600097656,10.0694046021,10.1222686768,7.7278785706,10.699432373,-11.7602066994,16.1822662354,-6.4424743652,10.9930877686,-0.8656311035,-1.6968231201,0.5991516113,-8.3118286133,6.7753601074,0.7852478027,-2.4459381104,2.2006149292,-2.188419342,1.6352500916,-9.8795166016,9.968711853,-4.252986908,12.8817901611,-0.0134315295,-0.0064233951,-0.0064233951,7.4167247324,4.5435668262,0.2086597433
4,5,-2.4282989502,17.0061645508,-2.5809402466,-4.2942352295,16.8048858643,-12.7296905518,-1.2345466614,-9.0015563965,11.0066375732,2.3801422119,6.3656158447,13.3214874268,-7.8399429321,-3.9669189453,-1.4277420044,-4.1572265625,-3.1633720398,2.5383453369,-4.1739273071,-0.2102851868,-4.0454711914,-1.7056388855,2.2259120941,-1.9709625244,-0.0248624552,0.0022071414,0.0022071414,-1.1779421486,-0.8942738436,-3.0472953783
5,5,-1.5827178955,2.9091186523,-0.8893737793,-0.5833892822,5.2044296265,2.3670959473,-6.7021007538,-1.9448394775,-3.1241378784,0.4905548096,1.5670318604,2.4603881836,4.4810028076,-3.0774078369,-1.4433441162,-3.0726928711,9.9842376709,7.5414886475,-3.0745315552,-5.4598350525,-0.9989242554,5.022518158,-2.053943634,-2.3784103394,-0.0037516393,-0.0040491447,-0.0040491447,-2.5556172326,2.3907612877,-3.0274810356
6,5,15.076461792,3.3627471924,3.5956115723,2.7514801025,-4.3620986938,-2.8967590332,-4.3426246643,-4.3497161865,-0.9773254395,-0.1063690186,0.4796447754,0.8169403076,3.3079910278,1.6422729492,-1.0254745483,2.3118743896,6.1644592285,1.6864547729,-10.8619346619,-4.8699035645,-7.0781555176,8.0243644714,-5.4515266418,11.2562561035,-0.0050012469,0.0046951976,0.0046951976,1.0092545987,4.6158384408,1.8922693903
7,5,15.3974456787,-1.4079437256,0.5826721191,3.7468261719,-8.6101036072,-1.8059844971,-3.5105218887,5.069732666,-2.1073532104,4.2568969727,-0.7010498047,-2.553527832,-7.1115036011,-3.2848358154,-0.9992599487,1.02293396,5.1806526184,-1.4136505127,4.1927452087,8.5694351196,11.5994949341,4.9191532135,1.0423030853,4.3909988403,-0.0028697066,-0.0057707503,-0.0057707503,6.6181478649,-1.8832177905,1.7965254321
8,5,0.8915557861,1.4644775391,5.113067627,4.1385040283,5.5297660828,7.0212860107,-10.6363930702,2.9179382324,-4.987991333,2.5897369385,1.5472564697,0.5849609375,0.7370910645,-6.049407959,0.6249160767,-3.1804504395,4.7431793213,-1.8498764038,-2.6138496399,-1.423286438,-8.5810241699,1.9197807312,-3.0116691589,10.0633544922,0.0024028048,0.0002277829,0.0002277829,1.51653539,0.979148644,-0.3006458427
9,5,4.1435546875,-0.0167541504,5.5584716797,-1.1003417969,7.9520263672,1.0667572021,-7.9425315857,4.5390319824,-3.9699859619,3.3186340332,-0.258682251,0.4304199219,0.7575531006,-4.5741119385,-2.5049972534,-1.7080993652,-0.2139968872,-1.1578063965,-5.2400093079,-1.5772018433,0.5682144165,1.1600837708,-1.0762290955,11.2524337769,0.0048384443,-0.0104576349,-0.0104576349,3.2186955498,-2.602907779,0.1551482353
