,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,0,-2,57,-1,68,-4,71,0,75,-3,73,2,61,-3,58,0,63,6,67,-2,74,-24,67,-2,73,0.0004643714,-0.0160225257,-0.0160225257,5.4516050646,0.6056699046,1.0979970311
1,0,0,14,6,28,8,27,-7,28,-7,29,-7,19,0,8,-1,11,5,33,1,26,-8,33,0,24,0.0004386646,-0.0021150447,-0.0021150447,3.6889735795,-0.2194127362,0.2831822184
2,0,2,49,9,61,10,65,-8,59,-8,54,-1,41,3,48,0,46,9,44,4,47,3,42,5,43,-0.0006542951,-0.0089094937,-0.0089094937,5.5139007052,-1.0023385387,-0.357676875
3,0,1,43,6,52,5,55,0,61,7,66,14,65,-1,46,9,57,-12,62,-6,69,-5,71,-9,70,-0.0152111673,-0.0144474022,-0.0144474022,2.1570222623,18.3745599872,2.5960123965
4,0,-6,56,-7,58,-12,70,-5,70,-9,60,-5,47,0,44,1,40,17,48,13,52,4,44,14,42,-0.0035715053,-0.0035762563,-0.0035762563,12.0020569404,1.4392803572,-2.4422293953
5,0,-2,35,8,56,7,56,-19,55,-23,48,-10,21,-4,31,-4,25,8,32,2,38,3,26,6,36,-0.0009194773,-0.0006441921,-0.0006441921,11.4808713851,-0.6380026208,-1.6044876977
6,0,1,51,22,79,33,90,-8,91,-9,86,-1,60,4,47,6,53,11,51,13,54,-3,50,11,47,0.0030516787,-0.0040894374,-0.0040894374,14.5000607028,-5.1356466076,0.9889353935
7,0,-3,89,3,109,2,122,-13,117,-5,104,9,83,3,86,-1,83,3,103,-8,118,-2,99,-5,105,-0.0052220095,-0.0162479319,-0.0162479319,13.2375300723,4.8409197955,-0.3139871926
8,0,5,45,8,63,4,78,-9,75,-11,54,7,29,0,40,6,36,5,28,-1,18,9,22,0,61,-0.0064376406,-0.0025788024,-0.0025788024,10.9950035527,4.7482978121,-0.9847124314
9,0,7,28,6,40,5,36,-11,34,-17,39,-16,23,-2,26,-8,22,2,-2,-6,-14,-13,4,-5,23,0.0013494879,-0.0040851608,-0.0040851608,1.8132824653,-0.2875478694,-0.0024551245
10,0,-18,179,-5,198,3,203,-30,201,-24,190,2,158,-9,160,-1,154,-4,163,6,192,21,162,10,176,0.0008904263,-0.0312104784,-0.0312104784,21.7282884673,-2.7226519707,-1.7971152249
11,0,1,65,14,89,16,95,-10,98,-9,99,-4,77,1,62,-2,67,-17,56,-7,75,-2,63,-7,76,0.0062069767,-0.0162372366,-0.0162372366,7.5847478583,-5.3145697182,1.5564163255
12,0,8,36,14,55,16,58,-22,59,-18,49,-3,30,1,27,1,28,-3,33,-3,43,4,32,-2,49,-0.0023402474,0.0046423376,0.0046423376,17.4786313479,2.7736506642,-0.2850875766
