,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,1,-9,75,0,108,-6,112,6,120,-6,120,1,89,-7,80,-2,90,-6,81,4,90,-7,76,6,104,0.0023776076,-0.0142820105,-0.0142820105,14.4157911032,-2.1843858662,1.0379366611
1,1,7,-6,0,-7,-4,-15,0,-17,-6,-21,-9,-18,-2,-10,1,-12,10,5,1,-20,0,2,5,24,-0.0063393116,0.0001448542,0.0001448542,-2.5515951956,6.4522642299,-1.1086736181
2,1,17,35,22,51,18,57,-18,53,-18,54,-13,40,5,38,0,42,-2,5,-3,9,-2,10,-4,8,0.0015024671,-0.0064538829,-0.0064538829,4.3763315613,-0.9790200838,1.6637579576
3,1,-2,43,3,51,4,58,11,61,15,63,19,61,-2,37,13,46,-11,24,-2,13,1,27,-3,46,-0.0047151597,-0.0119517148,-0.0119517148,0.1673713399,5.6866017596,1.9868751385
4,1,-7,60,0,61,7,60,-8,69,-4,64,3,61,-4,49,2,50,1,36,7,31,9,32,9,61,-0.0002424056,-0.0086644106,-0.0086644106,7.2534093039,-1.0114760284,-0.9378263481
5,1,1,22,4,29,3,35,-7,29,-9,18,-2,10,-2,12,2,6,11,-13,3,-15,8,-15,6,-14,-0.0027282811,0.0058210418,0.0058210418,10.3521659121,0.2866980817,-1.1825912016
6,1,1,-54,8,-46,9,-38,5,-36,1,-32,-6,-32,0,-55,-2,-43,-3,-52,-8,-69,-22,-29,-16,-7,0.002952056,0.0135819968,0.0135819968,2.770303277,-0.0707140248,3.191851267
7,1,0,50,1,60,-2,60,-2,58,-7,54,-2,40,-3,48,-1,44,-8,61,0,50,12,58,0,95,-0.0002159718,-0.0107084922,-0.0107084922,4.7175612849,-0.7009617615,-1.1548448034
8,1,8,16,9,22,10,19,-19,18,-20,21,-18,13,0,1,-10,-2,11,-7,-4,-24,-17,-1,-5,22,-0.0038105961,-0.0014350675,-0.0014350675,0.4811416066,5.6961132913,-0.1141674465
9,1,-10,68,1,73,10,69,-11,64,-8,71,-1,65,-6,46,1,43,-32,44,-4,60,29,57,-7,95,0.0031149955,-0.0133863501,-0.0133863501,4.7223285664,-2.855805051,0.4974691644
10,1,5,52,15,75,16,78,-13,80,-10,82,-1,60,3,41,-1,45,-23,17,-11,40,9,32,-11,64,0.0004409407,-0.0112111792,-0.0112111792,6.1838792198,0.7367828257,1.5923320297
11,1,3,31,1,37,1,37,-2,31,0,30,3,20,1,15,6,14,10,1,2,-10,-1,3,1,-10,-0.0031905028,-0.0011023507,-0.0011023507,3.796834545,2.2522324738,-0.5830799884
12,1,27,30,27,60,19,65,-16,66,-18,67,-5,49,9,17,1,27,3,0,-16,5,-22,25,-23,52,-0.0005342254,-0.0032914281,-0.0032914281,7.5731173601,3.5064438321,3.695014738
13,1,17,26,14,41,10,31,-12,27,-10,28,0,13,7,11,3,7,8,13,0,12,7,13,0,18,-0.0075114225,-0.0014044046,-0.0014044046,3.7885987982,6.7266376455,-0.4300121707
14,1,24,20,14,41,-8,41,5,39,-9,41,-9,26,12,18,0,21,11,-15,-1,-22,0,-6,0,38,-0.0075202801,-0.0043935776,-0.0043935776,2.5096942616,7.3421884252,0.895922677
15,1,10,41,9,34,15,16,-18,5,-22,5,-18,-1,-1,-2,-3,-16,21,3,3,-18,3,-3,9,18,-0.0037822607,-0.0043950453,-0.0043950453,-4.1584433261,1.4908791938,-3.3505649229
16,1,4,21,4,28,4,31,4,34,3,39,3,27,0,15,6,23,-24,-24,-6,-5,8,-10,-10,21,0.0010288517,0.0030753389,0.0030753389,7.2744805781,-0.1562276717,2.1714928356
17,1,16,-56,20,-44,16,-35,13,-39,11,-34,9,-38,12,-43,10,-35,2,-57,11,-60,10,-50,10,-19,0.0002099959,0.0132855829,0.0132855829,0.2716522819,-2.669833778,1.5008658833
18,1,-6,45,4,65,3,75,-3,79,-7,80,-8,68,-4,48,-5,58,-7,26,-13,32,-26,40,-19,58,0.0048829551,-0.0087037832,-0.0087037832,7.7829143579,-1.1355453058,2.8719629006
19,1,0,5,-1,18,-16,38,10,32,-1,22,0,9,8,5,-1,5,-2,-29,1,-25,11,-24,2,31,-0.0023334142,0.0069190934,0.0069190934,8.4233132264,1.9174714025,-0.1507270176
20,1,4,5,0,14,-7,15,-1,12,-5,8,-3,1,-1,12,1,10,-15,-11,3,-9,19,-7,5,37,-0.0024779132,-0.0002808385,-0.0002808385,2.0859771808,1.8447872897,-0.8426033199
21,1,10,53,9,72,2,64,-7,62,-14,79,-11,54,3,38,-4,39,-22,4,-1,23,21,3,1,71,-0.0007206148,-0.0047421604,-0.0047421604,8.0147956524,1.2532442954,-0.0941851055
22,1,15,43,10,65,-2,59,-20,53,-21,55,-15,38,1,37,-3,37,-12,28,-1,16,15,31,-2,57,-0.0017792592,-0.0010366775,-0.0010366775,11.584289119,2.2118317846,-0.0362138194
23,1,6,63,-3,65,-8,66,2,66,-1,69,-6,60,-4,53,2,51,3,31,1,33,4,32,0,80,-0.0006400794,-0.0145621859,-0.0145621859,0.9079330644,0.7029096423,-0.2087215152
24,1,-6,21,0,30,1,29,-9,38,-21,40,-28,33,-8,20,-12,27,-11,-2,-7,8,-19,4,-11,8,0.0135272746,-0.005051963,-0.005051963,0.9180814957,-11.1200280568,1.470117507
25,1,-5,-191,-5,-189,-9,-182,2,-181,9,-185,18,-182,-5,-187,10,-182,-7,-183,-7,-177,9,-168,-8,-154,-0.003757893,0.0603265502,0.0603265502,2.3375024387,4.6354196217,1.7788599343
26,1,-6,33,0,48,-4,49,-8,51,-10,52,-10,45,-5,30,-10,38,-39,3,-17,24,2,14,-20,48,0.004844891,-0.0044962317,-0.0044962317,6.5081970158,-0.5767677103,2.109945225
27,1,-8,108,9,128,14,125,-11,122,-21,119,-21,91,-4,91,-6,83,-25,50,3,60,0,39,4,80,0.0030558815,-0.0068820342,-0.0068820342,20.4267794024,-2.9711147405,-1.9456197199
28,1,1,43,11,47,13,49,-8,48,-7,46,-4,44,-2,23,0,23,2,17,6,3,-2,16,5,50,0.0016537746,-0.0060923137,-0.0060923137,3.4602884419,-2.3421920811,-0.2952314593
29,1,0,8,6,23,6,25,-6,25,-10,25,-9,16,-2,7,-3,11,2,-4,-5,-11,-15,3,-8,12,0.0043019139,-0.0009550452,-0.0009550452,2.0771704534,-3.1367183447,0.7737677488
30,1,13,-26,20,-22,21,-24,-8,-21,-7,-15,-6,-12,2,-32,3,-27,-13,-68,-5,-80,-2,-59,-9,-43,0.005460223,0.0094281528,0.0094281528,-2.3823570568,-4.5809401215,1.9886379589
31,1,14,25,11,27,6,28,9,26,5,23,3,22,9,15,7,14,3,12,10,4,17,9,10,33,-0.0039463546,-0.0035112295,-0.0035112295,2.6120871351,1.213466957,-0.4174286837
32,1,8,58,7,72,6,69,-3,68,-1,67,5,53,6,47,3,43,16,20,6,19,4,18,9,28,-0.0050600776,-0.0088044703,-0.0088044703,5.3985978579,3.2309531967,-0.9901906965
33,1,2,9,1,8,2,-3,1,-4,-1,4,-6,2,-1,5,1,4,14,17,8,-14,3,10,9,20,0.0005201877,-0.0033321641,-0.0033321641,-2.2667110728,-2.2789499666,-1.3287637928
34,1,13,-8,8,0,2,1,-2,3,-6,7,-8,-3,2,-5,0,-3,9,-9,-1,-14,3,-3,0,0,-0.0057255626,0.0022469163,0.0022469163,1.4721723303,5.9453286875,0.6433256865
35,1,-30,32,-55,40,-74,36,-86,29,-86,21,-76,11,-57,24,-72,15,-39,8,-72,3,-48,1,-59,21,0.0023359088,-0.0041063949,-0.0041063949,-0.1222818784,17.2567062422,-2.4146126884
36,1,2,42,11,52,14,55,-8,59,-4,63,5,59,0,41,6,47,-7,30,-3,33,11,36,0,79,-0.0016099857,-0.0097479336,-0.0097479336,4.0869077992,1.8810597121,1.2143181695
37,1,37,49,21,59,11,47,-18,46,-15,48,2,29,24,32,4,29,25,1,9,5,27,-6,12,56,-0.0239616074,-0.0051928647,-0.0051928647,2.5637690003,21.9363834424,-2.1117604621
38,1,7,18,4,15,7,6,-9,5,-10,18,-12,13,0,0,1,-2,1,-14,6,-35,9,-15,5,17,-0.0002282867,-0.0031887293,-0.0031887293,-3.5292861174,-0.1287146393,-0.8086875699
39,1,-1,103,11,127,11,122,-12,126,-18,134,-14,109,1,99,-9,106,-25,90,-7,116,9,95,-6,140,0.0030510912,-0.0242072977,-0.0242072977,10.2566759893,-1.5811443781,0.6572281811
40,1,-2,19,8,43,8,54,-13,44,-15,35,-6,8,-4,21,-2,16,13,-16,1,-21,-18,-15,2,-21,0.0024812055,0.009060258,0.009060258,10.3333282561,-2.102759784,-0.8912428932
41,1,10,79,13,101,4,103,-2,100,-8,94,-4,76,7,79,1,75,2,55,10,61,17,56,10,86,-0.0025017201,-0.0186481774,-0.0186481774,5.922344181,0.7854662788,-0.4754643523
42,1,-5,26,0,38,-1,39,1,37,-7,33,-4,15,-1,17,0,12,20,23,14,21,8,28,12,48,0.00077766,-0.001656495,-0.001656495,5.1260124605,-3.1593189189,-1.7817751301
