,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,2,8,28,10,28,14,27,-5,28,-7,27,-8,24,4,22,-1,23,9,39,6,39,-3,43,7,57,0.0043240623,-0.0109924003,-0.0109924003,-0.7000698392,-6.1924265786,-0.3124190633
1,2,8,-29,9,-33,6,-27,-3,-19,-3,-15,-4,-11,1,-29,-1,-24,6,4,-5,-23,-18,8,-7,22,0.0079839025,0.002434697,0.002434697,-2.5021007947,-7.7524304307,1.6874496345
2,2,7,10,2,8,-8,22,10,19,3,4,-1,8,4,28,1,30,-13,23,-2,40,2,27,-3,32,0.0010567736,-0.0039995573,-0.0039995573,3.7411482989,-0.4973004979,0.2454228414
3,2,-22,38,-17,21,-7,8,-4,8,5,18,8,26,-9,32,2,24,0,55,12,39,24,47,14,51,0.0121646347,-0.0120595731,-0.0120595731,-3.9087491954,-15.9289030188,-2.2057021739
4,2,8,-3,6,0,3,8,-12,10,-14,4,-8,1,-1,-3,-7,1,1,4,-5,-2,-11,5,-5,10,-0.0007188569,0.0021237321,0.0021237321,3.3187637379,2.376431854,0.6388647229
5,2,10,-23,5,-24,-1,-26,-2,-29,-5,-28,-5,-31,5,-31,-2,-33,4,-39,-1,-42,0,-42,-1,-38,-0.0031026821,0.0081993192,0.0081993192,-1.8973762202,2.5572053062,-0.6893301005
6,2,13,-32,-1,-46,-12,-56,4,-61,2,-61,-2,-54,6,-26,2,-34,10,-6,5,-27,9,-2,5,-3,-0.0034925602,0.0066255927,0.0066255927,-1.7544226678,1.5771629647,-1.6657026419
7,2,-4,17,2,16,8,26,1,32,-1,28,-7,30,1,12,-3,19,-19,30,-5,31,-3,37,-8,40,0.0087183232,-0.004322622,-0.004322622,4.5244814659,-7.0650239744,1.9003846122
8,2,12,2,14,3,17,0,-10,2,-8,7,-7,6,5,-13,-5,-11,14,-11,4,-23,-7,-9,4,0,0.0033467632,0.0010433495,0.0010433495,-0.1131009659,-4.6860271572,0.2239982427
9,2,-10,6,-4,0,2,7,1,12,3,7,3,8,-2,9,2,8,-22,26,9,27,27,27,14,48,0.002457039,-0.0040209256,-0.0040209256,0.0891952589,-4.2455768193,-0.2388272361
10,2,0,-13,-10,-20,-17,-27,5,-36,1,-38,1,-36,-1,-5,3,-15,-20,8,11,-1,48,-8,12,24,-0.0071579202,0.00297115,0.00297115,-1.7892532309,5.000352651,-2.9529755399
11,2,3,-6,-2,-4,-7,-1,9,1,0,4,-9,4,1,7,-3,11,-12,13,0,34,6,21,0,18,0.0016966416,-0.0022792332,-0.0022792332,1.0022245826,-1.2866164627,0.6707130926
12,2,2,1,4,5,3,6,2,12,-1,14,-4,14,1,-1,-1,5,-39,1,-4,8,18,16,-9,17,0.0032923194,-0.0009584203,-0.0009584203,0.8134601509,-1.564418623,1.9585653828
13,2,-4,16,-5,15,-3,8,-7,6,-11,3,-14,-3,-3,2,-7,-9,17,16,15,4,5,6,17,21,0.0013747241,-0.0003016666,-0.0003016666,1.8913694399,-4.3455819862,-2.5622950217
14,2,-6,-14,1,-7,1,-5,-1,-2,-8,-7,-13,-9,-5,-8,-8,-6,-4,14,-1,-5,-14,21,-4,44,0.0102355173,-0.0005081035,-0.0005081035,-0.0063935284,-9.6740847112,0.5478767265
15,2,3,3,-4,-6,-4,-8,3,-2,3,15,1,19,-2,13,1,15,1,20,1,14,2,22,1,37,-0.0049753762,-0.005490981,-0.005490981,-2.8626874647,5.5897464224,0.4822000429
16,2,1,-5,9,4,7,15,-8,28,-8,31,-6,26,-2,0,-5,8,-8,11,-1,14,-6,17,-3,13,0.0030031917,0.0010413975,0.0010413975,4.9988800781,-1.4812511948,1.5247957099
17,2,11,21,8,35,-1,36,-5,32,-11,28,-13,14,6,36,-6,30,-12,8,9,18,31,-3,11,34,-0.001963087,-0.0077188984,-0.0077188984,1.5407229583,0.2736499354,-1.8913111358
18,2,-2,-54,-17,-66,-21,-80,4,-85,-8,-71,-22,-71,-5,-56,-10,-59,-37,-68,-6,-68,19,-74,-5,-47,0.0028815824,0.0145431515,0.0145431515,-4.6662200375,-1.5480385107,-1.3224820962
19,2,-2,14,-1,20,-5,31,-3,27,-10,0,-1,-13,-5,35,0,23,15,48,11,32,20,38,16,66,-0.0063673509,-0.0081056766,-0.0081056766,-0.5668906604,3.9209423088,-3.1423059592
20,2,3,-70,-5,-80,-12,-88,14,-90,9,-78,-3,-62,-1,-60,3,-59,-5,-54,-1,-55,9,-51,-1,-41,0.0011469779,0.0131702386,0.0131702386,-6.9449028484,-1.3877834116,0.6437827982
21,2,-11,17,-6,8,0,12,5,5,-6,-1,-19,10,-4,12,-11,5,-26,11,3,18,18,2,7,3,0.0070326119,-0.0015344173,-0.0015344173,1.8048485497,-7.128107888,-1.7862639715
22,2,12,46,13,56,10,44,-4,44,-3,58,-2,50,5,22,0,25,-18,12,-5,25,18,19,-7,35,0.0013470982,-0.0018231682,-0.0018231682,9.5272100376,-0.9617497584,1.0694515538
23,2,9,-13,5,-19,2,-28,0,-30,5,-16,5,-6,5,-9,1,-8,4,-3,-2,-16,-1,-2,-2,19,-0.0068722193,-0.0022602491,-0.0022602491,-5.7186139839,7.2540253849,0.3899011197
24,2,5,-39,3,-41,-5,-23,23,-13,12,-34,8,-34,6,-28,2,-25,-13,-36,-3,-34,9,-28,-8,15,0.0009207419,0.0100853853,0.0100853853,4.3353139779,-0.7972100234,1.411674476
25,2,7,24,6,20,5,16,0,17,-1,22,-8,27,3,29,-3,26,-14,17,1,15,7,4,2,9,0.0003747963,-0.0086563379,-0.0086563379,-2.4970664063,-0.9881033651,0.0211299187
26,2,-2,2,7,8,11,6,9,15,-7,22,-26,22,1,5,-14,17,-11,4,1,-6,-20,10,-8,17,0.0155747309,-0.0039461665,-0.0039461665,-1.2416514096,-14.9573942524,2.4416245675
27,2,-12,-201,-17,-234,-7,-233,10,-236,16,-241,14,-220,-7,-200,9,-209,-7,-189,9,-200,28,-198,13,-169,-0.00237103,0.0587475598,0.0587475598,-7.4755203165,-0.2231716282,-2.0451666303
28,2,18,-154,8,-164,3,-167,8,-171,11,-168,7,-157,12,-154,8,-156,9,-155,14,-157,30,-161,17,-136,-0.0082500854,0.0459726267,0.0459726267,-4.5482533066,4.1696566699,-1.1978732908
29,2,12,-41,2,-70,1,-68,14,-68,16,-72,9,-44,6,-44,8,-46,-20,-52,3,-58,37,-46,4,-32,-0.0076956069,0.0090979449,0.0090979449,-6.7471345992,6.4437222504,-0.1816101243
30,2,7,-9,2,-13,-1,-17,-1,-17,-8,-19,-9,-24,3,-21,-2,-26,9,-24,7,-27,3,-27,9,-13,-0.0024589554,0.0053949058,0.0053949058,0.2581988461,1.2481068478,-1.1679231388
31,2,4,0,2,-4,3,-17,-12,-19,-10,-7,-13,-5,-4,-12,-6,-14,1,-24,0,-37,-4,-28,1,-26,0.0038094874,0.0023213532,0.0023213532,-3.3797954425,-3.7089959855,-0.3845301527
32,2,1,18,-4,22,-6,18,-12,19,-14,21,-17,15,-5,10,-7,9,-11,16,-5,13,3,21,-5,26,0.0016786139,-0.0043152161,-0.0043152161,0.9208016205,0.4960845109,-0.0548526789
33,2,10,-41,4,-39,-3,-40,5,-39,-1,-38,-8,-35,5,-36,-3,-35,-6,-32,-4,-37,6,-22,-4,-33,-0.0005282778,0.0099048838,0.0099048838,0.6328628466,1.0132485725,0.771001043
34,2,0,67,3,74,6,68,0,71,-2,69,-3,62,1,62,-1,61,-3,69,3,67,2,67,4,92,0.0026908778,-0.0173293799,-0.0173293799,1.6158050999,-3.4779192908,-0.3376385396
35,2,0,-19,-4,-26,-3,-41,-11,-39,-14,-27,-22,-24,-5,-22,-9,-25,-2,-10,7,-36,8,-19,11,-12,0.0065576157,0.002597291,0.002597291,-5.2409108811,-8.6014219571,-1.428029531
36,2,7,-30,2,-40,2,-43,12,-32,2,-33,-15,-12,3,-17,-8,-11,-3,-34,3,-29,0,-25,7,-22,0.0094715593,0.0014660619,0.0014660619,-5.8967145728,-10.207640928,1.2416193161
37,2,-2,-46,-5,-59,0,-67,-5,-70,-5,-66,-9,-54,-2,-67,-4,-73,-7,-42,8,-79,21,-36,8,-35,0.0037903269,0.0113427043,0.0113427043,-4.6652128283,-5.1107135079,-1.8027870739
38,2,17,-14,5,-20,6,-34,-10,-35,0,-21,9,-23,11,-38,8,-41,24,-31,8,-48,6,-33,6,-23,-0.0103953369,0.0053353421,0.0053353421,-5.1288072301,8.3005176906,-0.3102653351
39,2,11,7,10,8,7,7,10,9,4,14,-5,15,5,4,1,5,3,13,0,10,-9,16,-5,19,0.0051193228,-0.0027215146,-0.0027215146,0.0542932386,-5.8450683398,0.9698016675
40,2,-6,22,-18,-1,-18,4,18,1,13,-15,3,0,-1,32,-1,26,-4,43,4,38,6,35,5,80,0.0032402421,-0.0084321499,-0.0084321499,-2.3071745625,-5.2754100187,-1.4829442789
41,2,-1,17,2,16,10,-7,-3,-5,-7,24,-19,27,0,-2,-14,4,-3,6,-2,4,-19,6,-4,16,0.0167360283,-0.0043611899,-0.0043611899,-3.3264220297,-16.7939761213,1.9834934112
42,2,2,-9,-2,-11,1,-24,-1,-25,-2,-15,-6,-11,-1,-19,0,-19,-18,-15,-1,-28,11,-9,-1,-7,0.0011506341,0.0013726316,0.0013726316,-3.2421823443,-0.9693909521,0.1691687037
43,2,0,58,-1,56,-9,66,0,62,-10,52,-8,40,5,73,-4,66,8,91,4,102,2,85,4,113,0.0023107328,-0.0147134066,-0.0147134066,8.606375395,-3.5219584394,-1.5266614518
44,2,1,3,-6,0,-7,-12,4,-8,0,0,-4,-1,0,12,-2,12,-7,19,3,4,11,14,3,41,-0.0003045476,-0.0071710553,-0.0071710553,-4.4986912535,-0.1306687102,-0.5408896747
45,2,1,47,-3,47,-7,47,2,47,0,46,-1,50,0,43,-3,43,-9,62,-3,49,6,61,-4,61,2.27899290621281E-05,-0.0175893568,-0.0175893568,-1.9420806992,0.6977668643,0.3165081526
46,2,10,-71,9,-65,6,-68,1,-71,2,-67,0,-72,9,-81,2,-86,6,-63,9,-77,15,-63,12,-50,-0.0034245113,0.0205427594,0.0205427594,0.7668024161,1.213671318,-0.734223998
47,2,0,-6,-2,-5,-5,7,-3,10,-4,5,-2,2,-2,-4,-2,-1,4,10,-4,2,-1,17,-7,18,-0.0011472983,0.000301104,0.000301104,1.6291475573,2.2218151046,0.5845245236
48,2,15,11,18,8,25,5,4,8,-4,2,-5,-3,6,7,1,7,13,25,4,22,-2,25,2,61,0.0011787939,-0.0025039315,-0.0025039315,2.0542365132,-3.2844551777,-0.1158147462
49,2,6,21,-5,19,-13,20,8,21,4,18,0,20,-1,28,-1,29,-4,30,-6,29,9,35,-4,59,-0.0052522733,-0.0085698068,-0.0085698068,-0.9749814016,6.2813471989,0.1708813356
50,2,9,5,4,-4,-1,5,11,3,12,-4,12,5,6,12,4,16,2,30,0,34,3,31,1,41,-0.005196434,-0.0030472651,-0.0030472651,0.4405654207,4.4469003423,0.3130102249
51,2,15,-53,-3,-77,-6,-79,10,-81,7,-79,-12,-55,3,-55,-5,-56,-17,-54,-6,-44,12,-44,-8,-50,-0.0024243767,0.0090736374,0.0090736374,-8.1145219994,3.3601992935,0.3012242502
52,2,2,-13,-8,-21,-17,-14,12,-17,8,-26,-1,-12,-1,7,1,6,4,28,-1,21,-3,31,1,40,-0.0031032935,-0.0052557699,-0.0052557699,-3.4074445187,3.354352756,-0.1336880218
53,2,2,54,1,52,-7,64,12,64,18,58,23,54,5,72,15,72,2,101,-8,93,6,101,-8,115,-0.0223456831,-0.0195160583,-0.0195160583,3.8992522469,24.4551339675,0.0524350152
54,2,8,20,3,18,-5,31,4,30,9,21,11,25,5,33,6,34,4,51,-8,47,-3,52,-7,67,-0.0234442726,-0.0077355094,-0.0077355094,5.2760896637,26.5397439927,0.3418312573
55,2,0,-20,-9,-25,-21,-25,8,-25,-1,-20,-15,-13,-4,1,-7,1,-3,-8,-1,-9,-2,-6,0,14,0.0005302049,-0.0021394752,-0.0021394752,-4.9214671995,1.0567124322,-0.2153569197
56,2,18,3,14,10,5,15,-7,14,-7,20,-8,18,5,10,-3,14,-28,-13,-4,9,35,-15,0,43,-0.0026557955,-0.0010762289,-0.0010762289,2.8341164978,2.7298343288,0.6834553336
57,2,-9,21,-14,18,-22,13,-14,3,-6,6,7,5,-2,47,2,34,21,53,11,59,29,38,18,84,-0.0160688465,-0.0076835901,-0.0076835901,1.0173898229,14.0650811378,-3.9825937625
58,2,-12,14,-18,7,-23,5,-15,-6,-13,-8,0,-14,-2,24,-4,7,19,28,12,35,26,13,20,51,-0.0108475309,-0.0028606653,-0.0028606653,1.9054168892,8.5022294358,-4.3475458804
59,2,-21,-39,-26,-79,-6,-96,-7,-91,-1,-68,-13,-47,-2,-67,-9,-67,-8,-74,4,-77,4,-71,4,-80,0.0045593596,0.0097983889,0.0097983889,-14.1074383782,-4.5464376137,-0.9083969498
60,2,-4,-44,-12,-80,-3,-88,3,-87,4,-81,-6,-56,6,-57,-1,-58,-6,-63,3,-77,10,-61,5,-64,-0.0013196618,0.0101782754,0.0101782754,-11.1234034739,0.3649600796,-1.2409622437
61,2,9,-50,-6,-71,-13,-76,0,-78,9,-69,5,-38,-1,-46,5,-43,-9,-26,-7,-48,2,-21,-9,16,-0.0105783232,0.0071834847,0.0071834847,-6.6300849662,13.3386535776,0.4974156506
62,2,11,-34,9,-38,3,-30,25,-25,22,-14,10,6,5,-19,6,0,-33,-21,-17,-10,-4,-7,-23,18,0.0040758605,0.0025497153,0.0025497153,-2.6182716158,-0.8634659097,5.2681304166
63,2,-2,34,-1,38,-3,33,3,34,1,36,5,27,-3,29,3,25,-28,18,2,31,19,14,2,69,-0.0002214991,-0.0076725878,-0.0076725878,1.9932274764,-0.2271877717,-0.3390816706
64,2,0,22,0,17,1,15,-5,22,0,33,-2,34,-1,28,-1,27,7,47,0,38,-9,45,2,55,-0.0001520284,-0.009055797,-0.009055797,0.1507076036,0.4116826687,0.150661969
65,2,4,-9,0,-19,-2,-25,-3,-20,-5,-5,-20,8,-2,1,-9,2,-13,5,-4,3,3,9,-4,19,0.005406413,-0.0062233433,-0.0062233433,-7.0823960636,-4.174912709,0.6356953139
66,2,13,-4,7,2,-3,2,2,0,-4,-3,-11,-5,4,2,-1,-1,-1,5,3,2,8,7,2,16,-0.0012492351,0.0002426021,0.0002426021,0.9567836316,0.4254316195,-0.5370639737
67,2,-5,74,-5,69,-2,68,-13,68,-14,70,-11,58,-3,66,-10,63,21,73,1,77,-8,70,4,72,-0.002243313,-0.0179949552,-0.0179949552,0.9881384739,2.2250290891,-1.7828567422
68,2,-7,-14,-4,-18,3,-19,-1,-18,1,-17,-1,-13,0,-22,-2,-22,-4,-16,7,-19,6,-21,11,-23,0.0022356189,0.0037056655,0.0037056655,-1.7014699089,-3.3145802665,-0.9566239694
69,2,-5,25,6,31,14,37,-22,38,-20,32,-14,26,-5,11,-6,11,0,11,8,24,2,5,9,20,0.0068141157,-0.0013392977,-0.0013392977,4.4399529341,-7.8446772015,-0.4993231655
70,2,-9,-27,-4,-34,3,-43,-9,-44,-9,-42,-11,-40,-3,-38,-4,-43,-4,-34,5,-43,13,-37,6,-25,0.0039977874,0.0105873197,0.0105873197,-1.3852589647,-5.4518864709,-1.6901497987
71,2,43,-34,55,-32,61,-22,31,-26,24,-36,25,-57,48,-52,30,-62,81,-42,64,-55,47,-53,70,-47,-0.0082675876,0.0165176056,0.0165176056,5.2781078656,-10.6336318049,-3.6262357511
72,2,43,-57,50,-53,52,-49,30,-53,40,-48,49,-49,41,-77,42,-74,31,-56,30,-64,34,-55,31,-57,-0.0133114392,0.0187791511,0.0187791511,1.707376608,3.6290403537,1.275892271
73,2,13,-38,9,-38,4,-38,-1,-35,-1,-34,0,-34,3,-51,1,-47,-11,-31,-4,-49,1,-28,-6,-47,-0.0030955337,0.0113629624,0.0113629624,0.2556240259,3.7693952584,0.8396400871
