,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,2,15,32,6,33,1,24,-6,23,-10,26,-9,22,4,28,-4,22,6,43,-4,40,-10,41,-6,53,-0.0105537344,-0.0142424293,-0.0142424293,-4.5979374662,12.6104853977,-0.6359980167
1,2,0,-7,-3,-17,2,-27,-6,-33,-4,-37,-5,-26,-1,-27,-1,-33,18,8,5,-23,-1,4,8,25,-0.0070747267,0.0012611859,0.0012611859,-4.2031461306,6.7029187765,-1.81749731
2,2,3,10,-4,3,-11,17,2,23,-3,7,-5,16,2,27,-6,29,-2,26,1,40,10,22,0,32,-0.0029204777,-0.0042695515,-0.0042695515,3.8579609782,3.1776342809,0.1789732361
3,2,-3,24,3,18,8,13,7,8,20,18,23,38,-1,20,10,31,-22,46,-11,38,4,56,-12,49,-0.0119870421,-0.0114635192,-0.0114635192,-3.4598651093,15.2440738081,2.0459315185
4,2,8,5,6,12,1,13,-2,9,-8,-4,-6,-11,5,3,0,-3,8,5,5,-3,3,2,6,14,-0.0016485652,0.0018716939,0.0018716939,3.6482640609,-0.006351834,-1.4044312773
5,2,4,-31,5,-32,5,-30,0,-28,-7,-27,-12,-25,1,-34,-6,-31,5,-41,-2,-42,-10,-38,-1,-39,0.0036478194,0.0079937056,0.0079937056,-2.2699148136,-2.9732670432,0.6987968346
6,2,0,-53,-4,-60,-7,-60,15,-54,2,-47,-14,-42,-1,-34,-2,-26,-6,-5,0,-25,-11,-4,-3,-5,0.0018396294,0.007668443,0.007668443,-0.8591811125,-0.1606968949,1.2106780709
7,2,5,34,0,28,-1,31,-5,24,-4,14,1,11,2,20,1,13,4,34,3,31,19,30,5,39,-0.0072011518,-0.0047089234,-0.0047089234,3.9005748411,5.3691133284,-2.1087740646
8,2,8,7,8,10,9,4,-12,2,-13,5,-14,1,2,-11,-8,-16,8,-11,-3,-23,-10,-10,-1,0,-0.0019098331,0.0014828183,0.0014828183,0.3831046418,2.4272767374,-0.4384062258
9,2,-1,18,0,13,2,17,2,7,4,1,8,11,-1,10,5,5,-27,28,-9,28,23,25,-10,49,-0.0020026662,-0.005201567,-0.005201567,-0.364694368,3.2238894062,-0.024764898
10,2,-1,-34,-2,-40,-7,-31,9,-18,6,-16,0,-9,-4,-15,-2,-4,-50,-10,-12,-3,21,8,-15,23,0.0040778993,0.0026201457,0.0026201457,-1.5854018152,-0.8588003759,2.7683395628
11,2,7,8,-2,4,-7,3,3,4,0,-2,1,-4,1,11,-2,7,-4,21,-1,34,11,14,0,20,-0.0026244962,-0.0012973845,-0.0012973845,2.5655849281,2.0897767437,-0.9911039038
12,2,4,14,0,13,-1,10,-3,7,-2,2,-2,2,2,6,0,-1,-11,14,8,7,35,5,9,14,-0.0043378456,-0.004510507,-0.004510507,-3.2433012583,2.3226850262,-1.8539656512
13,2,15,-5,13,1,9,4,3,8,4,15,7,17,5,-5,1,4,-8,5,-13,3,-15,17,-16,19,-0.0003313546,-0.0008368567,-0.0008368567,1.1881878058,3.0588901151,2.7059150455
14,2,10,1,5,-1,1,-3,1,-4,4,-4,9,-5,8,-7,7,-12,14,15,0,-4,2,17,-1,44,-0.0099281594,-0.0017020367,-0.0017020367,-0.9763490575,9.4478254509,-0.3932305367
15,2,2,22,0,16,5,-3,1,-7,2,-4,-2,6,0,14,-1,12,-2,22,-1,13,-2,21,-2,40,0.0065424319,-0.0050655007,-0.0050655007,-2.1505054103,-7.3835288548,-0.230806309
16,2,3,32,3,26,7,24,-7,12,-5,4,4,1,0,7,3,-2,8,16,1,14,9,14,4,13,-0.0036311862,-0.0007136911,-0.0007136911,3.1851556779,1.7969946772,-1.6827406876
17,2,13,13,10,27,3,34,-5,40,-13,37,-14,21,3,28,-6,35,-33,-6,-11,17,10,6,-12,34,0.002013028,-0.0055096,-0.0055096,3.5725671064,0.4105799179,2.1213860618
18,2,20,-72,9,-69,-3,-80,16,-79,10,-67,1,-58,7,-60,4,-56,-18,-74,4,-67,31,-67,2,-47,-0.0026405801,0.0151471933,0.0151471933,-3.7703024105,1.7700130551,1.1926295176
19,2,-3,-12,2,-2,-2,24,5,37,1,27,4,16,-2,21,3,36,-20,39,-10,33,-13,53,-17,68,0.0049114978,-0.0071637519,-0.0071637519,0.7596802731,-1.9152123976,3.4340631061
20,2,1,-64,-5,-77,-7,-83,7,-84,7,-78,-2,-67,0,-61,4,-62,-7,-48,1,-54,5,-55,2,-48,-0.0016153846,0.0140953995,0.0140953995,-5.6718499752,1.5090314876,-0.8156847053
21,2,24,11,11,0,3,4,2,11,2,13,1,18,13,5,5,12,-17,4,-4,17,27,10,-8,2,-0.0075887667,-0.0026931018,-0.0026931018,0.9111819041,7.425181014,1.6222721655
22,2,-1,41,1,54,2,40,-13,39,-16,52,-15,36,-2,28,-7,26,-16,20,4,25,20,13,7,34,-0.0015124562,-0.0017994307,-0.0017994307,8.6950198358,1.3090198816,-1.3195697321
23,2,-4,-9,-5,-18,-1,-29,-3,-25,-8,-20,-15,-15,-5,-11,-6,-10,3,-1,1,-16,-8,-2,1,18,0.0073961802,-0.0019501708,-0.0019501708,-5.6592613063,-7.7006331544,-0.6141999196
24,2,-8,-28,-16,-34,-31,-10,3,-23,-7,-39,-9,-36,0,-24,-10,-27,-8,-29,1,-33,18,-34,7,16,-0.003697321,0.0096629318,0.0096629318,4.113133194,4.0261496371,-1.80018953
25,2,11,24,3,20,-4,18,-1,16,-5,19,-9,23,4,26,-3,28,-7,5,-1,14,15,16,-3,8,-0.0016799066,-0.0084926635,-0.0084926635,-2.2097099154,2.2398131023,-0.0274135999
26,2,26,30,6,23,-6,14,-15,8,-12,5,-1,4,11,18,-1,6,21,11,1,-5,15,4,7,15,-0.0152657884,-0.0053368472,-0.0053368472,-2.3999520376,14.3069652696,-3.1276689548
27,2,-11,-215,-11,-236,-9,-233,7,-231,14,-233,15,-206,-8,-208,7,-205,-25,-196,-9,-200,12,-190,-10,-167,0.0008485673,0.0578691848,0.0578691848,-8.0616757071,1.1575009237,1.4814524051
28,2,-4,-162,-4,-165,-6,-167,-2,-165,-7,-162,-15,-152,-8,-157,-10,-154,-24,-159,-11,-157,-5,-156,-14,-137,0.0069823038,0.0468560867,0.0468560867,-3.4571872816,-3.4593473375,1.1351100298
29,2,-4,-42,-16,-67,-17,-68,5,-69,2,-69,-9,-46,-9,-47,-6,-46,-33,-47,-4,-59,21,-49,-3,-33,0.0059758294,0.0095720738,0.0095720738,-6.628047593,-4.9235037552,0.2708761504
30,2,9,-19,9,-19,6,-17,-1,-16,-1,-12,-2,-9,4,-24,-2,-20,0,-26,-5,-28,-6,-21,-6,-11,0.0009585707,0.0049825162,0.0049825162,0.090250395,-0.1801162529,1.2134865259
31,2,12,-8,14,-9,13,-13,0,-14,-1,-6,-2,-5,6,-13,2,-12,3,-30,0,-38,1,-23,-1,-27,-0.0017212501,0.0028812047,0.0028812047,-2.6038617658,1.3233946702,0.6332007731
32,2,11,19,8,22,9,15,7,17,3,20,-2,17,8,9,5,8,2,19,8,13,12,17,7,26,-0.0006945398,-0.0042396635,-0.0042396635,0.9441168017,-1.3804447269,-0.3199140445
33,2,8,-31,0,-37,-3,-39,0,-41,-4,-40,-11,-39,5,-34,-5,-38,2,-26,2,-38,4,-30,4,-31,-0.0019029239,0.0095174313,0.0095174313,0.3945813993,1.1967017385,-1.0805972073
34,2,8,65,4,66,-1,69,0,66,2,73,0,65,-1,60,3,60,1,67,-1,68,2,69,-2,90,-0.0046662567,-0.0173446871,-0.0173446871,1.2749566481,4.9885923351,0.0602692524
35,2,23,-28,16,-26,9,-38,0,-39,3,-28,1,-21,9,-25,6,-22,-7,-21,-7,-37,4,-12,-9,-14,-0.0081185864,0.0035723038,0.0035723038,-4.238677253,9.9956038837,1.3078607284
36,2,16,-20,-2,-38,-16,-35,2,-44,0,-48,-8,-33,10,-10,-5,-16,4,-25,-3,-30,-1,-36,-6,-25,-0.0105494805,0.0015985407,0.0015985407,-6.1768574913,11.089528797,-1.2800594822
37,2,12,-56,4,-67,1,-69,-5,-67,-1,-61,-3,-47,3,-74,2,-68,-13,-41,-10,-81,9,-41,-9,-39,-0.0082913331,0.0113133453,0.0113133453,-4.987226871,9.9429766175,1.4843146133
38,2,-10,-23,2,-19,14,-31,-7,-34,-5,-21,-14,-13,-5,-41,-11,-39,-3,-32,-4,-47,-19,-32,-2,-24,0.010896828,0.0057692751,0.0057692751,-4.5266631501,-9.4485790661,0.0141763805
39,2,-3,9,-10,-1,-10,-6,-7,-4,0,5,-2,10,1,5,-3,4,11,17,1,11,-2,14,5,16,-0.0061858734,-0.0025663413,-0.0025663413,-0.7774422036,6.6857450282,-0.8536103251
40,2,3,-1,-11,-14,-20,1,17,6,16,6,8,25,3,24,4,34,-3,34,-7,39,2,44,-8,80,-0.0071084918,-0.0082783215,-0.0082783215,-2.0745957562,9.4905892017,1.6932178668
41,2,26,22,14,23,9,-6,-14,-2,-12,14,-7,6,16,4,1,2,23,7,4,4,2,4,6,25,-0.0200362504,-0.0039265528,-0.0039265528,-2.9599797773,20.4275206649,-2.0136347586
42,2,6,-7,-1,-15,0,-27,-3,-25,1,-15,-3,-7,0,-18,3,-18,-6,-9,2,-28,20,-15,1,-11,-0.0019665025,0.0006143451,0.0006143451,-4.0135047455,1.8120329107,-0.3893027441
43,2,10,37,7,50,-6,58,12,68,-1,57,-5,52,8,66,-4,71,0,85,-3,100,-4,89,-4,112,-0.0058357725,-0.0144470371,-0.0144470371,8.4372656831,6.990337096,1.0390794096
