,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,3,-11,29,-9,34,-6,33,2,35,-3,32,-2,23,-4,27,-2,30,-4,11,6,27,9,14,6,26,0.0024249572,-0.0024174452,-0.0024174452,7.0293163467,-2.9233883394,-0.7953673945
1,3,0,2,-3,2,-6,-2,8,1,1,-1,-2,1,0,-3,-2,-1,-27,-41,-1,-26,34,-40,2,12,0.0024032826,0.0032666698,0.0032666698,1.8304768959,-2.852082069,-0.2250495293
2,3,3,3,0,2,-1,2,0,1,-3,1,-3,1,-2,5,0,4,-11,-16,4,-1,23,-18,4,-3,0.0011586831,-0.0002410896,-0.0002410896,-0.7226794547,-2.0533357496,-0.6099401657
3,3,35,-72,38,-45,18,-22,12,4,10,45,-17,69,7,-30,-9,31,-102,-109,-76,-72,-56,-17,-109,-19,0.0211632913,0.0033118278,0.0033118278,-4.3511104368,0.5089732332,18.8509721368
4,3,6,23,2,22,2,18,3,18,1,16,2,13,0,19,3,13,-29,-24,13,-13,51,-31,16,23,-0.0026728316,0.0015152097,0.0015152097,4.0409067718,-0.5371161771,-2.058353125
5,3,4,-34,3,-35,1,-34,-4,-35,-11,-36,-11,-41,-2,-37,-5,-39,-8,-60,0,-51,11,-63,2,-49,0.0016261088,0.0114666335,0.0114666335,-1.6410558646,-1.5012633487,-0.3943133468
6,3,4,1,5,2,2,1,6,-3,3,2,1,0,3,-2,3,-2,-13,-22,8,-15,33,-31,11,21,-0.0008248193,0.0011271127,0.0011271127,0.3026944266,-1.4269055076,-0.810583604
7,3,-2,6,-4,8,-5,6,-1,5,-4,5,-8,3,-3,8,-5,7,-21,-23,-4,-9,11,-24,-5,-19,0.0031914043,-0.0018855073,-0.0018855073,-2.462433859,-1.7445246952,0.1920727469
8,3,6,14,5,16,1,17,-8,16,-8,16,0,13,-2,18,7,16,-29,-22,-3,-4,44,-26,2,38,-0.0015693023,-0.0013245456,-0.0013245456,1.150091306,0.9549215123,-0.50242764
9,3,43,144,65,143,81,147,93,136,84,125,89,110,57,152,105,136,34,148,104,154,148,126,113,243,-0.0159541718,-0.0266592838,-0.0266592838,10.8495634449,-10.5820292902,-3.5381180169
