,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,4,-1,-2,-9,-11,-16,1,15,0,10,-13,8,-12,2,26,4,21,19,60,12,56,14,51,17,116,0.0059314561,-0.0105342902,-0.0105342902,-3.3381518436,-10.6168705983,-1.5748389724
1,4,2,-29,-1,-34,-9,-28,6,-21,-1,-19,-7,-15,-2,-24,-3,-20,-10,-10,-8,-21,-6,-3,-8,57,0.0092069879,0.0006620698,0.0006620698,-4.1553066347,-8.8560556983,1.3681598454
2,4,4,-33,1,-40,-4,-34,1,-29,-3,-30,-6,-28,-1,-34,-3,-32,1,-8,-7,-34,-9,-6,-7,37,0.0081169354,0.004175432,0.004175432,-2.7753293817,-8.0534348572,0.7906959077
3,4,15,-26,1,-39,-11,-34,4,-42,-3,-50,-10,-41,4,-13,0,-20,23,-7,16,-32,10,-14,19,14,0.0047512189,0.0034263059,0.0034263059,-2.2471574515,-10.0678995926,-2.0526568124
4,4,9,26,-4,22,-17,29,3,21,-2,8,1,5,5,37,4,29,23,51,14,38,16,40,19,81,-0.0036490625,-0.0095840879,-0.0095840879,0.2715275918,0.0477949871,-2.6789380273
5,4,7,13,9,30,2,40,0,47,-14,34,-12,14,0,25,-9,27,-5,29,-4,31,-9,33,-7,54,0.0024709156,-0.004263103,-0.004263103,5.753921442,-0.8659074121,0.7943746974
6,4,12,-2,11,5,5,12,1,19,-9,14,-11,9,0,8,-5,10,-3,14,-4,8,-9,18,-5,31,0.0032107314,-0.0025865063,-0.0025865063,1.4778150106,-2.1067068531,1.1531594919
7,4,7,-70,3,-75,-2,-72,1,-70,2,-71,7,-65,3,-73,2,-70,0,-65,-7,-76,-5,-55,-10,-5,-0.004408977,0.0187264197,0.0187264197,-2.5207795479,6.1545940917,1.4988985425
8,4,15,-61,4,-67,-9,-76,3,-76,-2,-73,-7,-71,5,-46,-1,-48,18,-15,-1,-52,-19,-15,-3,6,0.0066476567,0.0128702223,0.0128702223,-0.4429861996,-8.2973592056,-0.0977540357
9,4,7,-2,4,-9,5,-1,4,5,2,-1,-5,9,5,-4,-2,0,6,36,-1,12,-16,39,-5,101,-0.011782703,-0.0033039302,-0.0033039302,-1.3647251078,15.1370890417,1.0715987888
10,4,-2,5,-1,-5,2,-5,0,-5,0,-6,-3,2,-1,3,-2,3,12,36,2,-2,-9,32,0,86,0.01030478,-0.0100495107,-0.0100495107,-5.5363693138,-11.9819517557,-0.7263297618
11,4,3,61,-3,50,-6,51,2,46,2,40,5,52,2,55,2,50,-3,65,-1,50,8,71,-1,93,-0.0053889047,-0.0243093558,-0.0243093558,-7.0269405683,5.4010653558,-0.2498647912
12,4,-1,-41,6,-37,6,-32,6,-36,7,-35,3,-31,1,-30,5,-28,2,-6,3,-20,4,0,2,15,0.0051197163,0.006133344,0.006133344,-1.3254348878,-6.2472651976,0.8688667997
13,4,-2,-1,-6,-15,-9,-11,1,-22,1,-35,6,-22,0,7,3,-2,1,29,3,12,12,21,4,46,-0.0161194694,0.000574708,0.000574708,0.1613414599,16.7169019606,-2.4987378108
14,4,-4,7,-4,0,-9,2,8,-5,3,-12,5,-12,1,20,6,15,1,46,8,32,18,36,10,81,0.0075342455,-0.0027689934,-0.0027689934,-0.6447875671,-11.2969265463,-1.194729968
15,4,-1,17,3,16,6,17,0,23,0,25,-2,28,2,3,2,10,-3,28,-4,19,-7,34,-5,58,0.0045936974,-0.0061683133,-0.0061683133,-0.8979770895,-3.9768738986,1.2574608334
16,4,2,-17,-6,-28,-5,-39,-1,-37,-4,-34,-13,-24,1,-16,-4,-22,15,0,13,-21,0,-5,13,14,0.0030353519,0.0026054457,0.0026054457,-2.3739952586,-5.5947264692,-0.8638372748
17,4,-6,0,-12,-13,-14,-15,-6,-30,-10,-50,-3,-48,-5,4,-4,-20,32,35,19,5,22,21,29,58,-0.0114920982,-0.0011408329,-0.0011408329,-3.0535705092,8.0112953127,-5.4667679116
18,4,5,-53,2,-52,-3,-47,6,-49,-9,-53,-21,-51,-2,-42,-8,-42,3,-30,3,-46,-11,-29,0,-6,0.0156798935,0.0079745427,0.0079745427,-3.7977651203,-17.2576152981,-0.0526974728
19,4,9,47,8,52,1,58,-8,50,-6,47,-5,51,2,59,-2,58,4,88,-10,82,-9,96,-7,157,-0.0127721773,-0.0194138102,-0.0194138102,-1.4982325483,15.3571964065,0.0767584552
20,4,-19,37,-18,26,-12,21,-2,16,0,20,5,22,-11,39,0,29,4,67,4,49,10,63,6,99,0.021085328,-0.0149972253,-0.0149972253,-4.795313622,-24.62844329,-0.9818185498
