,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,4,-9,-9,-12,-8,-15,-1,16,2,4,-5,1,-4,-1,10,-4,21,-8,50,-4,57,-18,60,-10,113,-0.0097244214,-0.0090663694,-0.0090663694,-1.891041637,13.8689145076,1.2251070468
1,4,3,-3,-7,-18,-8,-24,9,-31,5,-37,-1,-21,3,-20,3,-26,4,-2,8,-21,15,-11,11,54,-0.0075301491,-0.0011114217,-0.0011114217,-5.8414130185,6.7363848431,-1.8776628613
2,4,1,-20,-5,-30,-4,-37,4,-39,4,-43,-2,-29,0,-33,-1,-35,7,-8,4,-34,2,-8,6,38,-0.0064670257,0.0024658628,0.0024658628,-4.7943205831,6.6461437536,-1.0192622098
3,4,9,-37,3,-49,-2,-43,5,-36,0,-41,-10,-20,0,-19,-7,-13,-7,-13,-12,-30,-17,-5,-17,14,-0.0058912588,0.0030812435,0.0030812435,-2.3813721512,10.7641556956,1.5794005043
4,4,1,9,2,8,-5,19,9,30,1,22,-9,32,-1,28,-8,38,-16,41,-14,39,-18,53,-19,80,-0.0017165947,-0.0103651993,-0.0103651993,0.1500687029,6.3672207634,2.4458872763
5,4,7,17,5,35,-8,43,0,36,-10,27,-6,11,5,29,2,27,10,33,8,30,5,30,10,59,-0.0045858469,-0.0052327849,-0.0052327849,4.8267117702,2.8225813406,-1.4464960465
6,4,13,-1,11,12,-1,20,-6,18,-16,13,-15,-2,3,10,0,9,9,18,4,7,1,15,6,36,-0.0026627412,-0.001708582,-0.001708582,2.7106751002,1.7313806028,-0.9569728345
7,4,-9,-68,-7,-74,-3,-77,3,-77,-2,-76,-6,-70,-7,-71,-4,-75,2,-57,3,-75,0,-60,4,-7,0.0052858877,0.0186060779,0.0186060779,-3.4451140618,-6.3497340451,-0.9442596597
8,4,5,-62,-1,-71,-3,-73,9,-75,3,-67,-11,-56,0,-51,-3,-48,15,-22,3,-51,-13,-15,3,4,-0.0058261799,0.0122634843,0.0122634843,-0.7263318669,7.1132547188,-0.0331202555
9,4,6,11,0,2,-2,4,-5,-2,-5,-12,-7,-7,1,0,-2,-6,16,38,0,11,-5,37,2,99,0.0117607303,-0.0033699833,-0.0033699833,-1.5772168238,-14.99765214,-1.2450734075
10,4,2,2,-3,-7,-2,-8,-1,-8,2,-5,0,6,1,3,-1,4,13,28,0,-2,-9,37,3,82,-0.0108272894,-0.009295471,-0.009295471,-4.8944216144,12.2687179554,0.4434146079
11,4,-4,48,-2,42,-2,48,2,51,2,49,-2,57,-1,53,-1,54,-6,68,3,51,6,65,1,96,0.0048275008,-0.0231760181,-0.0231760181,-5.9745997239,-4.6585378487,0.3485320562
12,4,-7,-35,-5,-35,-4,-34,-3,-32,-3,-34,0,-39,-4,-29,0,-30,-4,-3,-1,-20,5,-5,1,17,-0.0011095173,0.0066938996,0.0066938996,-0.8703635078,1.5015648446,-0.6786309119
13,4,-5,-20,-7,-36,-10,-26,12,-15,9,-17,-2,0,-6,0,-1,7,-17,22,-2,12,1,27,-1,45,0.0156607302,-0.0005818829,-0.0005818829,-1.5803893216,-16.2098939985,2.1026712973
14,4,-9,-7,-11,-15,-17,-7,11,0,8,0,-1,5,-8,17,1,21,-19,37,-7,29,3,48,-10,80,-0.006889171,-0.004010953,-0.004010953,-2.1500027799,10.5905040202,0.4281947597
15,4,3,25,1,26,-2,19,-2,17,-2,15,-2,13,2,10,0,5,14,34,5,19,6,34,6,54,-0.0068879907,-0.0057107657,-0.0057107657,-0.618034166,5.7782371157,-1.498131614
16,4,13,-23,2,-34,-4,-39,7,-40,5,-30,-4,-14,3,-19,-1,-18,2,-5,-11,-22,-13,2,-13,14,-0.0038394812,0.0016695112,0.0016695112,-3.3516640867,6.5275953241,0.5245633043
17,4,6,-40,4,-44,1,-39,17,-21,17,-10,8,8,3,-21,7,1,-21,19,-21,4,-34,40,-30,60,0.0115750353,-0.0028718449,-0.0028718449,-5.0459315562,-8.1018013884,5.7339183788
18,4,18,-40,3,-53,-4,-52,2,-50,0,-49,-6,-44,8,-45,4,-44,12,-32,-1,-48,-2,-27,-1,-7,-0.0146299398,0.0070265085,0.0070265085,-4.2837030417,15.6716800323,-0.1730951771
19,4,10,47,4,51,-1,49,5,46,-5,48,-7,38,1,60,-1,54,11,100,8,81,-2,93,6,159,0.0119777985,-0.0176881775,-0.0176881775,-0.2016276674,-14.8925326384,-0.4178860607
20,4,-2,23,2,21,1,21,10,23,15,24,17,32,-3,25,9,32,-11,61,-6,48,-4,70,-9,97,-0.0216237758,-0.0117021725,-0.0117021725,-1.4403724041,25.973497028,1.5269855099
21,4,2,11,-2,16,-9,20,5,18,-3,9,-4,-2,1,13,-3,9,15,48,6,44,1,41,11,64,-0.0001377976,-0.0021937154,-0.0021937154,6.5657459081,-1.579527159,-1.8974574328
22,4,8,7,9,10,5,11,6,15,-8,13,-21,16,3,22,-9,30,-11,2,-8,5,-13,13,-12,26,0.0106046316,-0.0066950396,-0.0066950396,-2.2617813721,-8.6274296817,2.3291333504
23,4,20,13,14,18,8,19,-1,18,2,19,1,19,16,5,2,8,12,-1,2,1,-6,3,-1,16,-0.0069506415,-0.0033945441,-0.0033945441,0.5251588939,6.3826791309,1.0486829879
24,4,-1,0,-10,-19,-11,-24,5,-33,3,-35,-2,-20,-1,-15,-2,-23,8,10,-3,-8,5,11,0,38,-0.0036086054,-0.0036197677,-0.0036197677,-6.874655316,3.5177303777,-1.5152583634
25,4,8,1,3,5,-6,11,3,11,-2,8,-7,4,4,15,-2,17,-1,20,-4,13,-4,24,-3,55,-0.0030965728,-0.0092263371,-0.0092263371,-4.1400190636,4.0640884376,0.5685368931
26,4,11,-91,4,-91,-6,-96,8,-92,4,-84,-4,-73,2,-82,-2,-79,2,-68,-1,-81,-4,-65,-2,-38,0.0002138983,0.0171192512,0.0171192512,-4.8862523853,0.8647169733,1.4562307955
27,4,8,-49,13,-27,1,-17,-2,-7,-9,-4,-12,-14,-3,-19,-2,-6,-13,-3,-14,-10,-21,9,-18,20,0.0092175059,0.001098197,0.001098197,-3.1705183716,-5.7554343891,3.4893849681
28,4,-5,-67,-11,-77,-22,-49,10,-57,2,-71,-4,-58,0,-53,-7,-53,0,-40,-3,-51,-8,-35,-2,4,0.0032923215,0.0143626984,0.0143626984,2.5017522027,-2.4734305371,0.2162409354
29,4,-9,16,-6,21,-11,30,5,31,-7,21,-11,18,-12,32,-8,33,-10,45,-5,41,-7,50,-8,82,0.0216611587,-0.0073451474,-0.0073451474,4.6582191873,-21.9676216571,0.7165048965
30,4,21,-51,0,-69,-9,-80,6,-86,-2,-86,-16,-70,5,-56,-1,-63,12,-65,3,-93,8,-71,6,-56,-0.001616977,0.0113540664,0.0113540664,-10.9062477714,-0.8664572012,-1.5296440573
31,4,1,-37,-7,-54,-10,-49,7,-46,4,-49,-6,-25,-5,-32,-4,-28,-2,-5,-4,-30,-12,-4,-5,17,0.0195015981,0.0053940788,0.0053940788,-5.0878271993,-20.7260643589,2.1890659036
32,4,7,-23,4,-20,-1,-20,2,-16,-2,-11,-5,-10,0,-23,-5,-19,-7,-21,-11,-27,-8,-15,-12,7,0.0002272105,0.0035942197,0.0035942197,-0.7086541337,1.8783918307,1.5195483707
33,4,7,-15,9,-19,10,-21,5,-24,6,-18,3,-14,5,-19,3,-19,7,-22,2,-38,0,-19,2,-15,0.0001371598,0.0034337863,0.0034337863,-2.6976252181,-1.6051346453,0.0765003037
34,4,10,-39,6,-50,1,-44,15,-40,14,-42,6,-27,8,-32,9,-27,-5,-12,5,-41,13,-3,1,56,0.0026292158,-0.0047894977,-0.0047894977,-10.4627341961,-4.4250983171,1.4142760851
35,4,11,-45,7,-49,6,-54,6,-59,0,-56,-10,-53,8,-42,-1,-49,24,-25,11,-43,-5,-25,14,-6,0.0092852828,0.0104787275,0.0104787275,-1.0159583791,-13.3093264705,-1.2459198364
36,4,-9,0,-2,-6,2,-6,0,-7,-4,-10,-4,-12,-3,-3,0,-4,-8,1,10,-11,19,-12,12,51,0.0039722752,-0.0019551627,-0.0019551627,-3.220717969,-5.8371230114,-1.6473338668
37,4,-2,26,-5,24,-9,25,1,27,2,30,0,33,-7,33,1,34,0,58,0,44,1,63,1,90,-0.0075876601,-0.008821968,-0.008821968,0.6621346685,9.2811224932,-0.4558303933
38,4,17,-28,15,-31,8,-25,9,-26,12,-24,10,-8,6,-16,7,-7,-8,4,-13,-11,-13,16,-19,36,-0.0101945492,-0.0013814494,-0.0013814494,-2.2497424145,14.2964002148,2.9001848095
39,4,8,5,5,8,1,3,-2,5,-10,6,-13,5,1,-8,-8,-11,16,16,-1,-13,-24,20,-3,59,-0.0111698139,-0.0012939051,-0.0012939051,0.7867762129,13.7754800963,-0.1535163041
40,4,-13,48,-11,49,-11,51,-3,44,0,41,11,40,-8,45,2,38,-15,47,-5,57,27,51,0,118,-0.0039226259,-0.0104111098,-0.0104111098,3.5211322827,4.0789514758,-1.2480442202
41,4,-4,-29,-6,-31,-7,-32,-4,-32,4,-28,6,-21,-4,-28,2,-28,-5,-2,-5,-16,-7,-1,-5,13,-0.0030909889,0.0026281029,0.0026281029,-3.6552375351,5.0900098505,0.2136303923
42,4,2,-15,3,-19,8,-31,-11,-27,-1,-13,3,-8,0,-28,3,-24,1,-1,-2,-25,-9,1,-3,15,-0.0030674002,0.0014922768,0.0014922768,-4.5874942506,4.4768705795,0.3886961619
43,4,-8,30,-10,19,-4,17,-2,14,1,22,-2,30,0,26,-5,26,-3,28,-5,26,6,28,0,52,-0.0024655089,-0.0094911009,-0.0094911009,-1.5631596412,3.1770962423,-0.495947803
44,4,3,-64,-8,-74,-18,-57,27,-44,22,-38,2,-14,2,-33,1,-14,-21,-30,-11,-14,-7,-12,-15,29,0.0024182074,0.0051367395,0.0051367395,-3.1522330054,1.3603195738,4.0888070135
45,4,10,5,-2,4,-6,-20,0,-17,-5,-14,-6,-17,6,10,-4,4,14,11,11,12,13,2,16,36,0.0002287654,-0.0021417104,-0.0021417104,-1.2996357803,-3.3112475861,-2.0275597722
46,4,8,-36,-2,-54,-5,-57,13,-58,12,-57,3,-38,3,-25,6,-26,10,-9,3,-34,3,-7,0,1,-0.005539977,-0.0019313172,-0.0019313172,-10.5781641491,5.4710600736,-0.4888967849
47,4,-3,69,4,78,1,91,13,95,-3,81,-10,71,7,90,-9,91,9,115,8,134,-3,113,9,141,0.0092253992,-0.0210491382,-0.0210491382,9.5273577567,-11.6338419955,-0.5970251389
