,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,5,-11,63,-6,69,-1,69,-5,72,-4,72,3,66,-6,57,0,62,-10,82,-6,86,-6,84,-8,85,0.0022302077,-0.0163468048,-0.0163468048,5.8409337879,-0.7585873864,0.9339660783
1,5,3,-1,2,-1,5,-10,-5,-10,-2,-9,2,-7,3,-11,2,-12,5,21,2,9,2,17,4,9,-0.0036557876,0.0004458614,0.0004458614,-0.1010126117,3.2152115144,-0.3644312291
2,5,9,49,11,58,11,63,-19,55,-16,50,-7,36,7,42,-1,41,15,69,1,60,0,83,-3,104,-0.013651262,-0.0119893476,-0.0119893476,2.5424603882,15.5737579939,0.1225146827
3,5,-8,29,-2,30,2,30,10,30,20,39,21,50,-2,31,6,46,-16,56,-12,59,-15,66,-14,56,-0.0030964616,-0.0122944042,-0.0122944042,-0.385659212,6.0342704452,2.7732914724
4,5,6,42,5,45,3,46,-7,48,-5,39,-1,34,5,30,2,24,14,30,11,26,11,23,13,20,-0.0035742967,-0.0025928542,-0.0025928542,7.9175101598,0.714193139,-1.8767125129
5,5,-1,1,3,4,5,12,1,15,-3,17,-10,19,-4,4,-6,12,3,15,-7,6,-16,19,-8,3,0.0056937549,-0.0016825572,-0.0016825572,1.6248171223,-3.836666798,1.8437984334
6,5,-6,-15,-10,-29,-6,-33,0,-35,0,-31,-10,-21,-4,-17,-3,-20,10,0,2,-16,-13,-3,1,-19,0.0006697588,0.002453208,0.002453208,-3.3651093595,-0.6231725192,-1.082008404
7,5,3,40,0,43,-1,36,-4,36,-4,38,0,30,-2,36,-1,33,-5,36,-2,41,15,35,1,36,-0.002553483,-0.0054997616,-0.0054997616,5.8058985042,2.0187556121,-0.7199175905
8,5,-2,11,1,17,5,15,-8,17,-11,19,-13,16,-2,2,-9,1,-5,-3,-5,-5,-16,-1,-7,-10,0.0062087775,7.42711126804352E-05,7.42711126804352E-05,2.0545015428,-4.764282404,0.8948617728
9,5,-10,46,-5,44,2,48,-13,43,-1,42,12,48,-7,39,3,40,-20,42,-15,63,-5,43,-12,34,0.000861675,-0.0120680518,-0.0120680518,0.9099844246,1.505554812,0.6925849826
10,5,-10,59,3,77,8,82,-6,86,-2,81,7,64,-3,55,0,59,-16,68,-5,74,1,71,-4,75,0.0054438896,-0.0116309598,-0.0116309598,9.0428843143,-4.8738891254,0.9575594645
11,5,10,15,7,16,5,14,7,11,6,7,3,5,8,21,4,17,17,41,9,46,1,40,10,52,-0.0018835217,-0.0028890409,-0.0028890409,5.517741927,-0.7800215436,-1.0863057993
12,5,6,17,2,12,3,3,-3,3,2,5,4,7,5,12,1,7,-13,5,6,9,30,-1,7,31,-0.0045499925,-0.0050639808,-0.0050639808,-3.3744621042,2.9839942311,-1.0467756694
13,5,11,29,12,41,9,48,-6,47,0,52,8,50,2,31,5,40,-9,41,-19,38,-24,50,-24,27,-0.0006529083,-0.0077791587,-0.0077791587,3.659062974,4.3370126615,3.0532350247
14,5,5,74,1,78,1,67,-23,52,-19,31,0,16,1,61,2,38,25,74,16,66,23,58,22,73,-0.0133081065,-0.010958042,-0.010958042,3.8919071746,9.7214897676,-5.0054152213
15,5,4,21,2,22,2,16,-2,13,-1,14,1,13,4,19,2,19,12,48,3,42,2,46,3,48,-0.0040984973,-0.0069052614,-0.0069052614,-0.8963933901,3.1949247458,-0.6866577226
16,5,-4,14,-4,4,5,-11,-2,-12,5,0,2,11,-1,6,1,5,5,15,-1,9,-2,14,1,13,0.0027860303,-0.0040036514,-0.0040036514,-3.0827249113,-3.5138467049,-0.0393667548
17,5,-4,82,-4,71,5,59,-7,48,2,48,9,55,-2,47,7,39,3,56,1,58,13,53,4,52,-0.0025993218,-0.0110961981,-0.0110961981,4.147860297,1.0061010136,-1.4699007714
18,5,12,-3,7,10,0,18,-3,18,-4,13,0,-1,7,12,1,15,-9,7,-8,7,2,19,-11,-3,-0.0023326532,-0.0002878197,-0.0002878197,3.8706645565,3.3453294985,1.9396793617
19,5,14,-16,12,-2,5,-5,12,-2,7,4,10,-10,10,-10,9,-5,-7,-22,2,-7,11,-8,-2,-8,-0.0004511105,0.0086307656,0.0086307656,6.1570501418,-0.864364211,1.7274661357
20,5,-10,-33,-6,-28,-4,-32,4,-33,1,-31,-2,-38,-6,-33,1,-37,-2,-14,2,-22,6,-26,6,-21,0.0031550543,0.0117116757,0.0117116757,2.4403079277,-4.1266569896,-1.2295063129
21,5,1,-9,17,3,25,7,-6,19,-1,39,-4,42,-2,-1,-1,23,-27,-1,-15,-3,-21,18,-24,5,0.0091975915,-0.0044628754,-0.0044628754,-2.5824111881,-4.0869382802,5.84865826
22,5,-9,49,0,67,0,71,-2,73,-2,76,4,64,-3,65,-1,71,-9,61,-9,71,-11,63,-9,60,0.0024827357,-0.0149170309,-0.0149170309,4.8075482862,0.0380563691,1.6975621738
23,5,-13,-26,-7,-31,-3,-16,-15,-27,-12,-37,-2,-35,-4,-38,-7,-44,6,-40,4,-44,1,-43,6,-45,-0.0003650636,0.0134638902,0.0134638902,3.5800593553,0.16820627,-1.6549483281
24,5,-1,69,0,74,0,69,-5,76,-6,86,-10,80,-1,66,-4,72,-3,65,-4,69,-3,69,-4,69,0.0020167145,-0.0188796222,-0.0188796222,1.1890876558,-0.9878938359,0.8083731872
25,5,0,-116,5,-107,5,-112,-9,-109,-11,-104,-13,-112,-4,-119,-10,-116,-6,-112,-4,-115,-7,-120,-3,-126,0.0040130998,0.041840598,0.041840598,5.0562426921,-2.2817868721,0.0168181907
26,5,-10,45,-5,50,-4,56,-9,55,-16,52,-18,39,-8,48,-10,46,11,73,3,58,-8,67,5,58,0.0019550964,-0.0095479004,-0.0095479004,7.1835441269,-1.5370858697,-1.7416500138
27,5,-12,24,-4,30,-1,32,-2,28,3,21,5,26,-9,22,1,23,0,46,-3,39,-10,44,-2,45,0.002436152,-0.006796848,-0.006796848,1.0534797301,-1.6344945803,0.142749629
28,5,6,-7,6,-5,2,-2,3,-1,2,5,-2,11,0,-5,-3,4,-6,4,-13,5,-20,12,-17,7,0.0034343239,-0.0015796684,-0.0015796684,-0.7360386116,-1.0026536378,2.3320319655
29,5,22,-3,21,1,17,-6,5,-7,7,4,6,3,13,-2,11,-1,10,-16,2,-22,3,-8,1,-18,-0.0102723169,0.00008839,0.00008839,-2.2642974896,9.2456731661,0.8784672894
30,5,11,31,3,21,5,7,2,7,5,17,2,22,8,15,7,13,15,20,8,9,9,23,6,3,-0.0045286848,-0.0101299956,-0.0101299956,-5.7765653594,2.1112287585,-0.5804650227
31,5,14,-29,4,-34,4,-47,1,-48,2,-38,-5,-37,11,-30,-1,-36,22,-23,10,-34,-8,-20,11,-24,-0.0037284414,0.0079338402,0.0079338402,-1.1874099946,1.4358839311,-1.1024019703
32,5,-6,8,-1,10,1,11,0,16,-3,17,-8,13,-6,12,-5,14,4,27,-1,17,-10,24,0,20,0.006010043,-0.004991658,-0.004991658,-0.9935163043,-5.7106789574,-0.2157322722
33,5,-8,2,-4,5,-1,9,0,9,6,10,7,17,-6,10,2,14,-19,13,-13,24,-8,25,-16,21,0.0017161213,-0.0023240671,-0.0023240671,1.2522230313,1.0011091533,1.9871870038
34,5,9,31,6,37,1,39,-4,36,-7,38,-5,29,5,34,-2,33,9,36,-1,38,-2,35,1,35,-0.0062732445,-0.0088459738,-0.0088459738,1.2269336334,6.533073459,-0.0252308219
