,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,1,-10,91,-11,115,-15,114,-11,108,-18,103,-9,76,-7,86,-8,80,11,70,7,84,12,77,4,97,0.0003785193,-0.0183749944,-0.0183749944,12.5817288076,-2.2607152704,-1.3477826442
1,1,18,-15,15,-19,12,-16,8,-11,5,-11,1,-7,9,-15,10,-13,17,0,7,-20,4,6,10,21,-0.00939837,0.0025492124,0.0025492124,0.4600582697,6.6691104805,0.7469385996
2,1,30,43,36,49,36,53,4,52,-4,47,-1,27,23,37,20,37,36,6,36,9,32,6,36,10,-0.0063316954,-0.0060014911,-0.0060014911,4.8700192499,-1.5913724631,-1.5233253983
3,1,-9,56,-6,55,-1,58,-33,62,-31,57,-26,54,-11,48,-24,48,-8,29,-9,28,-4,36,-7,60,0.0032124268,-0.0122783072,-0.0122783072,4.2530853219,1.1944001248,-0.6021668165
4,1,18,-34,12,-30,4,-34,2,-38,-7,-44,-4,-58,14,-40,3,-50,40,-31,26,-66,21,-44,40,-3,-0.0155859934,0.015714895,0.015714895,3.7210018984,8.3898595633,-3.7232986118
5,1,-3,39,-1,51,-2,52,3,56,-1,56,-5,46,-5,40,-1,46,13,49,11,47,33,62,19,96,-0.0051314323,-0.0061888322,-0.0061888322,9.1325757218,1.1325711948,0.7561737173
6,1,16,13,22,19,25,16,-10,18,-11,19,-6,7,11,-3,2,1,22,-2,8,-23,-5,-4,13,21,-0.0056550293,-9.79751348495483E-05,-9.79751348495483E-05,1.0659404364,4.3879356607,-0.3712635462
7,1,3,67,8,67,10,64,-14,68,-10,73,-2,69,0,42,4,46,0,53,16,58,55,43,26,91,-0.0042201346,-0.0126908422,-0.0126908422,6.2004186419,-0.9133498401,-1.1298908722
8,1,2,14,3,30,-1,29,1,33,-7,28,-7,12,-5,8,1,9,-12,-4,-6,-5,14,6,-8,7,0.0047302246,-0.0016477779,-0.0016477779,1.9135749259,-3.0123231127,1.1059568249
9,1,7,61,10,77,13,73,-10,77,-14,71,-6,48,4,40,3,39,18,30,27,37,41,18,33,65,-0.0049262224,-0.0096876994,-0.0096876994,7.3672510161,-1.6282194555,-2.228584897
10,1,-3,23,3,28,5,33,-2,39,-6,35,-5,22,-4,10,1,13,2,-7,2,-10,-1,1,0,-7,0.0078528225,-0.00351087,-0.00351087,3.6601617529,-6.9734503458,1.3874021954
