,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,4,-16,-1,-23,-8,-27,3,-1,2,0,-9,0,3,-4,22,-9,19,21,54,16,52,23,49,26,108,-0.0189002473,-0.0004493445,-0.0004493445,5.3120107282,14.4787532635,-2.5728778931
1,4,10,-30,7,-35,4,-31,12,-20,14,-21,10,-8,6,-26,8,-19,9,-11,2,-19,17,-1,8,50,-0.0118963057,0.0047027692,0.0047027692,0.5174097474,8.4750923591,1.1660604431
2,4,11,-35,9,-41,8,-35,11,-28,14,-30,11,-19,7,-36,7,-33,10,-12,0,-33,9,-7,9,35,-0.0104738921,0.0063537695,0.0063537695,-0.4181374049,7.4449039115,0.7752203478
3,4,24,-27,17,-38,7,-34,17,-44,9,-48,1,-36,15,-11,12,-19,35,-7,27,-28,21,-13,31,14,-0.0145560266,0.0069194287,0.0069194287,-1.3798531728,8.7040732672,-2.8049966234
4,4,17,23,7,21,-7,29,6,18,-1,7,-2,10,12,36,7,29,44,44,33,37,39,39,42,81,-0.0179038369,-0.0030721836,-0.0030721836,4.0639236364,10.7265531885,-3.3290952902
5,4,7,23,15,30,16,38,0,43,-6,31,-1,20,3,28,1,29,12,27,12,27,9,33,12,56,-0.0037903981,-0.0052796267,-0.0052796267,5.485850013,0.8403460061,0.2309822117
6,4,19,0,26,3,26,15,8,23,3,11,7,6,10,7,6,8,17,12,17,6,9,16,17,34,-0.0063994927,-0.0006311089,-0.0006311089,4.0829341715,1.7852012316,0.7763984206
7,4,5,-74,1,-73,-3,-71,-8,-71,-4,-69,2,-65,1,-69,-4,-68,7,-59,-9,-70,-3,-52,-3,-8,-0.0094399367,0.0244184472,0.0244184472,2.6434903488,10.0094667558,0.5722809606
8,4,24,-59,15,-64,4,-68,16,-71,9,-69,0,-58,14,-44,5,-45,28,-16,7,-50,-7,-15,13,6,-0.0192949451,0.0124583989,0.0124583989,0.6449604286,15.3142007622,-0.8070753692
9,4,5,-6,3,-7,3,-4,10,2,5,1,-5,4,0,-7,1,0,11,34,4,12,-2,39,11,96,-0.0123054085,0.001918897,0.001918897,3.2854542884,10.0146810907,0.4173045621
10,4,-12,7,-17,0,-14,-1,-13,-1,-11,-1,-13,8,-15,6,-15,5,-4,34,-17,2,-19,37,-10,84,-0.0072144637,-0.0058654025,-0.0058654025,-2.4720560486,10.1214599715,-0.5160104639
11,4,11,1,4,0,-1,-2,11,-7,11,-9,10,1,4,3,4,1,-1,14,-6,2,5,22,-5,45,-0.0074958357,-0.004912477,-0.004912477,-5.0094709583,6.6590322323,-0.5873631404
12,4,20,-31,20,-34,18,-32,21,-34,25,-33,24,-29,16,-29,23,-28,24,-3,19,-17,27,1,23,17,-0.0134134074,0.0107056648,0.0107056648,1.6614873963,5.3017688865,-0.1920502062
13,4,13,-25,-1,-19,-16,-20,8,-27,0,-36,-6,-27,-2,7,-2,-2,5,26,-5,12,7,21,2,44,-0.0127387588,0.004584685,0.004584685,-1.4520448414,11.1424498647,-2.3118536697
14,4,-8,2,-19,-1,-27,-3,-4,-6,-10,-13,-15,-7,-15,20,-9,14,0,43,-6,30,13,35,4,77,-0.0112166431,0.0022841692,0.0022841692,0.1893053736,9.8617661032,-3.1824025597
15,4,-6,6,-7,11,-11,21,-3,21,-8,13,-11,10,-5,10,-8,13,4,36,-1,41,-4,48,-3,57,-0.0043275738,-0.0004959702,-0.0004959702,8.4176620319,3.8220468612,1.5528753236
16,4,-4,16,1,14,2,16,-1,20,2,24,0,28,0,4,1,10,-3,29,-2,18,-4,36,-1,52,-0.0034967139,-0.0023870021,-0.0023870021,2.4509062268,3.0805054728,1.1164450871
17,4,10,-14,5,-29,6,-36,15,-35,13,-33,5,-21,8,-17,7,-20,16,1,15,-20,9,-5,19,19,-0.0080909457,0.0060110316,0.0060110316,-0.2933728665,3.5475431222,-1.7071423267
18,4,-11,10,-24,-5,-30,-19,-17,-29,-14,-42,-13,-28,-16,3,-14,-20,17,34,0,5,5,18,14,57,-0.0105671709,0.0031811371,0.0031811371,-2.2556829628,7.8887182096,-6.1073849396
