,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,5,0,59,3,71,5,76,7,79,10,75,7,71,0,64,2,67,-8,94,-10,94,-14,92,-6,107,0.0070026992,-0.0188868642,-0.0188868642,5.8147273924,-3.7740998859,1.2850702506
1,5,-2,55,4,65,6,71,4,70,9,66,12,67,-2,58,4,60,-19,79,-9,81,-1,76,-10,80,0.0007249247,-0.0147484392,-0.0147484392,7.8578978751,2.5396717889,0.9389710737
2,5,-8,-2,-7,-3,-1,-8,-10,-7,-4,-7,2,-2,-5,-9,-1,-10,7,20,5,9,8,19,4,11,0.0011765845,6.12623989582062E-05,6.12623989582062E-05,-0.1629022324,-0.3489199111,-0.6695228451
3,5,5,43,7,53,9,58,-18,52,-13,45,-4,37,-4,42,-5,37,-8,76,-19,56,-19,77,-25,92,0.0124140983,-0.0065246895,-0.0065246895,6.598089771,-8.4601580963,0.0336557797
4,5,8,45,5,47,0,39,-1,33,-2,36,-2,33,6,31,1,22,12,29,5,26,2,20,6,17,-0.0047006179,-0.006455794,-0.006455794,4.1918588426,2.0956868545,-2.0113097249
5,5,10,2,11,4,10,5,1,12,1,13,-5,14,9,5,-2,14,13,11,0,6,-10,15,0,4,0.0029004603,-0.0034978315,-0.0034978315,-1.5503569963,-3.8808356798,2.0749223849
6,5,-11,-19,-17,-26,-17,-32,-14,-29,-20,-29,-24,-28,-14,-15,-15,-17,5,-1,-4,-16,-14,-3,-4,-17,0.0076564196,0.003516864,0.003516864,-1.6392273107,-5.2950238584,-0.8780618403
7,5,3,37,3,41,1,36,-5,34,2,37,6,35,-3,36,0,31,-20,36,-12,39,2,29,-10,29,-0.003271336,-0.0054797903,-0.0054797903,7.2231152842,5.6166680709,-0.89824525
8,5,7,7,8,15,7,15,-7,17,-7,18,-5,12,4,2,-8,3,2,-4,-1,-6,-10,-1,-6,-8,0.0006033133,-0.0005542412,-0.0005542412,1.4049583222,-0.4325403452,0.572380656
9,5,-9,34,0,35,8,39,7,35,15,34,19,39,3,37,12,38,-18,42,2,45,15,43,-1,55,-0.002429286,-0.0084851198,-0.0084851198,4.0238652034,4.0674705609,0.2384110339
10,5,-19,-25,-18,-25,-14,-26,-10,-26,-10,-26,-14,-32,-17,-25,-12,-29,-21,-9,-12,-15,-9,-17,-14,-17,0.007215153,0.0108605772,0.0108605772,3.1959965913,-1.9048811205,-1.1663737613
11,5,-2,59,13,73,21,78,3,81,7,77,12,67,3,53,4,56,-18,62,-9,71,-8,65,-13,74,0.0024977271,-0.0124156699,-0.0124156699,7.3873029859,0.6307053292,1.0769738487
12,5,-1,13,-3,13,0,11,6,10,7,5,7,7,2,20,3,17,7,37,0,42,-9,33,-2,45,0.0035539651,-0.0010879263,-0.0010879263,6.7320977044,-2.1739166998,-1.2624204648
13,5,-1,19,-3,12,-1,7,-6,5,0,6,7,11,0,11,-1,7,-22,5,-4,9,6,10,-6,29,-0.0011381609,-0.0022767633,-0.0022767633,-0.0193987626,2.5585832763,-0.1345839231
14,5,-5,21,2,37,1,46,-8,47,3,47,15,46,-7,30,0,37,-4,39,-21,38,-14,48,-20,28,-0.0005551847,-0.0088723823,-0.0088723823,1.7502968178,5.0852038672,1.8923054086
15,5,6,19,5,22,3,18,4,14,5,14,7,15,3,19,3,17,5,46,-2,41,-3,42,-1,46,0.0039632861,-0.0031608939,-0.0031608939,1.7023198746,-3.2266683988,-0.1018167124
16,5,-5,6,-5,4,-2,-7,-3,-10,-1,-2,-7,5,-7,7,-5,7,-2,16,-6,9,-9,17,-6,14,0.0047615771,-0.0009400845,-0.0009400845,-0.7934799512,-2.9462427876,0.3703312801
17,5,-3,75,-1,70,12,57,0,49,14,45,23,56,2,44,12,38,5,55,3,56,11,52,5,51,-0.0084795635,-0.007324785,-0.007324785,9.0773295685,7.1761890379,-2.1667785319
18,5,5,-4,2,6,-1,17,-5,15,-3,11,2,7,0,11,-1,14,-11,8,-10,7,2,19,-12,-1,-0.0031094868,-0.0006959662,-0.0006959662,3.781500985,5.3356682141,1.5866975313
19,5,30,-27,29,1,13,0,20,-1,15,3,12,-6,14,-8,12,-4,-16,-20,-10,-6,-7,-10,-13,-5,0.0011877622,0.0102303512,0.0102303512,6.9240752477,-0.7288317338,2.9004163982
20,5,0,9,0,1,9,-9,-3,-8,1,4,-3,12,2,-3,0,-1,7,-8,9,-8,3,-9,6,-23,-0.0015723091,-0.0022357069,-0.0022357069,-5.2189299075,-0.2986053518,0.6203007783
21,5,7,73,2,75,5,57,1,43,6,32,16,28,7,59,11,37,27,71,20,63,24,51,27,67,-0.0064970944,-0.0117454529,-0.0117454529,5.3341305906,1.7630484489,-5.4159622585
22,5,37,25,36,32,29,33,35,28,29,25,21,23,31,25,34,24,41,47,37,40,28,49,36,42,-0.0038662665,-0.0084171332,-0.0084171332,-0.5946556805,-5.0453867952,0.0894025496
23,5,2,8,3,8,2,2,5,9,-1,15,-6,12,1,11,-2,12,10,24,1,17,-13,23,2,19,0.0056933601,-0.0050379299,-0.0050379299,-2.4010670521,-6.2232564059,0.5932742641
24,5,8,-9,20,2,26,9,-6,16,-5,32,-7,39,5,0,-1,21,-13,2,1,-4,-10,16,-11,5,0.0068817814,-0.007012248,-0.007012248,-7.4390223414,-4.2243146096,7.0667148
25,5,-7,-40,-8,-36,-11,-24,-13,-29,-17,-35,-17,-42,-7,-38,-7,-42,4,-36,0,-43,0,-39,3,-40,0.0014250716,0.0099407136,0.0099407136,-0.3182141486,-1.3077007776,-1.5550548977
26,5,1,69,2,72,3,71,-8,74,-6,80,-9,81,-5,64,-8,67,-10,65,-11,65,-10,65,-11,66,0.0030440213,-0.0196021795,-0.0196021795,-0.1945464327,-0.7103649847,1.5148645826
27,5,15,-116,14,-106,11,-109,-2,-102,-3,-98,-10,-99,2,-113,-2,-109,-1,-107,-5,-110,-9,-112,-1,-125,0.0026250314,0.0376921296,0.0376921296,1.1589006371,-2.8122653815,1.0130004548
28,5,19,42,15,48,13,48,7,49,1,50,1,40,10,46,3,44,31,69,18,55,4,64,18,56,0.0008037686,-0.0147529095,-0.0147529095,2.0649401284,-5.4534588046,-1.3394614958
29,5,1,45,10,63,8,68,0,69,0,72,2,60,0,62,1,67,-15,58,-12,68,-17,59,-16,58,0.0031980942,-0.0145301968,-0.0145301968,4.7299476668,0.5743076191,1.8542322134
30,5,0,-5,0,-5,-2,-4,2,-2,5,1,1,11,-1,-3,-5,5,-9,2,-16,5,-22,9,-19,8,0.0040582377,9.86829400062561E-06,9.86829400062561E-06,-0.2299184805,-0.8278153196,2.5831789802
31,5,3,2,1,0,-1,-8,-8,-8,-4,3,-3,8,-5,-4,-2,-2,-2,-16,-7,-21,-7,-10,-9,-17,-0.0010679262,0.0002306327,0.0002306327,-2.75915866,2.0936847636,1.4488937095
32,5,6,24,4,19,10,9,3,7,10,15,7,27,5,15,7,13,17,19,8,10,8,22,8,6,-0.0031462898,-0.0092254858,-0.0092254858,-5.0476501986,-0.2103232238,0.6679057225
33,5,9,-30,3,-35,4,-42,-3,-41,-4,-35,-12,-34,3,-32,-5,-33,19,0,-1,-29,-18,-1,-2,11,0.009195184,0.0095040128,0.0095040128,0.6780554493,-9.9226706971,-0.6767852241
