,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,2,0,29,5,31,7,30,-11,28,-5,30,2,26,5,20,1,18,19,36,15,34,9,40,17,52,-0.0092456751,-0.0054520033,-0.0054520033,5.2691894114,2.9947814641,-0.694620531
1,2,11,-29,6,-34,3,-30,5,-25,12,-21,12,-6,4,-28,5,-24,-4,2,-14,-17,-16,11,-9,30,-0.0064812331,0.0028672442,0.0028672442,0.6211183362,4.542836193,2.8822062317
2,2,17,6,11,11,5,15,21,11,16,3,11,6,19,22,20,27,42,28,40,40,53,29,44,38,-0.0129771894,-0.0011886694,-0.0011886694,6.3876977101,1.4074662169,-0.5002509401
3,2,86,7,88,-22,106,-33,82,-26,102,-16,98,2,87,-20,87,-28,96,-22,101,-30,110,-33,103,-23,-0.0235954691,0.0050298274,0.0050298274,-1.2630674712,-1.0543960852,-2.1420042092
4,2,92,-7,95,-7,99,3,94,7,93,7,92,10,93,-3,90,4,99,2,97,-1,96,6,99,14,-0.0315996914,0.0007165931,0.0007165931,3.8588544426,0.2982214152,1.931515777
5,2,28,-18,28,-24,28,-23,19,-29,18,-31,16,-27,28,-28,20,-31,31,-35,22,-38,20,-40,24,-34,-0.0073097534,0.0083117075,0.0083117075,-2.6710410135,1.2708791556,-1.8571707153
6,2,8,-34,0,-41,-7,-47,-12,-54,-12,-63,-13,-50,4,-23,-7,-33,15,3,1,-28,3,-7,12,-6,-0.0118520074,0.0085253567,0.0085253567,0.6176814524,8.0639155944,-2.1032103992
7,2,-6,13,-5,19,-6,23,-1,29,0,28,0,26,-5,13,1,17,4,26,12,32,25,34,13,43,-0.0024826992,-0.0027543679,-0.0027543679,7.1501467932,-1.5500882429,2.5096244572
8,2,6,-1,9,2,8,4,-7,7,-10,5,-10,0,2,-15,-3,-10,-1,-11,-2,-21,-15,-11,1,0,0.001461722,0.0010684915,0.0010684915,0.1976651823,1.2878065609,0.9576809262
9,2,-25,28,-23,5,-13,6,-15,14,-9,16,-8,34,-20,3,-10,7,-16,27,-4,28,30,28,3,43,0.0022424795,-0.0046235621,-0.0046235621,2.4177692326,-4.1563029873,-0.4366163212
