,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,2,13,20,16,31,10,33,-6,33,-5,28,0,27,1,24,-3,20,-9,40,-14,38,-13,37,-17,51,0.0083929962,-0.0062918253,-0.0062918253,4.7308222354,-4.1545608987,0.4268684529
1,2,-14,-4,-13,-16,-5,-26,-3,-35,-7,-34,-8,-29,-4,-23,-4,-28,14,6,13,-20,3,-3,4,21,0.0056338571,0.0036509745,0.0036509745,1.2405756776,-3.6576758404,-3.3306417054
2,2,-9,4,-13,1,-23,15,-5,16,-9,8,-15,13,-23,26,-17,24,-55,29,-43,43,-38,26,-46,34,0.0115767764,-0.0015595593,-0.0015595593,5.6064015137,-0.1654481454,1.0629753107
3,2,-69,-10,-56,-51,-26,-85,-56,-74,-88,-48,-150,-29,-64,-30,-93,-21,-96,-29,-39,-36,-99,-27,-62,-32,0.043471816,0.0060945489,0.0060945489,-3.0614003459,-26.4163981981,-0.4245031236
4,2,-90,18,-96,8,-94,1,-92,-2,-91,-5,-88,1,-94,4,-95,0,-96,4,-97,-1,-99,3,-99,13,0.0310859825,0.001034867,0.001034867,3.6170855193,-0.2364021365,-1.5143602323
5,2,-15,-35,-16,-31,-22,-27,-26,-28,-30,-27,-32,-30,-19,-33,-28,-29,-20,-39,-22,-39,-25,-33,-26,-33,0.0089626834,0.01074953,0.01074953,-0.4538525077,-2.0710517588,1.06659768
6,2,30,-48,27,-45,15,-48,9,-41,2,-38,-5,-30,10,-34,0,-24,-6,-8,-5,-25,-21,-1,-18,0,0.0129444785,0.0094829202,0.0094829202,1.9989628362,-9.0980378164,2.5316298364
7,2,12,27,7,26,6,24,4,19,11,22,11,27,4,18,7,12,-16,34,-15,34,-2,32,-15,42,0.0027197916,-0.003433086,-0.003433086,5.025858781,0.6133687678,-0.1287869885
8,2,11,2,9,7,6,7,-16,6,-9,4,-2,1,5,-12,-4,-15,6,-8,1,-21,0,-6,-3,2,-0.0011407267,0.0016279295,0.0016279295,0.5845601789,-0.4799768461,-0.3999882937
9,2,13,10,16,8,19,9,14,8,22,11,28,14,10,10,24,10,-27,28,6,29,21,30,1,45,-0.0006358549,-0.0038987435,-0.0038987435,1.6479838377,2.5758754048,1.3708604709
