,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,3,-1,30,2,32,-1,36,0,34,2,29,3,33,-2,31,-1,28,-16,12,-14,25,-17,17,-16,24,-0.000790488,-0.0073934793,-0.0073934793,3.5027673375,3.7476032774,0.5732391308
1,3,6,4,3,1,2,4,7,-4,4,-1,1,3,7,-1,5,0,-42,-38,-11,-25,2,-39,-14,7,-0.0021489467,0.0035483316,0.0035483316,2.324445323,3.1025626098,0.7336467399
2,3,-1,2,0,2,0,3,-2,0,-3,2,-3,1,-1,5,-1,3,-26,-15,-3,1,4,-18,-3,-5,-0.0018289834,0.0005213097,0.0005213097,0.1779698999,1.8299539507,-0.2182786224
3,3,3,-72,3,-48,-18,-17,-24,7,-22,34,-30,53,-23,-29,-27,30,-129,-104,-89,-69,-77,-22,-116,-19,0.0178362112,0.0077967048,0.0077967048,-13.1549490661,7.7094861124,22.5752959252
4,3,-8,30,-11,25,-12,26,-8,18,-4,8,4,10,-9,22,-4,14,-69,-18,-21,-12,-2,-34,-22,8,-0.0057326946,0.0032261536,0.0032261536,7.7976864304,10.2845631342,-2.0799621825
5,3,2,2,1,-2,3,-6,7,-8,4,-9,4,-7,4,-1,4,-3,-34,-36,-5,-17,1,-31,-6,-12,-0.0047338158,0.0040852949,0.0040852949,2.4560325901,4.7498594646,-0.3075360442
6,3,-7,-32,-8,-33,-9,-35,-10,-37,-13,-37,-14,-37,-7,-37,-12,-39,-31,-57,-15,-47,-10,-55,-15,-46,0.0010013171,0.013965968,0.013965968,1.406850662,1.9449478537,-0.3220452739
7,3,1,4,1,3,0,3,3,-2,4,-1,3,5,0,0,3,0,-36,-22,-2,-17,14,-37,-4,11,-0.0035179183,0.0013626702,0.0013626702,0.3660206941,3.8638868968,0.1881981811
8,3,0,0,0,6,-3,10,-10,7,-6,4,-1,4,-3,6,-5,6,-30,-20,-14,-9,-9,-19,-18,-15,-0.0016753636,0.0013770349,0.0013770349,0.6658886409,3.3145720065,1.1314596197
9,3,11,7,3,17,-4,16,-6,13,-3,9,1,11,-5,14,-1,11,-70,-17,-24,-5,-12,-22,-29,37,0.0029199924,0.001936201,0.001936201,5.50673826,3.5126705563,0.7252468667
10,3,-11,14,-15,13,-15,11,-12,8,-7,6,-4,8,-14,11,-7,9,-45,-14,-19,0,-10,-11,-20,-11,-0.0009904467,-0.0022557452,-0.0022557452,0.6991179235,4.9240220472,-0.1646234438
11,3,0,-62,4,-82,9,-75,-1,-82,2,-83,0,-65,6,-68,14,-66,-26,-100,23,-106,35,-103,19,-65,-0.0056270175,0.0196594968,0.0196594968,-5.2481264399,2.2386755803,0.471723919
12,3,14,-6,15,9,9,17,8,19,6,20,9,19,5,5,8,13,-69,-38,-11,-21,9,-41,-14,14,-0.0039487854,-0.0005305335,-0.0005305335,0.9586660377,6.0045957455,3.6548918897
13,3,6,20,6,22,4,20,8,18,9,18,9,13,5,16,9,14,-23,12,-10,26,-3,13,-12,19,6.43655657768249E-05,-0.0029116534,-0.0029116534,4.3580205937,1.9740738783,-0.5204361837
14,3,14,9,11,15,7,14,8,7,7,11,8,13,4,14,7,11,-64,-25,-17,2,3,-23,-16,7,-0.0032113865,0.0013833195,0.0013833195,4.6355245953,5.500786926,1.2451216393
15,3,-18,8,-17,8,-12,9,-11,5,-6,5,-6,7,-15,4,-8,2,-63,-21,-35,-4,-20,-14,-40,12,0.0034720339,0.0013730004,0.0013730004,2.3489478256,4.0966998983,0.6904422133
16,3,-1,-3,1,-9,2,-7,-1,-6,11,-4,12,21,4,-12,1,-5,-26,-31,-12,-20,-8,-22,-11,-20,-0.0045533367,0.0010949597,0.0010949597,-3.4062137518,4.2619178627,3.9084732377
17,3,53,44,42,44,32,40,8,26,18,23,22,42,38,18,17,11,-18,-20,1,3,9,-13,1,0,-0.0105997529,-0.0051053092,-0.0051053092,4.0819499571,1.2692902033,0.5696179121
18,3,-13,16,-10,30,-17,31,-10,22,-12,30,-9,25,-16,22,-7,18,-77,-10,-23,7,-8,-13,-23,50,0.0061166659,-0.0017358884,-0.0017358884,3.6227261363,3.1593478651,0.8365289193
19,3,3,28,4,10,11,8,-6,13,-3,17,-3,18,6,13,-4,12,-23,1,-6,1,-2,-8,-2,8,-0.0024590157,-0.0042800084,-0.0042800084,0.7092341084,1.1659059569,-0.6636800522
20,3,-2,-12,1,-13,3,-14,-3,-16,-4,-15,-6,-16,1,-15,1,-14,-3,-19,4,-17,-6,-14,6,-18,-0.0023482982,0.0032410622,0.0032410622,-1.1155890697,0.2598328392,-0.5907494643
21,3,8,4,7,11,0,18,4,23,4,26,2,29,1,9,-3,22,-34,-7,-20,17,-14,7,-28,6,0.0005955361,-0.0032435358,-0.0032435358,1.1717769073,2.9621065111,5.0039264737
22,3,-6,4,-4,1,0,1,-10,-3,-8,-4,-7,4,-5,-4,-3,-4,-51,-40,-21,-29,-7,-43,-19,-16,-0.0029956978,0.0038250759,0.0038250759,0.4979693133,4.772966775,0.7635637183
23,3,20,-7,15,-4,11,-5,16,-4,13,0,13,-3,11,-6,14,-3,-14,-25,7,-14,11,-24,4,-14,-0.0070477612,0.0040900558,0.0040900558,0.9356832544,3.389339564,1.0790679491
24,3,2,12,7,7,12,8,11,8,14,9,13,14,8,15,14,14,-22,-19,4,-1,9,-24,7,-4,-0.0091479532,-0.0013474226,-0.0013474226,0.6016516087,5.2263060254,0.5408635699
25,3,12,7,11,12,9,17,7,14,7,10,8,8,7,8,6,7,-22,-10,-8,2,-5,-9,-8,2,-0.0020557977,0.0017174967,0.0017174967,4.1220920229,2.1782577384,0.1922175592
26,3,10,1,9,3,7,6,6,7,6,6,3,11,8,2,2,7,-42,-29,-4,-11,15,-23,-6,10,-0.0032465272,-0.0002865493,-0.0002865493,0.7214770267,3.3409364313,2.2205816067
27,3,-15,15,-16,22,-19,19,-16,17,-9,16,-2,16,-23,14,-12,13,-36,8,-35,10,-26,12,-35,17,0.0057257675,-0.000748992,-0.000748992,4.9186058162,3.7236083127,0.2821531837
28,3,-13,16,-13,17,-12,22,-15,19,-11,19,-7,19,-10,15,-12,16,-85,-32,-43,-2,-33,-29,-47,16,0.0041060541,0.0018026456,0.0018026456,6.0681712901,6.1073446196,1.2763158757
29,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,3,-2,3,-2,3,-1,4,-5,2,2,1,7,3,-1,3,-1,3,-29,-18,-7,-19,-4,-23,-8,2,-0.0026357044,0.0021562558,0.0021562558,0.870882135,4.2857911374,0.5269303762
32,3,-4,3,1,2,3,8,0,8,2,8,5,8,1,2,2,5,-22,-15,-7,0,6,-11,-7,1,-0.0028483942,-0.0003370121,-0.0003370121,0.0797467415,3.8944688971,1.1496884413
33,3,-1,1,0,3,1,5,1,3,3,1,6,5,1,0,4,0,-21,-6,-8,-4,-3,-7,-10,21,2.14241445064527E-05,0.0006164536,0.0006164536,0.891186056,1.660429862,0.6938757512
34,3,10,-3,7,-2,4,-3,4,-6,6,0,6,3,8,-1,13,-1,-44,-44,-8,-18,14,-43,-5,4,-0.0049048355,0.0029653609,0.0029653609,0.0790232579,4.4280082654,0.9483644557
35,3,-6,12,-7,11,-4,7,-2,4,1,6,3,7,-4,6,0,4,-36,-22,-11,-3,0,-24,-11,-9,-0.0040676091,0.0025864895,0.0025864895,2.7208448443,6.6718624883,0.0396786587
36,3,-3,-4,-2,3,-4,6,-4,2,-3,4,-7,5,-4,-2,-7,1,-35,-19,-6,-13,-4,-24,-7,11,0.0015994664,0.0007150732,0.0007150732,0.0514527164,0.7298521637,0.9528703383
37,3,10,-27,10,-25,3,-27,3,-28,-4,-20,-10,-19,10,-29,2,-24,-26,-58,11,-57,22,-52,9,-33,-0.0029564979,0.0060250238,0.0060250238,-4.2747060373,-0.072493286,1.8394852151
38,3,7,7,5,6,3,0,2,-3,-1,1,-1,-2,4,1,4,1,-45,-36,3,-19,23,-41,3,-6,-0.0083678849,0.0018239226,0.0018239226,-1.452317708,6.0101070483,-0.5374939962
39,3,3,-8,0,-4,-5,-5,12,-7,16,-6,17,0,1,2,14,0,-40,-26,-11,-18,7,-18,-9,8,-0.0045783743,0.0020505078,0.0020505078,-0.1512359703,6.0619952086,1.4480275554
40,3,13,36,11,52,3,53,16,50,18,49,20,40,7,49,16,44,-17,40,-12,59,-5,41,-11,56,-0.001184307,-0.0087824278,-0.0087824278,6.1323760437,2.942050631,-0.0361911289
41,3,22,30,5,13,2,9,-8,-9,1,-22,6,1,10,28,4,16,-33,6,-17,7,2,-4,-18,32,-0.0007663164,-0.0018900521,-0.0018900521,4.9881828975,1.2054445491,-2.3915559208
42,3,1,4,-3,9,-6,12,-3,12,2,13,8,7,-3,7,-1,8,-51,-16,-24,1,-6,-8,-28,21,0.0003308151,0.0007859468,0.0007859468,3.5109207569,5.5721379278,1.1916126882
43,3,-7,25,-4,24,-4,27,-3,28,6,28,11,31,-5,19,-1,21,-45,-15,-38,7,-15,-6,-44,-3,-0.001494322,-0.0029633567,-0.0029633567,2.5707601016,6.4086034126,2.1452151355
44,3,9,-1,7,3,7,0,7,0,6,-1,7,-4,8,4,11,2,-6,-16,10,-4,19,-20,12,-4,-0.006422095,-0.0002868846,-0.0002868846,-0.0390706819,2.4993566789,-0.5541413667
45,3,0,5,-2,7,-1,8,0,5,6,7,4,10,-2,4,1,1,-47,-9,-28,0,-15,-8,-26,-2,-0.0002971068,0.0003040954,0.0003040954,1.7845032375,4.9085960198,1.3173515312
46,3,-2,2,-4,0,-3,-2,-3,-6,-5,-3,-9,-1,-1,-5,-3,-6,-30,-23,-6,-26,-3,-26,-7,0,-0.0006147064,0.0030475408,0.0030475408,0.9045884411,1.4773438871,-0.2097139978
47,3,8,16,1,16,-2,13,0,9,6,13,5,27,1,8,3,8,-45,-15,-10,-5,0,-12,-13,16,-0.0022959635,-0.0032820031,-0.0032820031,-1.4541198162,3.3563323964,2.2156401282
48,3,36,1,35,8,28,11,17,13,19,13,28,13,25,7,25,9,-47,-24,-1,-4,16,-21,-1,21,-0.0076982863,0.0013078153,0.0013078153,2.7615376587,4.4141522457,2.158003836
49,3,-15,-7,-23,-18,-19,-29,1,-44,-3,-38,-10,-29,-13,-25,-7,-33,-50,-53,1,-67,17,-78,2,-28,-0.0048967972,0.0100312233,0.0100312233,-0.637229248,5.2268965973,-3.4365673673
50,3,-3,2,-1,3,1,5,3,2,4,2,6,2,1,1,4,2,-44,-42,-14,-13,-7,-39,-12,-20,-0.0064596236,0.000480175,0.000480175,1.3972311277,7.3949449855,0.3653672024
51,3,-12,-2,-10,-5,-11,2,-15,-2,-9,-5,-7,5,-10,-5,-12,-6,-72,-41,-37,-25,-25,-35,-43,-6,0.0027354397,0.0045050308,0.0045050308,2.3194566073,4.8185530766,2.0497445229
52,3,0,0,-2,1,-5,5,-1,3,0,5,1,8,-3,5,1,8,-38,-18,-10,-14,0,-14,-14,11,-0.0021889061,-0.0001953579,-0.0001953579,-0.7624243593,4.7674463003,2.1912467917
53,3,-7,3,0,2,2,4,1,2,3,7,0,10,2,8,2,9,-65,-29,-16,-22,2,-32,-17,8,-0.0036383066,0.0011953767,0.0011953767,-0.8480982811,5.9899661893,1.9736548852
54,3,-29,-2,-24,1,-27,5,-28,-3,-28,-1,-32,4,-28,-3,-27,-3,-58,-32,-24,-24,-11,-39,-20,-16,-0.0002514496,-0.001045309,-0.001045309,-2.4428796988,4.4032851839,-0.0224683148
55,3,9,-14,7,-11,4,-5,7,-5,12,-6,15,-3,6,-7,6,-5,-42,-42,-16,-24,-1,-24,-20,-13,-0.0035684183,0.0029473156,0.0029473156,0.677104016,4.8669819625,2.806446266
56,3,30,6,38,19,38,33,38,33,43,33,45,30,32,10,33,19,-34,-14,-12,17,-8,11,-19,19,-0.0045249686,0.0015201345,0.0015201345,6.2733331225,4.8829527379,4.5718841116
57,3,26,3,27,7,22,10,21,9,16,9,14,4,24,6,18,5,1,-15,10,1,19,-11,14,-2,-0.0078894198,-0.0014770925,-0.0014770925,1.0396534353,0.740509166,0.2866848947
58,3,19,-4,10,5,1,8,0,8,-1,12,-1,2,8,6,2,11,-21,-12,-3,3,-2,9,-7,21,0.0009384938,-0.0018550833,-0.0018550833,-1.2287398049,-1.0444459869,2.106350838
59,3,19,69,18,78,11,83,16,83,15,86,13,84,17,78,10,89,-20,48,-2,74,-9,80,-9,64,-0.0034482256,-0.0218425952,-0.0218425952,-2.7571495873,1.4823515187,5.4165064071
