,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,0,56.0,112.0,107.0,101.0,151.0,103.0,167.0,105.0,169.0,95.0,159.0,94.0,107.0,94.0,161.0,88.0,149.0,110.0,197.0,116.0,165.0,105.0,194.0,113.0,-0.02346394560299814,-0.020269297063350684,-0.020269297063350684,13.073322194691286,-39.07198933020594,-4.964734624256642
1,0,68.0,72.0,129.0,45.0,195.0,50.0,210.0,55.0,204.0,50.0,184.0,45.0,138.0,39.0,200.0,41.0,133.0,83.0,206.0,76.0,172.0,74.0,195.0,71.0,-0.01134689804166555,-0.010924920439720171,-0.010924920439720171,2.3948185824513715,-46.07055079261154,-4.537127976639707
2,0,87.0,91.0,145.0,78.0,198.0,76.0,210.0,90.0,197.0,86.0,181.0,71.0,150.0,66.0,193.0,74.0,153.0,84.0,230.0,89.0,194.0,81.0,217.0,86.0,-0.017898920457810163,-0.017894368618726723,-0.017894368618726723,6.986713370899618,-45.64128357137096,-2.6046442698408314
3,0,157.0,103.0,217.0,54.0,295.0,37.0,297.0,44.0,303.0,48.0,281.0,59.0,222.0,36.0,284.0,28.0,227.0,42.0,317.0,43.0,285.0,23.0,304.0,39.0,-0.02297115977853537,-0.011060636490583413,-0.011060636490583413,0.008729450497051872,-59.363214208514975,-6.387525333922639
4,0,78.0,90.0,128.0,64.0,182.0,69.0,207.0,78.0,200.0,75.0,185.0,82.0,136.0,66.0,184.0,77.0,150.0,85.0,206.0,91.0,187.0,85.0,200.0,79.0,-0.02891276916489005,-0.011206958442926414,-0.011206958442926414,13.887330997729151,-34.38878817477616,-1.8332328927740853
5,0,89.0,77.0,149.0,71.0,200.0,75.0,205.0,83.0,193.0,82.0,178.0,62.0,149.0,52.0,195.0,59.0,169.0,73.0,229.0,82.0,215.0,72.0,226.0,79.0,-0.033642805821727954,-0.005844719707965851,-0.005844719707965851,19.813065911910016,-35.43059813875244,-0.4429084153422361
6,0,121.0,107.0,186.0,97.0,244.0,113.0,235.0,115.0,228.0,99.0,217.0,75.0,181.0,75.0,242.0,73.0,188.0,93.0,245.0,99.0,215.0,92.0,240.0,96.0,-0.03649843577295542,-0.0168563574552536,-0.0168563574552536,6.725357291820611,-35.91927686168443,-5.262618869035675
7,0,68.0,149.0,131.0,130.0,197.0,138.0,222.0,150.0,216.0,133.0,209.0,111.0,144.0,112.0,219.0,115.0,157.0,153.0,251.0,169.0,235.0,147.0,237.0,155.0,-0.0256667152279988,-0.02370821312069893,-0.02370821312069893,18.883718787485567,-46.1316546373789,-2.5891430175814962
8,0,71.0,103.0,129.0,81.0,190.0,95.0,219.0,106.0,212.0,87.0,201.0,70.0,140.0,65.0,219.0,71.0,148.0,77.0,246.0,69.0,234.0,74.0,233.0,113.0,-0.02643108228221536,-0.011626943945884713,-0.011626943945884713,15.544249274143072,-44.08083462650375,-2.056744670597875
9,0,93.0,83.0,146.0,52.0,203.0,54.0,211.0,65.0,199.0,58.0,184.0,56.0,150.0,46.0,210.0,52.0,165.0,44.0,239.0,30.0,210.0,33.0,231.0,44.0,-0.02269403229001909,-0.015618290752172468,-0.015618290752172468,-0.5104273860083872,-43.842737072167,-3.6886964317097943
