,Unnamed: 0.1,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,0,-126.0,60.0,-151.0,54.0,-164.0,58.0,-152.0,48.0,-103.0,46.0,-54.0,74.0,-148.0,60.0,-108.0,49.0,-158.0,83.0,-193.0,82.0,-126.0,86.0,-192.0,94.0,0.007441678084433081,-0.018929149955511086,-0.018929149955511086,2.348706197724802,54.000461658619535,4.002419413455683
1,0,-186.0,27.0,-212.0,8.0,-213.0,4.0,-191.0,-13.0,-127.0,-19.0,-67.0,23.0,-196.0,5.0,-134.0,-7.0,-165.0,48.0,-199.0,23.0,-126.0,50.0,-186.0,72.0,0.004148428328335289,-0.0060205236077308655,-0.0060205236077308655,-3.662776379125403,52.05884362888411,1.7460709491773914
2,0,-180.0,34.0,-209.0,27.0,-232.0,48.0,-193.0,45.0,-141.0,29.0,-85.0,63.0,-197.0,54.0,-152.0,53.0,-209.0,64.0,-234.0,82.0,-148.0,64.0,-225.0,75.0,0.013979827985167502,-0.013007882982492431,-0.013007882982492431,5.736663850255537,51.331201820415494,3.070726835811876
3,0,-254.0,31.0,-260.0,-27.0,-234.0,-56.0,-239.0,-52.0,-202.0,-19.0,-204.0,54.0,-261.0,-4.0,-228.0,11.0,-287.0,12.0,-263.0,6.0,-232.0,29.0,-271.0,13.0,0.044649997726082816,-0.00915028154850006,-0.00915028154850006,-9.366768010365037,31.363219225203608,5.0768143695448975
4,0,-173.0,37.0,-191.0,33.0,-200.0,32.0,-179.0,19.0,-131.0,5.0,-76.0,31.0,-181.0,36.0,-134.0,25.0,-195.0,38.0,-212.0,35.0,-155.0,43.0,-212.0,53.0,0.02869264164473861,-0.003376144915819168,-0.003376144915819168,8.505805884441692,34.910194242688945,2.2284525120714718
5,0,-175.0,-3.0,-196.0,-4.0,-208.0,-2.0,-185.0,-7.0,-140.0,-2.0,-96.0,25.0,-194.0,-4.0,-151.0,0.0,-218.0,0.0,-231.0,2.0,-177.0,12.0,-231.0,4.0,0.038714719004929066,0.0026365742087364336,0.0026365742087364336,5.887199743549999,32.8689265312064,2.273539746790465
6,0,-215.0,-25.0,-251.0,-39.0,-273.0,-37.0,-219.0,-36.0,-174.0,-36.0,-132.0,5.0,-244.0,-7.0,-186.0,-3.0,-233.0,37.0,-259.0,19.0,-191.0,43.0,-257.0,47.0,0.034856345504522324,-0.005505118519067764,-0.005505118519067764,-8.849133869194748,40.84081004291478,5.2834226194725655
7,0,-191.0,64.0,-211.0,53.0,-217.0,58.0,-192.0,45.0,-124.0,44.0,-73.0,91.0,-215.0,52.0,-142.0,44.0,-229.0,78.0,-242.0,80.0,-138.0,80.0,-229.0,91.0,0.02446616266388446,-0.012893635779619215,-0.012893635779619215,8.601451952321433,44.43685591990058,1.7907644694884517
8,0,-184.0,28.0,-203.0,30.0,-216.0,35.0,-207.0,24.0,-147.0,25.0,-89.0,57.0,-209.0,14.0,-152.0,10.0,-214.0,34.0,-241.0,23.0,-169.0,45.0,-237.0,49.0,0.01883641979657114,-0.010085880756378174,-0.010085880756378174,-1.976278916638836,48.91688473681267,4.650141994515106
9,0,-180.0,33.0,-201.0,34.0,-210.0,42.0,-181.0,27.0,-118.0,14.0,-60.0,47.0,-201.0,38.0,-136.0,29.0,-248.0,74.0,-245.0,73.0,-144.0,76.0,-249.0,95.0,0.026091861538589008,-0.01547770574688911,-0.01547770574688911,-2.3467038036979506,47.15198955562679,3.238018094136905
10,0,-193.0,-108.0,-213.0,-115.0,-227.0,-101.0,-186.0,-97.0,-141.0,-94.0,-94.0,-57.0,-208.0,-87.0,-155.0,-78.0,-249.0,-69.0,-237.0,-58.0,-145.0,-44.0,-234.0,-30.0,0.02621536236256361,0.023732192814350128,0.023732192814350128,-3.8010601084223996,44.68052797652845,5.8023974361065624
11,0,-204.0,-27.0,-237.0,-36.0,-249.0,-42.0,-188.0,-54.0,-128.0,-55.0,-74.0,-26.0,-225.0,-23.0,-149.0,-38.0,-254.0,0.0,-259.0,11.0,-166.0,-7.0,-256.0,-5.0,0.039277659612707794,0.01559275016188621,0.01559275016188621,10.8483618405837,37.10406485299652,-0.7045364550224816
12,0,-175.0,-16.0,-201.0,-22.0,-210.0,-19.0,-181.0,-30.0,-129.0,-36.0,-73.0,-8.0,-190.0,-24.0,-139.0,-34.0,-202.0,-3.0,-208.0,-8.0,-116.0,-13.0,-191.0,1.0,0.01835251739248633,0.006837397813797011,0.006837397813797011,-1.9953583812336744,42.736806413215426,0.6040108578360304
13,0,-287.0,-48.0,-301.0,-39.0,-311.0,-32.0,-254.0,-37.0,-182.0,-35.0,-119.0,4.0,-298.0,-35.0,-214.0,-32.0,-341.0,-1.0,-361.0,3.0,-250.0,25.0,-358.0,19.0,0.04789369064383209,0.008473038673400879,0.008473038673400879,2.5290943452498857,46.736097354884684,5.317234856900298
14,0,-268.0,-19.0,-286.0,-42.0,-282.0,-37.0,-249.0,-51.0,-166.0,-52.0,-102.0,11.0,-266.0,-43.0,-187.0,-50.0,-260.0,7.0,-292.0,-10.0,-197.0,16.0,-279.0,43.0,0.029479811433702707,0.006231535226106637,0.006231535226106637,-0.641565328717014,50.02651864467421,2.8200128658777515
15,0,-256.0,3.0,-279.0,-2.0,-281.0,-11.0,-232.0,-24.0,-171.0,-28.0,-117.0,4.0,-266.0,0.0,-179.0,-4.0,-231.0,26.0,-246.0,27.0,-156.0,30.0,-229.0,58.0,0.033157660625875,-0.0036655478179454734,-0.0036655478179454734,-5.364012594575242,34.21506340592042,2.108301357900229
16,0,-258.0,20.0,-279.0,12.0,-283.0,14.0,-258.0,-6.0,-196.0,-19.0,-130.0,11.0,-270.0,-4.0,-197.0,-16.0,-268.0,24.0,-292.0,20.0,-211.0,22.0,-283.0,19.0,0.044826138764619834,0.009151741862297058,0.009151741862297058,9.712054718554713,39.28937489784364,1.5086787428242574
17,0,-217.0,-5.0,-230.0,7.0,-243.0,15.0,-223.0,17.0,-191.0,11.0,-147.0,12.0,-234.0,9.0,-189.0,16.0,-252.0,-13.0,-245.0,9.0,-166.0,5.0,-244.0,30.0,0.05052465028711594,0.009109329432249076,0.009109329432249076,11.101131482423982,32.76176539257973,3.8090706045674265
18,0,-185.0,-92.0,-208.0,-96.0,-218.0,-104.0,-169.0,-108.0,-127.0,-104.0,-84.0,-80.0,-205.0,-83.0,-141.0,-85.0,-214.0,-81.0,-207.0,-73.0,-122.0,-69.0,-206.0,-48.0,0.02689947921317071,0.026105565018951886,0.026105565018951886,1.92917566345134,37.98012615096669,2.4983192830601317
19,0,-268.0,-32.0,-277.0,-30.0,-284.0,1.0,-235.0,8.0,-181.0,-6.0,-122.0,18.0,-266.0,3.0,-189.0,14.0,-264.0,37.0,-268.0,34.0,-199.0,49.0,-263.0,67.0,0.051518633030354984,-0.00018913298845291832,-0.00018913298845291832,2.0973877040080677,35.23542177780972,5.446394114668962
