,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,3,32.0,81.0,56.0,78.0,77.0,77.0,84.0,79.0,86.0,76.0,86.0,72.0,55.0,72.0,88.0,70.0,63.0,54.0,105.0,66.0,101.0,52.0,102.0,67.0,-0.010781315155327324,-0.01686052232980728,-0.01686052232980728,8.987003424882504,-23.503886684771828,-1.2944288861037745
1,3,12.0,63.0,36.0,42.0,65.0,42.0,94.0,47.0,88.0,43.0,76.0,40.0,43.0,45.0,84.0,44.0,24.0,9.0,91.0,27.0,115.0,3.0,86.0,60.0,-0.0006038770079612697,-0.010573111474514016,-0.010573111474514016,-0.012260568966563136,-24.159446624329767,-3.6510273703476077
2,3,51.0,64.0,74.0,46.0,102.0,41.0,122.0,47.0,117.0,47.0,110.0,43.0,82.0,44.0,110.0,47.0,67.0,29.0,124.0,48.0,134.0,27.0,114.0,43.0,-0.015019029378890991,-0.015697222203016274,-0.015697222203016274,-2.5509335717164285,-20.118077307514785,-1.9718104889061647
3,3,132.0,124.0,133.0,87.0,161.0,38.0,179.0,22.0,158.0,0.0,151.0,-23.0,152.0,72.0,176.0,16.0,212.0,22.0,270.0,-22.0,297.0,-62.0,294.0,24.0,-0.053841158747673035,-0.009541604667901993,-0.009541604667901993,-10.254360229444963,-26.64935868229957,-22.30391586204684
4,3,19.0,63.0,45.0,46.0,73.0,45.0,93.0,51.0,91.0,63.0,82.0,66.0,54.0,57.0,81.0,67.0,45.0,18.0,105.0,34.0,140.0,24.0,102.0,65.0,-0.007179116830229757,-0.010974105447530752,-0.010974105447530752,6.490486781618422,-23.887029981160964,-1.0520588535673685
5,3,61.0,50.0,83.0,38.0,102.0,39.0,127.0,41.0,119.0,45.0,109.0,45.0,84.0,39.0,116.0,43.0,82.0,7.0,138.0,27.0,167.0,4.0,136.0,32.0,-0.01952134259045124,-0.012831754982471466,-0.012831754982471466,1.3801492567130325,-22.455560036508857,-0.28762729841719503
6,3,75.0,24.0,97.0,10.0,118.0,8.0,132.0,11.0,123.0,12.0,112.0,13.0,98.0,5.0,120.0,8.0,103.0,-14.0,142.0,-3.0,154.0,-17.0,138.0,-2.0,-0.024270409718155854,-0.003936968743801117,-0.003936968743801117,-0.2429966707269262,-18.812997510286863,-0.3246415534162104
7,3,60.0,62.0,90.0,42.0,119.0,43.0,144.0,46.0,140.0,45.0,131.0,47.0,92.0,44.0,139.0,44.0,82.0,23.0,138.0,37.0,153.0,30.0,132.0,73.0,-0.01852421462535858,-0.01567868888378143,-0.01567868888378143,-4.8841955043177645,-22.433122552464447,-3.553182433048052
8,3,43.0,63.0,65.0,44.0,89.0,46.0,120.0,51.0,115.0,49.0,108.0,48.0,73.0,50.0,115.0,53.0,76.0,31.0,125.0,40.0,134.0,25.0,119.0,36.0,-0.013391320593655108,-0.014621023088693619,-0.014621023088693619,-1.3823657810640924,-21.335538856576935,-2.68358928932472
9,3,30.0,74.0,59.0,55.0,91.0,56.0,114.0,64.0,114.0,63.0,107.0,57.0,67.0,61.0,111.0,65.0,72.0,30.0,131.0,48.0,174.0,31.0,131.0,91.0,-0.014471936970949171,-0.015348114073276513,-0.015348114073276513,2.3523430656894657,-26.998823749927247,-2.6318087756646
