,Unnamed: 0.1,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,0,16.0,62.0,15.0,75.0,10.0,75.0,-2.0,70.0,-7.0,67.0,-7.0,53.0,12.0,62.0,2.0,55.0,44.0,62.0,24.0,67.0,7.0,61.0,27.0,65.0,-0.01174724474549294,-0.015612687915563597,-0.015612687915563597,5.928501574475717,5.639623164901153,-1.8423470539015696
1,0,0.0,23.0,-5.0,27.0,-4.0,25.0,-10.0,26.0,-6.0,25.0,-3.0,19.0,3.0,10.0,-1.0,11.0,17.0,39.0,8.0,29.0,-7.0,34.0,17.0,23.0,-0.005941430106759068,-0.002588935196399696,-0.002588935196399696,3.3149227889064594,3.010086430777875,-0.6105423736895172
2,0,10.0,40.0,11.0,53.0,6.0,56.0,-4.0,62.0,-6.0,58.0,1.0,41.0,6.0,39.0,8.0,45.0,21.0,38.0,18.0,45.0,14.0,42.0,22.0,40.0,-0.00479613617062569,-0.00814327970147133,-0.00814327970147133,6.0890924847784875,0.8084588928576579,0.5744631331700382
3,0,101.0,44.0,105.0,29.0,120.0,16.0,96.0,15.0,106.0,23.0,104.0,24.0,100.0,8.0,102.0,1.0,116.0,-5.0,123.0,-3.0,119.0,-15.0,126.0,-6.0,-0.026938357390463352,-0.0006319098174571991,-0.0006319098174571991,-0.2178795275498091,-1.291347813742128,-3.3309746745368907
4,0,3.0,41.0,8.0,50.0,12.0,57.0,-1.0,60.0,-10.0,49.0,-7.0,40.0,5.0,40.0,-5.0,47.0,15.0,48.0,7.0,51.0,0.0,51.0,4.0,39.0,-0.001013875007629391,-0.012725267559289946,-0.012725267559289946,3.6769836271614103,0.5759047857702697,1.1080520593786407
5,0,14.0,38.0,21.0,45.0,23.0,52.0,-2.0,55.0,-7.0,55.0,-4.0,41.0,18.0,21.0,10.0,29.0,23.0,24.0,21.0,35.0,19.0,33.0,21.0,33.0,-0.004300726577639566,-0.008028589189052582,-0.008028589189052582,7.3119755422283665,0.9497074815710178,1.8774666185755915
6,0,-4.0,62.0,0.0,85.0,-4.0,85.0,-42.0,83.0,-42.0,68.0,-23.0,38.0,-5.0,49.0,-12.0,47.0,34.0,65.0,11.0,47.0,0.0,51.0,21.0,41.0,-0.005401875823736191,-0.008550848811864853,-0.008550848811864853,8.305092717136187,4.213623870007041,-2.0144836627948344
7,0,-9.0,94.0,-9.0,103.0,-4.0,106.0,-9.0,112.0,-9.0,99.0,0.0,79.0,2.0,80.0,0.0,83.0,34.0,96.0,37.0,111.0,42.0,95.0,39.0,101.0,-0.0065618958324193954,-0.020010601729154587,-0.020010601729154587,9.878848826300736,-2.24848759927788,-1.187454934245176
8,0,-3.0,38.0,-3.0,56.0,-4.0,59.0,-1.0,66.0,-5.0,54.0,-2.0,32.0,-6.0,32.0,2.0,35.0,11.0,23.0,18.0,21.0,24.0,29.0,19.0,57.0,-0.001199798658490181,-0.0072675421833992,-0.0072675421833992,6.048066391925143,-2.3156459843688357,0.5173408807986261
9,0,14.0,25.0,16.0,33.0,15.0,32.0,-6.0,35.0,-6.0,34.0,-4.0,23.0,4.0,17.0,4.0,22.0,-1.0,-14.0,-1.0,-15.0,-2.0,-9.0,-1.0,10.0,0.004585087299346932,-0.004957344383001335,-0.004957344383001335,-0.3296059012655703,-1.2651087634713465,0.8258571386336295
