,Unnamed: 0.1,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,0,-7.0,96.0,-4.0,116.0,-11.0,114.0,-22.0,108.0,-28.0,100.0,-20.0,75.0,-5.0,82.0,-12.0,74.0,31.0,66.0,21.0,79.0,21.0,73.0,24.0,91.0,-0.004883848130702976,-0.02016338706016541,-0.02016338706016541,10.30535168987,0.6668504174431575,-3.214411738079851
1,0,19.0,-19.0,14.0,-20.0,6.0,-17.0,9.0,-11.0,12.0,-12.0,13.0,-7.0,10.0,-14.0,11.0,-12.0,24.0,2.0,16.0,-15.0,9.0,9.0,25.0,22.0,-0.01113807316869497,0.004658810794353478,0.004658810794353478,3.885170442225592,4.489542991238559,1.4340979030696248
2,0,20.0,40.0,23.0,51.0,19.0,50.0,-5.0,56.0,-14.0,47.0,-10.0,23.0,13.0,33.0,12.0,36.0,30.0,7.0,30.0,11.0,28.0,7.0,33.0,11.0,-0.003112861886620521,-0.005165845155715949,-0.005165845155715949,3.562789765977871,-0.4828304939551913,-1.9840200295515906
3,0,88.0,42.0,90.0,25.0,104.0,11.0,85.0,10.0,98.0,22.0,95.0,28.0,86.0,-3.0,87.0,-10.0,106.0,-43.0,104.0,-58.0,102.0,-54.0,107.0,-35.0,-0.01756499707698822,0.0015648044645786355,0.0015648044645786355,-2.4205077575004923,-3.780439619489471,-3.505031335381969
4,0,2.0,54.0,0.0,48.0,5.0,46.0,-12.0,51.0,-7.0,54.0,-4.0,53.0,6.0,49.0,-6.0,52.0,33.0,41.0,19.0,30.0,21.0,37.0,23.0,57.0,-0.004752686247229573,-0.011483114212751395,-0.011483114212751395,4.463527794604504,1.1342636851794694,-1.401967835193707
5,0,13.0,16.0,20.0,18.0,23.0,24.0,12.0,30.0,8.0,29.0,9.0,22.0,13.0,7.0,14.0,12.0,19.0,-10.0,21.0,-12.0,20.0,-9.0,20.0,-8.0,0.002307038754224784,-0.003544285893440247,-0.003544285893440247,2.3048939788024883,-4.557148320907449,1.2439928199173638
6,0,11.0,-29.0,6.0,-30.0,1.0,-33.0,-8.0,-39.0,-15.0,-49.0,-13.0,-62.0,6.0,-40.0,-2.0,-54.0,30.0,-33.0,15.0,-66.0,17.0,-45.0,34.0,-4.0,-0.013435594737529763,0.015217211097478868,0.015217211097478868,2.334860023942046,6.9609934357204875,-4.253590215392581
7,0,-1.0,45.0,-3.0,49.0,-3.0,54.0,-3.0,59.0,-2.0,56.0,-6.0,44.0,-1.0,40.0,0.0,45.0,21.0,55.0,26.0,48.0,52.0,63.0,38.0,94.0,-0.010411958210170269,-0.006260532885789871,-0.006260532885789871,9.849387073594952,1.1364482407751881,0.1193878694641768
8,0,17.0,13.0,21.0,15.0,20.0,17.0,-3.0,18.0,-3.0,18.0,-3.0,13.0,13.0,-1.0,9.0,2.0,16.0,0.0,10.0,-23.0,-4.0,-3.0,14.0,20.0,-0.004487138241529461,-0.00029792264103889465,-0.00029792264103889465,1.4380401051097564,2.8397492041198262,0.28359487774759096
9,0,-27.0,60.0,-26.0,60.0,-25.0,62.0,-41.0,66.0,-39.0,74.0,-33.0,68.0,-22.0,40.0,-27.0,47.0,-8.0,45.0,0.0,54.0,46.0,44.0,11.0,86.0,0.0005694888532161642,-0.010315928608179092,-0.010315928608179092,8.959440607107792,-0.916230858140807,-0.3382543923733345
