,Unnamed: 0.1,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,0,32.0,71.0,36.0,97.0,19.0,110.0,22.0,110.0,12.0,109.0,10.0,93.0,22.0,72.0,9.0,79.0,-17.0,76.0,-11.0,81.0,-24.0,68.0,-16.0,89.0,0.003898188471794136,-0.020680956542491916,-0.020680956542491916,9.383686987642296,-2.118384528402757,3.1317271828392648
1,0,-4.0,-8.0,-6.0,-9.0,-9.0,-10.0,-9.0,-15.0,-17.0,-18.0,-21.0,-19.0,-12.0,-10.0,-10.0,-13.0,-14.0,0.0,-14.0,-16.0,-17.0,-7.0,-21.0,21.0,0.009715305641293527,0.004152964800596229,0.004152964800596229,3.2166839828418974,-4.196296400677419,-1.45498188283803
2,0,14.0,26.0,18.0,47.0,7.0,59.0,-26.0,56.0,-26.0,50.0,-17.0,42.0,-11.0,37.0,-10.0,36.0,-32.0,7.0,-29.0,12.0,-26.0,6.0,-33.0,13.0,0.001632537692785263,-0.005197569727897637,-0.005197569727897637,3.915938841386581,1.5275977769052318,1.7694541957880896
3,0,-66.0,15.0,-49.0,-21.0,-23.0,-42.0,-56.0,-26.0,-88.0,1.0,-144.0,12.0,-63.0,-14.0,-89.0,-2.0,-96.0,-52.0,-43.0,-60.0,-102.0,-48.0,-65.0,-40.0,0.036263761110603816,0.0020850040018558502,0.0020850040018558502,-4.789630020407381,-22.02203782515368,2.066733400600511
4,0,-6.0,60.0,-4.0,58.0,0.0,58.0,1.0,51.0,2.0,50.0,3.0,50.0,-3.0,51.0,-4.0,47.0,-22.0,35.0,-14.0,30.0,-23.0,28.0,-20.0,56.0,0.0016106311231851545,-0.010227125138044356,-0.010227125138044356,6.312405726080077,2.314097463020808,-0.7061430866833214
5,0,-14.0,19.0,-13.0,27.0,-16.0,30.0,-20.0,21.0,-21.0,15.0,-16.0,11.0,-14.0,10.0,-15.0,5.0,-12.0,-9.0,-16.0,-13.0,-14.0,-7.0,-15.0,-12.0,-0.0010614097118377686,-0.003371365368366228,-0.003371365368366228,1.496267305071019,3.3229436302413577,-1.4220959920851688
6,0,13.0,-52.0,14.0,-47.0,8.0,-39.0,-1.0,-36.0,-1.0,-30.0,-6.0,-26.0,5.0,-55.0,-7.0,-41.0,-18.0,-46.0,-20.0,-64.0,-32.0,-23.0,-40.0,-5.0,0.013767236843705177,0.01501500979065895,0.01501500979065895,2.366819494574297,-6.680666719821807,4.358510015853319
7,0,16.0,45.0,11.0,53.0,6.0,52.0,2.0,46.0,-2.0,48.0,-2.0,40.0,2.0,44.0,2.0,39.0,-47.0,59.0,-30.0,49.0,-29.0,59.0,-42.0,88.0,0.011867424473166466,-0.004897020757198341,-0.004897020757198341,9.711619726692174,-2.798025274806008,0.5035631739138513
8,0,7.0,3.0,9.0,18.0,1.0,23.0,-27.0,20.0,-27.0,19.0,-21.0,12.0,-9.0,-1.0,-14.0,-2.0,-1.0,-3.0,-11.0,-24.0,-17.0,3.0,-17.0,21.0,0.004901416599750519,-0.0007438138127326965,-0.0007438138127326965,-0.04783582609246684,-3.001873141505044,0.9712191325845798
9,0,45.0,49.0,50.0,70.0,45.0,70.0,24.0,69.0,21.0,62.0,24.0,47.0,30.0,46.0,22.0,41.0,-40.0,46.0,1.0,55.0,5.0,51.0,-12.0,88.0,0.002131607383489616,-0.009947482496500022,-0.009947482496500022,9.216078451037463,-2.541207687835921,0.7822572126895295
