,Unnamed: 0.1,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,0,14.0,0.0,6.0,4.0,-6.0,8.0,2.0,1.0,1.0,-10.0,6.0,-3.0,16.0,26.0,5.0,16.0,55.0,50.0,39.0,46.0,51.0,46.0,55.0,102.0,-0.028825073502957824,0.000979691743850694,0.000979691743850694,8.82924084895877,12.038372803607132,-3.1818987748362964
1,0,16.0,-33.0,4.0,-39.0,-8.0,-27.0,10.0,-18.0,15.0,-24.0,19.0,-13.0,7.0,-25.0,5.0,-18.0,21.0,8.0,7.0,-15.0,22.0,2.0,22.0,61.0,-0.014238466043025253,0.005280386656522744,0.005280386656522744,3.7481983342586016,6.356184702619487,1.7265571878421486
2,0,19.0,-34.0,15.0,-41.0,9.0,-36.0,14.0,-29.0,19.0,-32.0,20.0,-16.0,12.0,-33.0,11.0,-30.0,18.0,-5.0,5.0,-27.0,15.0,-1.0,19.0,47.0,-0.012712398078292605,0.006255157291889185,0.006255157291889185,2.099417109423982,5.546469282898613,1.7282226304437198
3,0,19.0,-35.0,12.0,-39.0,4.0,-40.0,15.0,-46.0,11.0,-51.0,5.0,-38.0,14.0,-13.0,11.0,-20.0,22.0,-5.0,13.0,-26.0,19.0,-9.0,21.0,20.0,-0.013424960896372792,0.005991350859403617,0.005991350859403617,-1.0795395894492352,6.093902762825444,-2.23937632131276
4,0,24.0,24.0,13.0,20.0,1.0,23.0,10.0,17.0,5.0,5.0,0.0,10.0,17.0,38.0,8.0,27.0,67.0,60.0,44.0,39.0,58.0,42.0,65.0,81.0,-0.022845720988698304,-0.0013499781489372251,-0.0013499781489372251,5.454808767114863,8.279129676615959,-4.9943263810708896
5,0,89.0,13.0,91.0,-9.0,106.0,-21.0,86.0,-21.0,104.0,-10.0,98.0,11.0,88.0,-11.0,84.0,-22.0,102.0,1.0,93.0,-22.0,99.0,-9.0,106.0,24.0,-0.028208961244672537,0.0016850419342517922,0.0016850419342517922,-1.5503394547640732,2.465243619408362,-2.365522878309786
6,0,78.0,32.0,75.0,28.0,80.0,28.0,70.0,34.0,70.0,35.0,67.0,36.0,78.0,25.0,73.0,29.0,96.0,28.0,97.0,31.0,98.0,34.0,101.0,53.0,-0.03306467644870281,-0.004813972860574736,-0.004813972860574736,6.884434303139446,3.2871368494104236,-0.10404084510143052
7,0,96.0,-2.0,96.0,-2.0,97.0,-1.0,96.0,6.0,93.0,13.0,91.0,6.0,94.0,6.0,93.0,11.0,103.0,13.0,106.0,10.0,103.0,19.0,107.0,34.0,-0.037247476167976856,-0.00012930482625961998,-0.00012930482625961998,4.506784826413734,3.5758940129262697,0.8964722697969679
8,0,32.0,-71.0,28.0,-72.0,22.0,-68.0,14.0,-71.0,17.0,-71.0,19.0,-64.0,25.0,-70.0,16.0,-69.0,28.0,-61.0,12.0,-72.0,24.0,-53.0,16.0,-3.0,-0.01736022625118493,0.02281355857849121,0.02281355857849121,3.621650541310364,8.187992688663492,1.1533185697053012
9,0,23.0,-57.0,16.0,-62.0,8.0,-66.0,6.0,-70.0,7.0,-73.0,2.0,-55.0,15.0,-42.0,5.0,-44.0,21.0,-9.0,-1.0,-51.0,-10.0,-16.0,10.0,4.0,-0.017500346526503563,0.010780883952975271,0.010780883952975271,1.132684297953245,10.957134399617054,0.504042453852902
10,0,-15.0,-1.0,-14.0,-4.0,-17.0,-4.0,-11.0,-5.0,-9.0,-3.0,-15.0,5.0,-12.0,7.0,-13.0,7.0,0.0,31.0,-20.0,-2.0,-21.0,30.0,-7.0,85.0,-0.008030746132135393,-0.0022593289613723685,-0.0022593289613723685,0.01998121702286415,7.549844077151788,-0.3776878365930565
11,0,-28.0,4.0,-27.0,-2.0,-24.0,1.0,-33.0,-1.0,-25.0,-9.0,-19.0,2.0,-30.0,5.0,-33.0,0.0,-25.0,26.0,-41.0,0.0,-31.0,20.0,-35.0,41.0,0.004211485385894779,-0.0038456954061985016,-0.0038456954061985016,-3.4411313756189466,2.6148260917401984,-1.4629173293371425
12,0,-10.0,-33.0,-10.0,-33.0,-15.0,-32.0,-14.0,-31.0,-9.0,-35.0,-8.0,-25.0,-14.0,-26.0,-14.0,-28.0,-12.0,-6.0,-13.0,-17.0,2.0,1.0,-7.0,16.0,-0.006793145090341568,0.011279039084911345,0.011279039084911345,4.126661637384547,3.1855015850717905,0.4937998860544141
13,0,-2.0,-16.0,-16.0,-19.0,-31.0,-19.0,-17.0,-27.0,-23.0,-36.0,-25.0,-24.0,-12.0,4.0,-23.0,-2.0,-12.0,22.0,-30.0,12.0,-16.0,20.0,-26.0,41.0,-0.005190147086977954,0.004199475049972506,0.004199475049972506,-1.818438455334068,7.538534934637354,-1.9521024299317191
14,0,-19.0,-1.0,-36.0,0.0,-51.0,-5.0,-32.0,-9.0,-37.0,-16.0,-42.0,-14.0,-29.0,15.0,-36.0,10.0,-18.0,45.0,-29.0,28.0,-6.0,35.0,-19.0,75.0,-0.008323717862367627,0.004900552332401276,0.004900552332401276,0.9515979819680158,8.457800201740241,-3.4548289727933867
15,0,-16.0,12.0,-15.0,15.0,-18.0,17.0,-20.0,22.0,-23.0,13.0,-25.0,7.0,-15.0,14.0,-14.0,9.0,11.0,42.0,-2.0,38.0,-6.0,46.0,2.0,59.0,-0.006635047495365143,-0.0016897693276405473,-0.0016897693276405473,7.075059852644959,3.78038924793293,-0.3122371086374853
16,0,-9.0,17.0,-9.0,15.0,-7.0,14.0,-7.0,20.0,-9.0,26.0,-10.0,30.0,-7.0,-2.0,-9.0,6.0,-2.0,26.0,-4.0,18.0,-10.0,34.0,-8.0,55.0,-0.003404036164283749,-0.002214975655078888,-0.002214975655078888,3.3781381382372944,3.1930631890735333,1.9993009840981024
17,0,41.0,-28.0,51.0,-22.0,48.0,-14.0,44.0,-19.0,44.0,-23.0,48.0,-26.0,49.0,-16.0,47.0,-21.0,53.0,5.0,46.0,-16.0,46.0,-2.0,52.0,21.0,-0.020522518083453182,0.006197147071361543,0.006197147071361543,1.3849457452270864,3.1801765953492165,-0.5906111193122414
18,0,-8.0,10.0,-18.0,-5.0,-17.0,-17.0,-11.0,-25.0,-13.0,-39.0,-14.0,-22.0,-4.0,-2.0,-12.0,-21.0,14.0,36.0,0.0,2.0,16.0,20.0,17.0,64.0,-0.015057912096381184,0.0021939873695373466,0.0021939873695373466,-2.804065390178531,6.127646298617592,-6.739384670857566
19,0,17.0,-50.0,19.0,-47.0,18.0,-49.0,45.0,-63.0,50.0,-58.0,59.0,-61.0,21.0,-46.0,45.0,-58.0,16.0,-28.0,15.0,-41.0,21.0,-21.0,15.0,-9.0,-0.010628767311573029,0.011142484843730928,0.011142484843730928,-4.979562098428519,-1.1171691097041003,-0.7983659582695406
20,0,6.0,-6.0,-3.0,-13.0,-5.0,-1.0,4.0,5.0,10.0,-6.0,4.0,6.0,-1.0,-9.0,4.0,-1.0,8.0,28.0,-1.0,14.0,4.0,37.0,8.0,90.0,-0.012910071760416031,0.0015028826892375946,0.0015028826892375946,6.296178256609937,5.726682646322728,2.5406909618249327
21,0,-82.0,116.0,-138.0,160.0,-204.0,166.0,-228.0,157.0,-229.0,147.0,-203.0,127.0,-137.0,162.0,-212.0,156.0,-136.0,162.0,-224.0,179.0,-205.0,164.0,-212.0,184.0,0.017987419385463003,-0.04061375185847282,-0.04061375185847282,8.41860248584866,45.92597902324421,1.0280208798681107
