,Unnamed: 0.1,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,0,9.0,71.0,9.0,85.0,5.0,86.0,-14.0,78.0,-9.0,70.0,0.0,63.0,4.0,70.0,1.0,63.0,35.0,85.0,15.0,88.0,12.0,83.0,20.0,100.0,-0.011774484068155292,-0.019437707960605632,-0.019437707960605632,6.383862649348727,4.732850550255165,-1.9157138716758417
1,0,3.0,68.0,3.0,76.0,2.0,79.0,-14.0,72.0,-8.0,68.0,-1.0,63.0,-1.0,63.0,3.0,58.0,12.0,72.0,14.0,75.0,14.0,76.0,15.0,76.0,-0.005735291168093685,-0.018648423254489902,-0.018648423254489902,5.251217658441253,1.246434440188871,-0.7862406273587728
2,0,-6.0,-2.0,-6.0,-7.0,-3.0,-5.0,-8.0,-3.0,-2.0,-3.0,2.0,2.0,-5.0,-8.0,-4.0,-8.0,-16.0,21.0,-18.0,13.0,-27.0,23.0,-15.0,7.0,-0.0007815510034561123,-0.0012925304472446509,-0.0012925304472446509,-0.5296450976577018,2.17312537211712,0.840145655214271
3,0,6.0,41.0,11.0,47.0,11.0,50.0,-6.0,59.0,-7.0,54.0,0.0,38.0,7.0,31.0,11.0,41.0,28.0,61.0,25.0,58.0,20.0,71.0,30.0,76.0,-0.013431529514491558,-0.006423395127058029,-0.006423395127058029,7.416724732388149,4.543566826202691,0.20865974330012887
4,0,92.0,25.0,91.0,0.0,105.0,-14.0,92.0,-12.0,103.0,-2.0,100.0,13.0,92.0,-3.0,94.0,-11.0,110.0,-12.0,108.0,-14.0,104.0,-24.0,115.0,-20.0,-0.02486245520412922,0.0022071413695812225,0.0022071413695812225,-1.1779421485711798,-0.8942738435826953,-3.04729537834283
5,0,9.0,20.0,7.0,15.0,9.0,15.0,-3.0,9.0,-5.0,5.0,-2.0,3.0,10.0,11.0,-1.0,4.0,19.0,19.0,8.0,6.0,2.0,12.0,9.0,7.0,-0.0037516392767429282,-0.004049144685268402,-0.004049144685268402,-2.5556172326416733,2.3907612877247857,-3.0274810355841413
6,0,10.0,-27.0,3.0,-31.0,-2.0,-33.0,-1.0,-35.0,4.0,-30.0,1.0,-18.0,3.0,-19.0,-2.0,-15.0,3.0,-5.0,-11.0,-16.0,-21.0,-1.0,-9.0,-1.0,-0.005001246929168693,0.004695197567343712,0.004695197567343712,1.0092545986881911,4.615838440842545,1.8922693903445291
7,0,13.0,30.0,7.0,37.0,3.0,33.0,6.0,41.0,5.0,44.0,5.0,32.0,5.0,28.0,10.0,33.0,19.0,29.0,18.0,38.0,36.0,35.0,19.0,35.0,-0.0028697066009044647,-0.00577075034379959,-0.00577075034379959,6.618147864852716,-1.8832177905255705,1.7965254321022797
8,0,-2.0,14.0,-1.0,17.0,-2.0,18.0,-17.0,15.0,-19.0,14.0,-15.0,6.0,-4.0,2.0,-10.0,2.0,2.0,-4.0,-4.0,-5.0,-14.0,-6.0,-4.0,5.0,0.002402804791927341,0.00022778287529944682,0.00022778287529944682,1.516535390031857,0.979148643967278,-0.30064584270093064
9,0,-34.0,37.0,-31.0,34.0,-24.0,38.0,-31.0,43.0,-21.0,41.0,-10.0,39.0,-28.0,36.0,-19.0,38.0,-21.0,50.0,-23.0,47.0,-11.0,49.0,-19.0,61.0,0.004838444292545319,-0.010457634925842278,-0.010457634925842278,3.2186955497836984,-2.602907779049737,0.15514823530368682
10,0,-8.0,-22.0,-10.0,-22.0,-16.0,-21.0,-19.0,-23.0,-20.0,-22.0,-16.0,-26.0,-12.0,-24.0,-14.0,-25.0,-9.0,-18.0,-10.0,-15.0,-7.0,-9.0,-12.0,-19.0,-0.0006799362599849769,0.009441666305065157,0.009441666305065157,2.890289423077037,2.279528457963522,0.1613841939353017
11,0,-17.0,70.0,-16.0,80.0,-16.0,80.0,-34.0,80.0,-33.0,76.0,-22.0,63.0,-15.0,50.0,-19.0,52.0,7.0,65.0,6.0,69.0,19.0,61.0,11.0,72.0,-0.0008216574788093567,-0.013003617525100736,-0.013003617525100736,6.873217721387622,-0.2739241569470394,-1.3327464528266262
12,0,-5.0,8.0,-5.0,11.0,-7.0,13.0,-12.0,13.0,-8.0,11.0,-11.0,16.0,-5.0,17.0,-4.0,19.0,8.0,51.0,1.0,42.0,-6.0,44.0,3.0,49.0,-0.007143180817365653,-0.0031179487705230787,-0.0031179487705230787,5.784045909324776,3.9895818922533484,0.9279548715333265
13,0,-9.0,5.0,-6.0,0.0,-3.0,0.0,-1.0,5.0,0.0,12.0,1.0,18.0,-11.0,5.0,-1.0,10.0,-2.0,27.0,3.0,11.0,0.0,15.0,-1.0,28.0,-0.0005670711398124695,-0.0016249790787696838,-0.0016249790787696838,0.32676292998048795,-0.28411327452032964,0.6331560221433836
14,0,7.0,39.0,13.0,45.0,17.0,47.0,8.0,41.0,12.0,35.0,23.0,17.0,16.0,38.0,26.0,27.0,39.0,47.0,28.0,37.0,21.0,41.0,29.0,27.0,-0.007364694029092789,-0.008005782961845398,-0.008005782961845398,0.15048987037855888,-1.443770353496646,-2.9715420518861317
15,0,-29.0,13.0,-26.0,11.0,-24.0,13.0,-22.0,16.0,-24.0,23.0,-22.0,19.0,-28.0,17.0,-21.0,21.0,-8.0,44.0,-8.0,43.0,-13.0,50.0,-8.0,45.0,-0.0011441558599472046,-0.0016459673643112185,-0.0016459673643112185,4.087656431641566,1.6621747779988567,0.4280186706327376
16,0,11.0,-12.0,-4.0,-6.0,-18.0,-13.0,-8.0,-9.0,-9.0,0.0,-8.0,-9.0,5.0,-2.0,-5.0,7.0,3.0,8.0,-5.0,7.0,-8.0,12.0,-4.0,11.0,-0.005042973905801773,0.0022068731486797333,0.0022068731486797333,2.0728575305484327,4.918453781606416,1.4834258723349605
17,0,10.0,55.0,14.0,46.0,23.0,45.0,19.0,53.0,30.0,70.0,33.0,68.0,17.0,39.0,28.0,43.0,27.0,46.0,35.0,55.0,32.0,49.0,34.0,47.0,-0.005905319005250924,-0.010896191000938422,-0.010896191000938422,6.013351857687515,-4.377359839116181,1.6164789805955193
18,0,55.0,5.0,55.0,18.0,56.0,19.0,54.0,20.0,52.0,9.0,58.0,-6.0,52.0,17.0,55.0,14.0,48.0,20.0,61.0,12.0,65.0,11.0,60.0,4.0,-0.01855752244591713,-0.0035973936319351205,-0.0035973936319351205,1.120222233717601,-2.57228207160658,-0.9577037408101764
19,0,-20.0,2.0,-23.0,4.0,-26.0,-1.0,-27.0,-2.0,-41.0,-2.0,-43.0,-23.0,-18.0,-7.0,-22.0,-10.0,4.0,-11.0,9.0,-6.0,14.0,-22.0,15.0,-11.0,0.00024541839957236897,0.011139528825879088,0.011139528825879088,6.459976074021697,0.9792309304172236,-3.6325561991614963
20,0,53.0,24.0,59.0,23.0,66.0,31.0,58.0,32.0,64.0,40.0,58.0,43.0,61.0,22.0,56.0,32.0,66.0,22.0,65.0,27.0,56.0,30.0,62.0,21.0,-0.017442660406231877,-0.006778191775083549,-0.006778191775083549,4.586927331946739,-1.6710791751127942,2.734829198577392
21,0,-136.0,22.0,-190.0,60.0,-246.0,53.0,-313.0,46.0,-298.0,66.0,-280.0,60.0,-201.0,52.0,-284.0,48.0,-203.0,65.0,-303.0,46.0,-308.0,68.0,-291.0,47.0,0.035914129111915834,-0.011763744056224823,-0.011763744056224823,6.118247975763841,44.54758815176618,5.3093377605271534
22,0,11.0,-17.0,3.0,-20.0,3.0,-31.0,-13.0,-26.0,-7.0,-13.0,-8.0,-13.0,-4.0,-25.0,-3.0,-20.0,-17.0,-14.0,-26.0,-32.0,-30.0,-14.0,-26.0,-27.0,0.0027043148875236546,0.002797640860080719,0.002797640860080719,-4.773888930718222,3.770676464127497,0.8596944494109064
23,0,26.0,29.0,21.0,27.0,18.0,16.0,-8.0,10.0,-13.0,2.0,-3.0,-13.0,13.0,16.0,8.0,-2.0,28.0,11.0,7.0,-5.0,10.0,-1.0,14.0,-2.0,-0.008299104869365699,-0.0034638047218322685,-0.0034638047218322685,-6.8457803179326095,5.012957623007999,-7.340767396407361
24,0,10.0,-44.0,11.0,-39.0,5.0,-32.0,18.0,-28.0,11.0,-45.0,10.0,-41.0,9.0,-43.0,5.0,-38.0,3.0,-39.0,-5.0,-38.0,-8.0,-34.0,-1.0,-43.0,-0.00097733736038208,0.010525710880756378,0.010525710880756378,0.530774229411024,0.6076352171528541,2.0522239450652657
