,Unnamed: 0.1,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,0,12.0,57.0,15.0,68.0,9.0,77.0,5.0,78.0,-1.0,77.0,-2.0,65.0,0.0,67.0,-2.0,69.0,-2.0,80.0,-12.0,92.0,-25.0,81.0,-14.0,99.0,0.009039178490638738,-0.01927739754319191,-0.01927739754319191,5.844741349852884,-4.567094650770407,1.1222144865631491
1,0,11.0,56.0,16.0,65.0,13.0,72.0,4.0,73.0,3.0,71.0,0.0,68.0,0.0,62.0,3.0,61.0,-8.0,76.0,-8.0,78.0,-8.0,74.0,-9.0,77.0,0.0048698130995035215,-0.01906244084239006,-0.01906244084239006,4.179260451757707,-2.2379288146369447,1.0416562292419558
2,0,-9.0,2.0,1.0,0.0,10.0,-6.0,5.0,-10.0,9.0,-7.0,8.0,-2.0,6.0,-10.0,7.0,-11.0,22.0,21.0,21.0,11.0,20.0,15.0,21.0,9.0,-0.0008016489446163143,-0.001018822193145752,-0.001018822193145752,-0.5954333818388289,-0.7312991878357522,-1.3763892434378977
3,0,1.0,40.0,8.0,53.0,6.0,63.0,-14.0,52.0,-10.0,46.0,-4.0,44.0,-10.0,42.0,-1.0,35.0,-24.0,65.0,-26.0,57.0,-25.0,62.0,-29.0,80.0,0.011008156463503838,-0.006783328950405114,-0.006783328950405114,7.147440682314154,-2.7232543738789445,-0.1305463087291198
4,0,-67.0,-8.0,-55.0,-45.0,-34.0,-65.0,-37.0,-34.0,-87.0,-18.0,-153.0,-8.0,-68.0,-16.0,-97.0,-4.0,-89.0,-17.0,-44.0,-19.0,-107.0,-13.0,-67.0,-25.0,0.04448226373642684,0.0025431811809539795,0.0025431811809539795,-3.626011565871812,-26.878088091401672,1.5905792115703163
5,0,2.0,1.0,5.0,3.0,2.0,7.0,-4.0,11.0,-6.0,11.0,-9.0,12.0,0.0,3.0,-10.0,9.0,-4.0,15.0,-10.0,3.0,-27.0,27.0,-13.0,6.0,0.006046527996659279,-0.0010270848870277266,-0.0010270848870277266,0.2551310797874482,-3.0739200245528338,2.4864658214933324
6,0,3.0,-19.0,2.0,-30.0,1.0,-33.0,3.0,-30.0,-4.0,-30.0,-8.0,-30.0,0.0,-14.0,-2.0,-18.0,18.0,-3.0,12.0,-17.0,1.0,-3.0,9.0,-18.0,0.004593480378389359,0.004741810262203217,0.004741810262203217,0.6869818897379041,-4.6044097715935095,-1.6667456592825118
7,0,4.0,27.0,6.0,39.0,1.0,33.0,-5.0,30.0,-6.0,36.0,-6.0,25.0,-7.0,34.0,-3.0,32.0,-27.0,34.0,-17.0,39.0,-9.0,32.0,-19.0,32.0,0.0034083388745784764,-0.005361292511224754,-0.005361292511224754,5.354184214899285,0.8321430351850481,-0.5487960260675516
8,0,17.0,3.0,19.0,13.0,14.0,18.0,-3.0,20.0,-5.0,19.0,1.0,13.0,10.0,0.0,1.0,2.0,9.0,0.0,6.0,-2.0,-2.0,4.0,0.0,-3.0,-0.002010308206081391,-0.0006175562739372253,-0.0006175562739372253,0.8326751331259683,-0.6964283215110854,0.8742704099140193
9,0,18.0,27.0,24.0,38.0,26.0,41.0,23.0,41.0,28.0,34.0,34.0,29.0,18.0,34.0,28.0,33.0,4.0,46.0,24.0,46.0,32.0,49.0,18.0,49.0,-0.005161192268133157,-0.009890027344226844,-0.009890027344226844,3.1742302466792047,2.826792024181984,0.2147082910469917
10,0,18.0,-27.0,19.0,-23.0,18.0,-21.0,15.0,-21.0,10.0,-24.0,7.0,-26.0,13.0,-24.0,10.0,-24.0,8.0,-11.0,12.0,-15.0,7.0,-17.0,13.0,-15.0,0.00018750876188276808,0.009431511163711548,0.009431511163711548,2.6365817693012685,-2.4351429610416773,-0.6400962079948114
11,0,24.0,58.0,31.0,71.0,34.0,79.0,14.0,84.0,16.0,79.0,20.0,68.0,20.0,51.0,13.0,55.0,-17.0,62.0,-8.0,71.0,-9.0,71.0,-13.0,70.0,0.0018473155796527863,-0.0125129371881485,-0.0125129371881485,6.776868994122464,-0.4170013416622779,1.962440219201249
12,0,9.0,19.0,7.0,14.0,1.0,11.0,7.0,7.0,3.0,7.0,2.0,8.0,3.0,21.0,8.0,17.0,11.0,46.0,-2.0,43.0,-10.0,64.0,-6.0,41.0,0.006768673658370972,-0.004124797880649581,-0.004124797880649581,4.783043486131339,-3.5874907808819785,-0.8745095577263238
13,0,1.0,10.0,0.0,12.0,-1.0,4.0,0.0,2.0,2.0,3.0,8.0,3.0,2.0,10.0,1.0,6.0,-23.0,11.0,-5.0,10.0,5.0,18.0,-2.0,28.0,0.0017265379428863525,-0.0010186061263084273,-0.0010186061263084273,0.6243565006553463,0.368890325425312,-0.16810763592233524
14,0,-25.0,23.0,-16.0,36.0,-10.0,41.0,-17.0,45.0,-10.0,47.0,-8.0,43.0,-25.0,26.0,-12.0,32.0,-22.0,39.0,-32.0,36.0,-38.0,58.0,-38.0,27.0,0.007848765701055527,-0.008344441652297988,-0.008344441652297988,-0.08896397000335021,1.8094868014171297,3.2740999573182834
15,0,17.0,19.0,15.0,22.0,19.0,17.0,21.0,15.0,25.0,11.0,28.0,15.0,17.0,18.0,20.0,16.0,17.0,50.0,15.0,44.0,9.0,49.0,9.0,49.0,0.0021931082010269234,-0.0022852569818496843,-0.0022852569818496843,3.2513844171407764,-1.828136620071916,-0.11192210736523256
16,0,13.0,9.0,10.0,4.0,13.0,-1.0,7.0,-2.0,6.0,-3.0,-1.0,-2.0,6.0,10.0,10.0,7.0,17.0,12.0,9.0,7.0,14.0,24.0,10.0,5.0,-0.0003347136080265045,-0.0015057995915412831,-0.0015057995915412831,-0.21924717642935046,-2.1508548101639846,-0.6225093638587866
17,0,-27.0,78.0,-31.0,71.0,-26.0,57.0,-28.0,49.0,-17.0,46.0,-13.0,63.0,-32.0,47.0,-18.0,37.0,-33.0,56.0,-40.0,55.0,-23.0,50.0,-38.0,46.0,0.003858979791402824,-0.013363748788833618,-0.013363748788833618,4.773392530602299,5.730267743635785,-1.7106849633129726
18,0,-59.0,-2.0,-53.0,9.0,-54.0,18.0,-53.0,15.0,-53.0,15.0,-49.0,4.0,-57.0,12.0,-50.0,17.0,-64.0,14.0,-58.0,9.0,-47.0,24.0,-61.0,5.0,0.017667800188064568,-0.00331675261259079,-0.00331675261259079,1.16926866045793,3.8600561936594735,1.0440059896772735
19,0,48.0,-28.0,43.0,-4.0,29.0,-3.0,28.0,-2.0,26.0,3.0,21.0,-3.0,23.0,-10.0,19.0,-6.0,-15.0,-21.0,-12.0,-7.0,-14.0,-11.0,-20.0,-6.0,0.0025137886404991115,0.012462336570024485,0.012462336570024485,7.573038340864061,-2.7457277724382294,3.9152266582351496
20,0,-54.0,38.0,-61.0,45.0,-68.0,42.0,-63.0,39.0,-63.0,28.0,-56.0,20.0,-61.0,34.0,-60.0,24.0,-61.0,29.0,-66.0,27.0,-66.0,22.0,-63.0,20.0,0.01685034390538931,-0.005848001688718803,-0.005848001688718803,5.748326739834262,2.5490296603879092,-3.1251980777203663
21,0,288.0,50.0,302.0,65.0,304.0,51.0,245.0,58.0,175.0,60.0,117.0,7.0,281.0,48.0,197.0,51.0,297.0,70.0,300.0,44.0,207.0,63.0,290.0,54.0,-0.03395274234935641,-0.010709650814533234,-0.010709650814533234,7.573928382504095,-46.23963135345602,-6.0860373955342375
22,0,12.0,-21.0,8.0,-13.0,4.0,-30.0,2.0,-30.0,-6.0,-17.0,-12.0,-24.0,3.0,-19.0,-7.0,-17.0,20.0,-11.0,25.0,-33.0,18.0,-10.0,25.0,-20.0,0.0007230956107378006,0.0023394636809825893,0.0023394636809825893,-6.132346242551629,-5.997869183169129,0.049646308950352935
23,0,-4.0,-8.0,5.0,1.0,5.0,11.0,-22.0,18.0,-24.0,27.0,-29.0,30.0,-11.0,2.0,-18.0,19.0,-10.0,4.0,-11.0,-2.0,-27.0,24.0,-16.0,2.0,0.008765261620283127,-0.006211709231138236,-0.006211709231138236,-8.653109496396596,-4.915513129985861,7.1629056304976135
24,0,-10.0,-31.0,-6.0,-42.0,-3.0,-25.0,-4.0,-29.0,-6.0,-30.0,-5.0,-28.0,-4.0,-34.0,-5.0,-37.0,16.0,-34.0,6.0,-39.0,2.0,-35.0,10.0,-41.0,-0.0013647973537445068,0.008444815874099731,0.008444815874099731,-1.5739849601444638,-0.3811599347437067,-1.0681583083551969
25,0,16.0,64.0,15.0,67.0,15.0,68.0,11.0,72.0,12.0,73.0,9.0,77.0,10.0,61.0,6.0,65.0,1.0,63.0,-1.0,65.0,-1.0,65.0,-4.0,63.0,-0.0004149191081523895,-0.017154920846223824,-0.017154920846223824,0.5066553501369253,-0.07422116299937187,2.592061645305494
26,0,15.0,-115.0,21.0,-105.0,22.0,-103.0,3.0,-97.0,0.0,-96.0,-2.0,-101.0,6.0,-112.0,0.0,-106.0,-5.0,-104.0,-6.0,-108.0,-14.0,-97.0,-7.0,-115.0,0.003227587789297104,0.04078500717878342,0.04078500717878342,4.9773276905555885,-2.297013720355558,1.0369483296827773
27,0,25.0,39.0,26.0,46.0,20.0,44.0,16.0,44.0,8.0,40.0,11.0,29.0,18.0,48.0,11.0,43.0,30.0,72.0,17.0,54.0,-2.0,69.0,15.0,65.0,0.0019258931279182434,-0.01325242966413498,-0.01325242966413498,3.878986687748127,-5.224097213267051,-1.9558212026428852
28,0,-3.0,49.0,2.0,61.0,5.0,67.0,-5.0,66.0,-5.0,68.0,-5.0,64.0,-5.0,60.0,-7.0,64.0,-28.0,56.0,-26.0,66.0,-33.0,56.0,-31.0,54.0,0.007274719886481763,-0.014095313847064972,-0.014095313847064972,3.922704212305691,-0.476351003268455,2.7483188221835366
29,0,-11.0,-1.0,-11.0,-5.0,-9.0,0.0,-5.0,0.0,3.0,0.0,1.0,15.0,-8.0,-3.0,-8.0,3.0,-26.0,-1.0,-28.0,9.0,-26.0,6.0,-32.0,6.0,0.005502976477146147,0.0010859295725822382,0.0010859295725822382,0.3859136138244736,0.9892305684769624,2.937272934330343
30,0,8.0,-3.0,7.0,2.0,9.0,-6.0,6.0,-6.0,10.0,0.0,13.0,2.0,2.0,-4.0,11.0,-2.0,9.0,-11.0,6.0,-19.0,9.0,-4.0,6.0,-10.0,-0.004601393826305868,0.0005329065024852753,0.0005329065024852753,-2.3037819329973424,1.9911151934141105,1.1949577562875031
31,0,5.0,18.0,5.0,20.0,9.0,7.0,4.0,8.0,9.0,11.0,14.0,20.0,2.0,13.0,6.0,12.0,15.0,27.0,11.0,12.0,-1.0,41.0,9.0,9.0,-0.0016166176646947859,-0.00683273188769817,-0.00683273188769817,-2.3439375929522184,-0.2963440947381599,1.0867979966052124
32,0,-4.0,-29.0,-2.0,-31.0,2.0,-37.0,-2.0,-36.0,0.0,-31.0,-2.0,-29.0,0.0,-29.0,-4.0,-31.0,8.0,-14.0,-1.0,-25.0,-10.0,-15.0,-3.0,-29.0,0.003154521808028221,0.0097200907766819,0.0097200907766819,1.4382167897565363,-1.8793135281834807,-0.6216815102515029
33,0,34.0,-2.0,31.0,-1.0,34.0,-6.0,20.0,-2.0,14.0,0.0,15.0,-10.0,32.0,-4.0,24.0,-2.0,42.0,-13.0,42.0,-10.0,29.0,-9.0,41.0,-23.0,-0.011744290590286257,0.0006650239229202269,0.0006650239229202269,-2.654261200171341,-1.9309541138693118,-0.6450267416397898
34,0,-9.0,-2.0,-3.0,7.0,-3.0,10.0,2.0,9.0,4.0,7.0,2.0,7.0,-6.0,14.0,-2.0,14.0,-26.0,13.0,-14.0,26.0,-7.0,16.0,-16.0,19.0,0.0050213523209095,-0.001734174787998196,-0.001734174787998196,1.6980088329645031,0.7291373959535363,0.7199563353381715
35,0,-7.0,15.0,-14.0,7.0,-15.0,13.0,-21.0,5.0,-12.0,-11.0,-6.0,12.0,-14.0,28.0,-14.0,28.0,-20.0,37.0,-28.0,35.0,-22.0,38.0,-29.0,34.0,0.008265810087323192,-0.005056563764810576,-0.005056563764810576,1.9544649862476169,-0.8203448575864698,0.4024452557224976
36,0,5.0,60.0,-4.0,56.0,-3.0,55.0,-14.0,44.0,-3.0,43.0,-1.0,62.0,4.0,36.0,-12.0,34.0,-22.0,45.0,-26.0,48.0,-25.0,47.0,-28.0,45.0,0.004658484831452372,-0.011109974235296236,-0.011109974235296236,4.3098893483413185,-0.15800380267994285,0.7093093775062358
37,0,48.0,47.0,53.0,55.0,50.0,70.0,48.0,75.0,52.0,76.0,50.0,77.0,42.0,58.0,43.0,68.0,8.0,71.0,16.0,84.0,17.0,83.0,7.0,83.0,-0.0049941781908273706,-0.015130601823329926,-0.015130601823329926,4.133738228491134,0.7375126892796189,4.6543343471180805
38,0,-14.0,74.0,-11.0,66.0,-5.0,49.0,-12.0,47.0,-12.0,40.0,-8.0,24.0,-14.0,49.0,-11.0,25.0,-14.0,53.0,-22.0,49.0,-9.0,35.0,-15.0,34.0,0.0026297923177480693,-0.006941288709640503,-0.006941288709640503,9.579037293617217,1.6632041107985032,-6.988040422478325
39,0,15.0,-3.0,12.0,-6.0,17.0,-11.0,16.0,-7.0,16.0,-5.0,13.0,-4.0,15.0,2.0,18.0,0.0,40.0,8.0,34.0,-7.0,31.0,0.0,36.0,-15.0,-0.007512293756008154,-0.0035791397094726562,-0.0035791397094726562,-4.59301689314063,-0.8685238548015946,-0.5689964281022039
40,0,226.0,139.0,254.0,161.0,254.0,171.0,221.0,184.0,157.0,185.0,102.0,145.0,232.0,154.0,161.0,169.0,239.0,165.0,249.0,177.0,176.0,168.0,239.0,162.0,-0.0309264725074172,-0.04783748462796211,-0.04783748462796211,2.0827778697759225,-42.44371386673401,1.7709880528588502
41,0,19.0,40.0,15.0,50.0,11.0,40.0,8.0,37.0,11.0,42.0,14.0,40.0,4.0,42.0,17.0,38.0,26.0,24.0,7.0,22.0,5.0,25.0,12.0,29.0,-0.011346084997057918,-0.011216271668672562,-0.011216271668672562,1.09647953389889,4.72061090821969,-0.594375614917401
